depth,min,max,median,mean
123.5,3869,5931,5091,5006
124.5,3887,5942,5101,5025
125.5,3905,5957,5110,5044
126.5,3923,5978,5121,5064
127.5,3940,5999,5136,5083
128.5,3965,6013,5154,5103
129.5,4008,6027,5174,5122
130.5,4043,6043,5191,5141
131.5,4069,6057,5210,5161
132.5,4083,6079,5227,5180
133.5,4109,6093,5245,5200
134.5,4138,6110,5265,5221
135.5,4165,6129,5285,5242
136.5,4187,6143,5303,5263
137.5,4212,6170,5325,5283
138.5,4234,6182,5345,5304
139.5,4261,6199,5366,5325
140.5,4284,6217,5386,5346
141.5,4303,6238,5405,5366
142.5,4318,6254,5424,5387
143.5,4342,6273,5444,5407
144.5,4368,6292,5464,5427
145.5,4387,6307,5484,5447
146.5,4410,6325,5504,5467
147.5,4429,6339,5524,5487
148.5,4455,6355,5545,5507
149.5,4488,6368,5563,5528
150.5,4513,6387,5584,5548
151.5,4535,6397,5602,5569
152.5,4558,6415,5624,5590
153.5,4584,6435,5644,5611
154.5,4616,6448,5666,5632
155.5,4639,6461,5684,5653
156.5,4671,6477,5708,5674
157.5,4699,6497,5728,5696
158.5,4723,6514,5746,5717
159.5,4738,6533,5765,5737
160.5,4763,6547,5788,5758
161.5,4789,6555,5811,5779
162.5,4808,6571,5834,5799
163.5,4833,6587,5856,5820
164.5,4862,6600,5874,5841
165.5,4886,6618,5899,5862
166.5,4906,6632,5921,5883
167.5,4929,6651,5944,5903
168.5,4958,6669,5965,5924
169.5,4999,6684,5982,5945
170.5,5025,6697,6004,5966
171.5,5059,6712,6023,5988
172.5,5088,6730,6041,6009
173.5,5104,6746,6061,6030
174.5,5125,6757,6083,6051
175.5,5148,6772,6104,6072
176.5,5168,6787,6123,6093
177.5,5192,6801,6144,6114
178.5,5231,6819,6167,6135
179.5,5263,6829,6186,6155
180.5,5292,6845,6206,6174
181.5,5327,6862,6222,6194
182.5,5357,6882,6243,6214
183.5,5388,6892,6266,6235
184.5,5409,6908,6287,6256
185.5,5427,6922,6311,6277
186.5,5461,6941,6332,6298
187.5,5487,6958,6351,6320
188.5,5516,6973,6372,6341
189.5,5544,6983,6391,6361
190.5,5574,6995,6412,6382
191.5,5590,7009,6435,6402
192.5,5615,7032,6456,6423
193.5,5638,7042,6476,6443
194.5,5660,7061,6495,6462
195.5,5686,7074,6515,6482
196.5,5705,7087,6533,6502
197.5,5725,7099,6556,6522
198.5,5752,7112,6577,6542
199.5,5793,7126,6600,6563
200.5,5816,7137,6620,6584
201.5,5846,7151,6641,6605
202.5,5875,7168,6663,6625
203.5,5905,7184,6682,6646
204.5,5931,7195,6702,6667
205.5,5951,7208,6720,6688
206.5,5988,7224,6742,6709
207.5,6015,7242,6762,6731
208.5,6046,7259,6782,6751
209.5,6081,7272,6803,6771
210.5,6106,7286,6824,6791
211.5,6138,7300,6843,6811
212.5,6165,7314,6861,6832
213.5,6190,7327,6883,6852
214.5,6213,7338,6901,6872
215.5,6242,7351,6921,6892
216.5,6275,7364,6942,6913
217.5,6314,7377,6962,6933
218.5,6351,7391,6981,6953
219.5,6382,7402,7001,6974
220.5,6416,7415,7023,6995
221.5,6439,7429,7045,7015
222.5,6466,7447,7064,7036
223.5,6500,7459,7085,7057
224.5,6539,7469,7105,7077
225.5,6562,7479,7127,7098
226.5,6593,7491,7146,7118
227.5,6618,7507,7166,7138
228.5,6649,7522,7185,7159
229.5,6682,7528,7204,7181
230.5,6716,7545,7224,7202
231.5,6748,7554,7244,7223
232.5,6774,7575,7267,7245
233.5,6806,7595,7288,7265
234.5,6837,7608,7305,7285
235.5,6873,7623,7323,7304
236.5,6912,7641,7343,7324
237.5,6925,7658,7362,7344
238.5,6958,7677,7382,7364
239.5,6994,7685,7400,7384
240.5,7030,7697,7421,7404
241.5,7055,7708,7441,7424
242.5,7080,7724,7460,7444
243.5,7124,7739,7479,7464
244.5,7167,7750,7497,7485
245.5,7220,7764,7515,7506
246.5,7261,7779,7534,7526
247.5,7299,7794,7555,7547
248.5,7345,7808,7572,7568
249.5,7398,7822,7587,7589
250.5,7447,7837,7603,7610
251.5,7487,7857,7620,7631
252.5,7517,7871,7640,7652
253.5,7539,7903,7666,7677
254.5,7558,7932,7692,7705
255.5,7579,7967,7717,7734
256.5,7592,8022,7743,7762
257.5,7606,8089,7768,7790
258.5,7623,8144,7795,7819
259.5,7642,8170,7827,7848
260.5,7661,8209,7857,7877
261.5,7673,8255,7886,7906
262.5,7683,8305,7914,7936
263.5,7698,8348,7942,7964
264.5,7721,8373,7972,7992
265.5,7741,8409,8002,8020
266.5,7754,8447,8029,8049
267.5,7764,8499,8058,8077
268.5,7783,8540,8086,8105
269.5,7811,8568,8115,8135
270.5,7832,8604,8145,8164
271.5,7848,8645,8175,8193
272.5,7864,8693,8205,8222
273.5,7887,8734,8234,8251
274.5,7912,8763,8263,8280
275.5,7933,8796,8293,8309
276.5,7951,8819,8324,8338
277.5,7965,8863,8352,8367
278.5,7988,8899,8381,8396
279.5,8016,8921,8411,8425
280.5,8039,8951,8442,8454
281.5,8056,8984,8471,8482
282.5,8075,9021,8500,8511
283.5,8100,9051,8530,8540
284.5,8125,9075,8560,8570
285.5,8149,9103,8591,8600
286.5,8174,9133,8622,8629
287.5,8195,9168,8651,8659
288.5,8218,9204,8679,8687
289.5,8247,9223,8708,8715
290.5,8273,9251,8739,8743
291.5,8291,9289,8768,8771
292.5,8308,9326,8797,8799
293.5,8333,9347,8825,8828
294.5,8366,9365,8852,8856
295.5,8391,9388,8883,8885
296.5,8414,9418,8913,8914
297.5,8440,9446,8941,8943
298.5,8468,9482,8968,8972
299.5,8500,9507,8999,9000
300.5,8531,9544,9032,9029
301.5,8550,9570,9059,9057
302.5,8571,9602,9089,9086
303.5,8596,9629,9113,9115
304.5,8628,9652,9144,9144
305.5,8664,9678,9178,9173
306.5,8695,9713,9209,9203
307.5,8716,9743,9236,9232
308.5,8740,9771,9267,9261
309.5,8769,9791,9297,9290
310.5,8800,9808,9331,9319
311.5,8827,9837,9360,9348
312.5,8849,9864,9388,9378
313.5,8881,9890,9416,9407
314.5,8914,9911,9448,9436
315.5,8949,9934,9480,9465
316.5,8981,9952,9511,9494
317.5,9004,9981,9540,9524
318.5,9033,10009,9568,9552
319.5,9065,10025,9595,9581
320.5,9088,10043,9626,9609
321.5,9114,10070,9658,9638
322.5,9139,10103,9687,9666
323.5,9167,10128,9713,9695
324.5,9220,10147,9739,9723
325.5,9247,10161,9769,9752
326.5,9280,10187,9799,9780
327.5,9310,10220,9827,9809
328.5,9344,10240,9858,9837
329.5,9381,10261,9887,9865
330.5,9404,10279,9917,9893
331.5,9425,10300,9946,9921
332.5,9455,10321,9976,9949
333.5,9496,10344,10007,9978
334.5,9535,10360,10040,10007
335.5,9575,10376,10072,10036
336.5,9610,10394,10107,10065
337.5,9641,10422,10138,10094
338.5,9672,10442,10164,10121
339.5,9704,10460,10191,10147
340.5,9731,10486,10219,10173
341.5,9758,10515,10245,10199
342.5,9779,10548,10266,10224
343.5,9802,10574,10288,10249
344.5,9827,10599,10309,10272
