"depth","min","max","median","mean"
80,-64,297,149,117
81,-28,383,191,172
82,-6,499,235,227
83,15,641,277,281
84,28,789,317,336
85,42,950,358,391
86,85,964,413,441
87,111,973,466,491
88,137,992,522,541
89,150,1037,580,591
90,167,1102,633,641
91,274,1118,690,694
92,331,1132,749,748
93,372,1148,816,801
94,392,1169,876,855
95,416,1206,937,908
96,556,1215,982,961
97,695,1229,1028,1014
98,818,1246,1075,1066
99,925,1270,1126,1119
100,1005,1302,1177,1172
101,1092,1332,1231,1229
102,1139,1422,1287,1286
103,1175,1558,1335,1343
104,1195,1704,1380,1400
105,1211,1867,1427,1457
106,1254,1900,1481,1508
107,1285,1942,1536,1559
108,1307,1996,1586,1610
109,1325,2099,1637,1661
110,1341,2225,1688,1712
111,1392,2252,1743,1761
112,1431,2279,1797,1811
113,1455,2307,1855,1861
114,1476,2351,1907,1910
115,1500,2419,1960,1960
116,1570,2447,2016,2011
117,1611,2486,2074,2062
118,1647,2526,2128,2113
119,1674,2576,2182,2164
120,1698,2648,2229,2215
121,1780,2670,2279,2266
122,1848,2699,2329,2318
123,1897,2728,2388,2369
124,1935,2764,2440,2421
125,1969,2824,2494,2473
126,2080,2840,2535,2520
127,2193,2855,2583,2567
128,2283,2875,2630,2615
129,2344,2900,2675,2662
130,2394,2944,2723,2709
131,2532,2964,2767,2762
132,2660,2992,2811,2815
133,2757,3029,2863,2868
134,2795,3096,2916,2921
135,2812,3207,2963,2974
136,2868,3256,3023,3032
137,2896,3334,3081,3090
138,2915,3444,3137,3149
139,2928,3581,3186,3207
140,2937,3729,3232,3265
141,2987,3759,3290,3316
142,3019,3814,3348,3367
143,3046,3874,3402,3418
144,3066,3955,3454,3469
145,3080,4055,3506,3521
146,3124,4083,3560,3570
147,3157,4123,3611,3620
148,3181,4174,3664,3670
149,3207,4246,3717,3720
150,3230,4335,3765,3769
151,3293,4357,3818,3822
152,3340,4388,3875,3874
153,3379,4434,3933,3926
154,3412,4492,3989,3979
155,3441,4546,4042,4031
156,3527,4571,4096,4081
157,3597,4596,4150,4132
158,3643,4630,4204,4182
159,3688,4676,4257,4232
160,3721,4727,4309,4282
161,3785,4746,4352,4328
162,3838,4772,4401,4374
163,3878,4796,4449,4420
164,3918,4820,4499,4466
165,3953,4856,4552,4511
166,4100,4872,4596,4567
167,4243,4891,4644,4622
168,4370,4913,4693,4678
169,4446,4943,4746,4733
170,4499,4993,4805,4789
171,4587,5006,4832,4826
172,4657,5022,4861,4863
173,4697,5044,4895,4900
174,4737,5092,4934,4937
175,4758,5167,4969,4974
176,4795,5190,4995,5000
177,4825,5220,5022,5026
178,4856,5262,5045,5051
179,4877,5313,5070,5077
180,4892,5363,5094,5103
181,4919,5388,5120,5129
182,4937,5415,5145,5154
183,4955,5447,5172,5179
184,4967,5473,5198,5205
185,4979,5517,5223,5230
186,5003,5538,5250,5255
187,5023,5562,5276,5279
188,5040,5597,5301,5304
189,5055,5631,5328,5329
190,5064,5670,5351,5354
191,5098,5690,5377,5379
192,5121,5710,5403,5405
193,5144,5737,5428,5431
194,5161,5757,5453,5457
195,5174,5799,5479,5482
196,5214,5811,5507,5509
197,5241,5831,5536,5535
198,5263,5846,5563,5562
199,5284,5874,5591,5588
200,5299,5913,5619,5615
201,5339,5923,5645,5642
202,5375,5941,5673,5668
203,5403,5965,5700,5695
204,5422,5987,5727,5721
205,5446,6030,5756,5748
206,5492,6044,5779,5774
207,5529,6057,5804,5801
208,5557,6077,5829,5827
209,5579,6097,5858,5854
210,5599,6124,5885,5880
211,5667,6137,5902,5906
212,5733,6147,5921,5931
213,5789,6156,5939,5957
214,5835,6171,5959,5982
215,5873,6195,5980,6008
