"depth","min","max","median","mean"
13,-7,247,99,105
14,-1,251,103,110
15,4,255,108,115
16,8,260,113,120
17,14,265,118,125
18,16,270,123,129
19,22,274,128,134
20,29,278,133,139
21,32,282,138,144
22,36,286,144,149
23,39,291,149,154
24,45,293,154,159
25,51,297,159,164
26,56,301,163,168
27,59,306,168,173
28,63,311,173,178
29,68,314,179,183
30,72,318,184,188
31,76,322,189,193
32,81,326,195,198
33,86,331,200,203
34,93,334,205,208
35,97,338,209,213
36,102,342,215,218
37,108,348,219,223
38,112,352,224,228
39,119,357,230,233
40,125,361,234,238
41,130,364,240,243
42,133,368,245,248
43,138,373,250,253
44,144,377,255,257
45,150,380,260,262
46,157,386,265,267
47,161,390,271,272
48,165,395,276,277
49,170,399,281,282
50,175,402,286,287
51,180,407,291,292
52,184,409,296,297
53,189,414,301,301
54,195,417,307,307
55,202,421,312,312
56,208,426,317,317
57,212,433,322,322
58,215,438,327,327
59,223,442,332,332
60,229,445,337,337
61,234,449,342,342
62,239,453,347,347
63,244,458,353,352
64,253,461,358,357
65,259,465,362,362
66,266,469,367,367
67,270,473,371,371
68,275,478,377,376
69,282,480,381,381
70,290,484,386,386
71,296,488,392,391
72,301,492,397,397
73,305,498,402,402
74,311,502,407,407
75,316,506,412,412
76,319,512,417,416
77,323,520,422,421
78,326,527,427,426
79,332,532,433,431
80,336,537,437,436
81,341,541,442,441
82,345,548,447,446
83,349,555,452,451
84,355,560,456,456
85,359,565,461,461
86,364,571,467,466
87,368,576,471,472
88,371,582,477,477
89,378,585,481,482
90,383,592,486,487
91,387,596,491,492
92,390,602,496,497
93,393,610,502,502
94,399,614,507,507
95,405,618,512,512
96,410,624,517,517
97,415,629,522,522
98,419,634,527,527
99,424,639,532,532
100,429,644,538,537
101,435,650,542,542
102,439,657,548,547
103,445,666,554,552
104,452,670,558,557
105,457,674,563,563
106,462,680,569,568
107,467,687,573,573
108,472,693,578,578
109,478,697,583,583
110,483,701,589,588
111,489,705,594,593
112,494,709,599,598
113,498,717,604,604
114,504,721,609,609
115,509,727,614,614
116,515,733,619,619
117,520,738,624,624
118,524,746,629,629
119,530,750,634,634
120,537,754,638,640
121,542,758,643,645
122,548,764,648,650
123,552,771,653,655
124,559,774,658,660
125,564,776,662,666
126,568,779,667,671
127,572,784,672,676
128,577,790,677,681
129,583,796,683,687
130,589,803,689,693
131,593,810,694,698
132,596,818,700,704
133,600,829,706,710
134,606,834,712,715
135,611,840,717,721
136,617,848,723,727
137,621,856,729,733
138,626,864,735,739
139,632,869,741,744
140,638,875,746,750
141,644,879,753,756
142,649,886,758,762
143,653,895,764,767
144,659,901,770,773
145,665,906,776,779
146,669,912,782,785
147,673,920,787,791
148,678,930,793,796
149,686,934,798,802
150,692,941,804,808
151,697,947,810,814
152,705,955,816,820
153,708,963,822,825
154,714,968,827,831
155,718,974,833,837
156,723,981,839,843
157,728,988,845,849
158,732,997,851,855
159,738,1003,856,861
160,742,1008,862,866
161,747,1013,868,872
162,752,1018,874,878
163,757,1026,880,883
164,762,1031,884,889
165,765,1037,890,895
166,772,1042,896,900
167,777,1049,902,906
168,782,1056,907,911
169,788,1062,913,917
170,794,1069,919,923
171,799,1077,924,929
172,803,1083,930,935
173,807,1090,936,941
174,813,1097,941,947
175,819,1101,946,953
176,827,1105,953,959
177,833,1114,959,965
178,836,1122,965,971
179,846,1127,970,976
180,853,1132,976,982
181,859,1137,982,988
182,865,1145,988,994
183,869,1155,993,1000
184,877,1160,999,1006
185,885,1164,1003,1011
186,892,1170,1009,1017
187,897,1174,1015,1022
188,902,1182,1021,1028
189,909,1186,1026,1034
190,916,1192,1032,1039
191,920,1197,1037,1045
