"depth","min","max","median","mean"
30,1435,2010,1734,1732
31,1445,2022,1745,1741
32,1453,2034,1754,1750
33,1463,2042,1761,1760
34,1474,2054,1770,1769
35,1483,2068,1779,1779
36,1492,2079,1789,1788
37,1505,2088,1798,1798
38,1517,2105,1808,1807
39,1524,2119,1817,1817
40,1534,2130,1826,1826
41,1544,2139,1835,1836
42,1555,2152,1845,1845
43,1564,2164,1855,1854
44,1572,2177,1865,1864
45,1579,2184,1874,1873
46,1588,2193,1883,1882
47,1597,2203,1892,1892
48,1607,2213,1901,1901
49,1613,2224,1910,1911
50,1620,2236,1919,1920
51,1631,2245,1927,1929
52,1637,2253,1937,1939
53,1643,2262,1948,1948
54,1653,2274,1956,1958
55,1661,2290,1965,1967
56,1670,2301,1975,1977
57,1681,2314,1984,1986
58,1689,2322,1993,1996
59,1696,2330,2001,2005
60,1704,2344,2010,2015
61,1715,2357,2019,2025
62,1726,2367,2029,2034
63,1734,2378,2039,2044
64,1741,2390,2050,2054
65,1749,2401,2061,2064
66,1756,2410,2070,2073
67,1767,2417,2078,2083
68,1771,2427,2088,2092
69,1784,2438,2098,2101
70,1795,2455,2109,2111
71,1809,2463,2118,2120
72,1821,2472,2127,2130
73,1827,2483,2138,2139
74,1836,2496,2147,2149
75,1840,2508,2158,2158
76,1850,2518,2166,2168
77,1857,2529,2175,2177
78,1866,2537,2183,2186
79,1872,2549,2191,2196
80,1879,2558,2200,2205
81,1889,2571,2209,2215
82,1899,2582,2220,2224
83,1912,2595,2230,2234
84,1916,2602,2239,2243
85,1922,2610,2249,2253
86,1934,2622,2258,2262
87,1943,2637,2268,2272
88,1955,2648,2277,2282
89,1962,2659,2286,2291
90,1969,2668,2297,2301
91,1982,2678,2306,2310
92,1989,2686,2315,2320
93,1998,2694,2324,2330
94,2006,2706,2334,2339
95,2014,2721,2345,2349
96,2024,2732,2354,2358
97,2029,2743,2363,2368
98,2037,2752,2372,2377
99,2043,2761,2382,2387
100,2054,2774,2391,2396
101,2061,2783,2401,2405
102,2070,2795,2409,2415
103,2079,2803,2419,2424
104,2089,2809,2428,2434
105,2096,2823,2437,2443
106,2108,2830,2446,2453
107,2119,2841,2455,2462
108,2129,2851,2465,2472
109,2138,2865,2475,2481
110,2145,2882,2485,2491
111,2154,2891,2495,2500
112,2168,2895,2506,2510
113,2177,2905,2515,2519
114,2185,2912,2525,2529
115,2192,2921,2534,2538
116,2199,2931,2544,2548
117,2209,2941,2553,2557
118,2218,2949,2563,2567
119,2225,2962,2572,2577
120,2233,2977,2581,2587
121,2248,2983,2592,2596
122,2258,2993,2601,2606
123,2271,3002,2611,2616
124,2280,3015,2622,2626
125,2286,3028,2633,2635
126,2296,3033,2643,2645
127,2304,3040,2651,2654
128,2313,3047,2661,2664
129,2321,3056,2669,2673
130,2323,3065,2678,2682
131,2334,3076,2687,2692
132,2342,3083,2697,2701
133,2350,3092,2706,2710
134,2361,3106,2715,2720
135,2372,3117,2725,2729
136,2383,3123,2734,2738
137,2391,3133,2744,2748
138,2396,3141,2752,2757
139,2403,3150,2762,2767
140,2407,3162,2772,2776
141,2420,3170,2782,2786
142,2432,3178,2791,2795
143,2441,3188,2801,2805
144,2449,3198,2813,2814
145,2455,3210,2821,2824
146,2465,3219,2830,2833
147,2479,3227,2838,2843
148,2489,3233,2848,2852
149,2497,3241,2857,2862
150,2505,3251,2867,2871
151,2518,3265,2877,2881
152,2529,3272,2888,2891
153,2538,3280,2898,2901
154,2547,3294,2908,2910
155,2551,3303,2917,2920
156,2568,3311,2925,2930
157,2580,3321,2935,2939
158,2592,3330,2944,2949
159,2603,3342,2954,2958
160,2613,3353,2964,2968
