"depth","min","max","median","mean"
67.5,789,998,888,891
68.5,815,1153,943,953
69.5,831,1320,991,1015
70.5,839,1490,1040,1077
71.5,851,1664,1090,1139
72.5,878,1788,1144,1198
73.5,911,1866,1208,1256
74.5,934,1937,1273,1314
75.5,957,2037,1335,1372
76.5,973,2131,1394,1429
77.5,1011,2201,1452,1488
78.5,1056,2236,1517,1549
79.5,1085,2279,1582,1609
80.5,1111,2337,1648,1670
81.5,1135,2420,1704,1730
82.5,1186,2482,1766,1789
83.5,1256,2513,1828,1846
84.5,1306,2550,1890,1903
85.5,1344,2594,1951,1960
86.5,1375,2669,2008,2017
87.5,1422,2724,2067,2073
88.5,1492,2760,2124,2129
89.5,1541,2798,2187,2184
90.5,1577,2839,2248,2240
91.5,1603,2888,2310,2296
92.5,1680,2933,2369,2351
93.5,1754,2961,2421,2406
94.5,1822,2995,2479,2461
95.5,1878,3031,2533,2516
96.5,1921,3077,2588,2571
97.5,1998,3117,2641,2627
98.5,2092,3137,2700,2685
99.5,2171,3167,2756,2742
100.5,2236,3203,2821,2799
101.5,2281,3250,2880,2856
102.5,2394,3278,2935,2915
103.5,2555,3292,2990,2975
104.5,2693,3308,3046,3036
105.5,2805,3332,3108,3096
106.5,2883,3362,3172,3157
107.5,2983,3402,3227,3217
108.5,3099,3432,3278,3276
109.5,3168,3482,3339,3336
110.5,3213,3595,3393,3396
111.5,3239,3738,3445,3455
112.5,3283,3841,3498,3515
113.5,3323,3915,3560,3575
114.5,3348,4028,3619,3636
115.5,3368,4161,3673,3696
116.5,3380,4316,3725,3756
117.5,3422,4425,3782,3817
118.5,3459,4479,3843,3878
119.5,3485,4554,3904,3939
120.5,3514,4645,3967,4000
121.5,3530,4744,4022,4061
122.5,3570,4828,4080,4122
123.5,3625,4882,4145,4183
124.5,3670,4939,4211,4244
125.5,3707,5015,4279,4305
126.5,3738,5134,4345,4366
127.5,3789,5213,4407,4425
128.5,3844,5257,4461,4482
129.5,3894,5308,4514,4538
130.5,3929,5370,4568,4595
131.5,3962,5451,4626,4652
132.5,4021,5511,4687,4710
133.5,4075,5550,4746,4769
134.5,4124,5601,4814,4828
135.5,4167,5662,4877,4887
136.5,4203,5730,4934,4946
137.5,4277,5789,4995,5007
138.5,4355,5841,5061,5071
139.5,4429,5895,5127,5134
140.5,4478,5966,5190,5198
141.5,4517,6045,5257,5262
142.5,4573,6119,5317,5320
143.5,4637,6149,5374,5375
144.5,4691,6196,5425,5429
145.5,4735,6235,5479,5483
146.5,4785,6288,5539,5537
147.5,4846,6331,5589,5592
148.5,4919,6362,5646,5649
149.5,4974,6392,5706,5706
150.5,5027,6435,5759,5762
151.5,5075,6506,5820,5819
152.5,5130,6555,5877,5876
153.5,5197,6584,5940,5933
154.5,5255,6615,6000,5991
155.5,5298,6654,6063,6048
156.5,5331,6711,6123,6105
157.5,5401,6762,6183,6162
158.5,5512,6780,6239,6220
159.5,5598,6808,6301,6277
160.5,5659,6848,6365,6335
161.5,5707,6895,6423,6392
162.5,5804,6931,6482,6451
163.5,5957,6952,6538,6513
164.5,6066,6980,6597,6575
165.5,6152,7012,6659,6636
166.5,6217,7056,6722,6698
167.5,6320,7091,6778,6758
168.5,6468,7107,6829,6818
169.5,6608,7122,6879,6877
170.5,6725,7143,6931,6936
171.5,6801,7185,6983,6996
172.5,6852,7250,7038,7051
173.5,6892,7329,7093,7104
174.5,6919,7433,7148,7156
175.5,6938,7567,7196,7209
176.5,6958,7698,7239,7261
177.5,6992,7792,7288,7313
178.5,7031,7854,7339,7365
179.5,7060,7916,7390,7416
180.5,7083,8017,7436,7468
181.5,7100,8138,7482,7519
182.5,7137,8228,7533,7572
183.5,7180,8279,7587,7625
184.5,7213,8339,7642,7679
185.5,7240,8403,7697,7732
186.5,7258,8465,7753,7786
187.5,7306,8532,7806,7840
188.5,7359,8577,7865,7893
189.5,7397,8634,7918,7946
190.5,7425,8695,7977,8000
191.5,7445,8767,8028,8053
192.5,7482,8835,8081,8106
193.5,7529,8872,8136,8157
194.5,7573,8924,8195,8209
195.5,7611,8965,8250,8261
196.5,7636,9045,8305,8313
197.5,7682,9104,8358,8365
198.5,7727,9143,8410,8416
199.5,7778,9186,8465,8468
200.5,7815,9238,8515,8520
201.5,7846,9312,8570,8572
202.5,7903,9375,8621,8624
203.5,7974,9408,8674,8676
204.5,8018,9457,8729,8727
205.5,8061,9526,8782,8779
206.5,8088,9587,8832,8830
207.5,8146,9638,8883,8881
208.5,8203,9669,8934,8931
209.5,8248,9701,8985,8982
210.5,8291,9745,9039,9032
211.5,8329,9800,9096,9082
212.5,8382,9853,9143,9132
213.5,8449,9880,9194,9182
214.5,8502,9907,9242,9232
215.5,8546,9950,9298,9282
216.5,8592,10009,9349,9332
217.5,8649,10050,9402,9384
218.5,8733,10079,9455,9437
219.5,8791,10109,9507,9490
220.5,8853,10150,9565,9543
221.5,8895,10206,9623,9596
222.5,8961,10246,9672,9648
223.5,9054,10268,9718,9699
224.5,9122,10297,9766,9751
225.5,9183,10334,9817,9802
226.5,9218,10386,9871,9854
227.5,9300,10428,9918,9905
228.5,9401,10450,9968,9956
229.5,9469,10476,10024,10008
230.5,9525,10507,10078,10059
231.5,9574,10552,10132,10111
232.5,9656,10598,10178,10161
233.5,9763,10618,10219,10210
234.5,9859,10641,10266,10260
235.5,9927,10672,10311,10309
236.5,9986,10707,10363,10359
237.5,10087,10746,10418,10418
238.5,10220,10786,10484,10487
239.5,10310,10838,10552,10555
240.5,10366,10928,10622,10624
241.5,10400,11037,10687,10693
242.5,10471,11112,10752,10763
243.5,10563,11138,10824,10833
244.5,10631,11171,10908,10904
245.5,10687,11210,11002,10974
246.5,10733,11275,11094,11045
247.5,10779,11341,11170,11108
