"depth","min","max","median","mean"
652.5,7274,7607,7445,7439
653.5,7275,7609,7447,7441
654.5,7278,7609,7449,7443
655.5,7279,7612,7451,7445
656.5,7281,7614,7453,7447
657.5,7284,7615,7455,7449
658.5,7287,7618,7457,7451
659.5,7289,7620,7459,7453
660.5,7290,7621,7461,7455
661.5,7293,7623,7462,7456
662.5,7294,7624,7464,7458
663.5,7296,7627,7466,7460
664.5,7297,7628,7468,7462
665.5,7299,7630,7469,7464
666.5,7301,7632,7471,7466
667.5,7304,7634,7473,7468
668.5,7306,7637,7475,7470
669.5,7308,7639,7477,7472
670.5,7309,7643,7479,7474
671.5,7311,7645,7481,7476
672.5,7311,7647,7483,7478
673.5,7313,7650,7484,7480
674.5,7316,7651,7487,7482
675.5,7318,7652,7488,7484
676.5,7320,7653,7490,7486
677.5,7322,7654,7493,7488
678.5,7324,7656,7495,7490
679.5,7327,7658,7497,7492
680.5,7328,7660,7499,7494
681.5,7330,7662,7500,7496
682.5,7332,7664,7502,7498
683.5,7335,7666,7504,7500
684.5,7337,7667,7506,7502
685.5,7338,7669,7509,7504
686.5,7341,7672,7511,7506
687.5,7343,7675,7513,7508
688.5,7344,7676,7515,7510
689.5,7344,7678,7516,7512
690.5,7346,7679,7519,7514
691.5,7348,7680,7521,7516
692.5,7350,7683,7523,7518
693.5,7352,7685,7525,7520
694.5,7354,7689,7527,7522
695.5,7357,7691,7529,7524
696.5,7360,7694,7531,7526
697.5,7362,7696,7533,7528
698.5,7364,7697,7535,7530
699.5,7366,7700,7537,7532
700.5,7368,7701,7539,7534
701.5,7370,7702,7541,7536
702.5,7372,7704,7543,7538
703.5,7374,7706,7545,7539
704.5,7376,7710,7547,7541
705.5,7378,7713,7549,7543
706.5,7381,7714,7550,7545
707.5,7383,7715,7552,7547
708.5,7384,7717,7554,7549
709.5,7385,7720,7556,7551
710.5,7387,7721,7558,7553
711.5,7388,7722,7560,7555
712.5,7389,7725,7562,7557
713.5,7393,7726,7564,7559
714.5,7395,7728,7566,7561
715.5,7396,7731,7568,7563
716.5,7398,7732,7569,7565
717.5,7399,7734,7572,7567
718.5,7401,7737,7574,7569
719.5,7404,7739,7576,7571
720.5,7406,7742,7578,7573
721.5,7409,7745,7580,7575
722.5,7411,7747,7581,7577
723.5,7413,7749,7584,7579
724.5,7415,7751,7586,7581
725.5,7416,7753,7588,7583
726.5,7418,7755,7590,7585
727.5,7420,7758,7592,7587
728.5,7422,7759,7594,7589
729.5,7426,7760,7596,7591
730.5,7427,7763,7597,7593
731.5,7429,7764,7599,7595
732.5,7431,7766,7601,7597
733.5,7433,7769,7603,7599
734.5,7436,7771,7605,7601
735.5,7437,7773,7607,7603
736.5,7439,7775,7609,7605
737.5,7441,7777,7611,7607
738.5,7444,7778,7613,7609
739.5,7446,7781,7615,7611
740.5,7447,7783,7617,7613
741.5,7450,7784,7619,7615
742.5,7452,7787,7620,7617
743.5,7454,7789,7622,7619
744.5,7455,7791,7624,7621
745.5,7458,7793,7626,7623
746.5,7460,7796,7628,7625
747.5,7462,7797,7630,7627
748.5,7465,7800,7632,7629
749.5,7468,7802,7634,7631
750.5,7469,7803,7636,7633
751.5,7470,7806,7637,7635
752.5,7473,7808,7640,7637
753.5,7474,7809,7642,7639
754.5,7478,7811,7643,7641
755.5,7479,7813,7645,7643
756.5,7481,7813,7647,7645
757.5,7483,7815,7649,7647
758.5,7484,7818,7651,7649
759.5,7486,7820,7653,7651
760.5,7488,7823,7655,7653
761.5,7491,7823,7657,7655
762.5,7493,7824,7658,7657
763.5,7496,7827,7661,7659
764.5,7499,7829,7662,7661
765.5,7501,7831,7664,7663
