"depth","min","max","median","mean"
77.5,-64,336,45,84
78.5,-58,345,56,93
79.5,-53,366,68,101
80.5,-50,375,79,110
81.5,-45,388,91,119
82.5,-42,398,102,127
83.5,-39,407,113,136
84.5,-37,423,122,144
85.5,-35,434,133,153
86.5,-32,447,142,161
87.5,-26,456,151,169
88.5,-19,462,159,178
89.5,-12,468,166,186
90.5,-7,478,176,194
91.5,-2,488,186,202
92.5,3,498,195,210
93.5,6,510,203,218
94.5,10,519,212,226
95.5,12,532,222,234
96.5,15,543,231,242
97.5,21,555,240,251
98.5,29,562,248,259
99.5,37,573,256,267
100.5,44,581,264,275
101.5,48,590,272,283
102.5,54,601,279,292
103.5,59,614,287,300
104.5,63,624,295,308
105.5,67,630,304,316
106.5,70,642,312,324
107.5,76,652,320,332
108.5,85,659,329,341
109.5,94,667,337,349
110.5,99,677,347,357
111.5,106,685,356,365
112.5,112,698,364,373
113.5,116,707,373,381
114.5,122,714,382,390
115.5,125,728,391,398
116.5,129,738,399,406
117.5,136,750,408,414
118.5,147,756,417,422
119.5,158,764,425,431
120.5,164,772,432,439
121.5,170,778,439,447
122.5,178,786,447,455
123.5,185,795,456,463
124.5,189,809,463,472
125.5,193,820,470,480
126.5,198,831,478,488
127.5,205,841,487,497
128.5,214,850,497,505
129.5,222,859,505,514
130.5,229,869,514,523
131.5,238,878,524,531
132.5,244,887,534,540
133.5,250,893,541,549
134.5,260,902,550,557
135.5,266,913,558,566
136.5,269,924,567,575
137.5,276,934,576,583
138.5,283,943,585,591
139.5,289,951,594,599
140.5,296,958,604,608
141.5,301,966,613,616
142.5,306,976,621,624
143.5,310,980,629,632
144.5,317,994,637,640
145.5,323,1005,645,648
146.5,326,1015,653,656
147.5,335,1023,661,664
148.5,345,1030,670,673
149.5,352,1037,677,681
150.5,360,1044,686,689
151.5,368,1051,695,698
152.5,374,1059,701,706
153.5,380,1070,710,714
154.5,388,1078,717,723
155.5,396,1083,725,731
156.5,401,1093,734,739
157.5,410,1100,743,748
158.5,419,1106,751,756
159.5,428,1111,759,764
160.5,436,1117,768,773
161.5,443,1123,776,781
162.5,451,1136,785,790
163.5,459,1143,795,798
164.5,467,1153,803,806
165.5,475,1163,811,815
166.5,482,1173,822,823
167.5,491,1180,830,831
168.5,499,1188,837,840
169.5,509,1192,846,848
170.5,519,1201,855,856
171.5,527,1208,863,864
172.5,533,1214,870,872
173.5,538,1220,879,880
174.5,548,1230,887,888
175.5,557,1239,896,896
176.5,562,1249,904,904
177.5,573,1259,913,913
178.5,583,1266,920,921
179.5,592,1272,929,930
180.5,597,1279,937,938
181.5,607,1290,946,947
182.5,613,1300,954,955
183.5,622,1303,964,964
184.5,628,1314,971,972
185.5,633,1323,979,980
186.5,641,1331,988,989
187.5,649,1340,997,997
188.5,663,1345,1005,1006
189.5,673,1348,1013,1014
190.5,680,1354,1021,1023
191.5,690,1361,1030,1031
192.5,698,1366,1040,1040
193.5,708,1377,1048,1048
194.5,714,1385,1058,1057
195.5,721,1394,1065,1065
196.5,727,1402,1074,1074
197.5,738,1410,1082,1083
198.5,750,1416,1090,1091
199.5,762,1423,1099,1100
200.5,773,1429,1109,1109
201.5,781,1436,1119,1118
202.5,791,1444,1127,1127
203.5,797,1451,1136,1136
204.5,805,1461,1146,1145
205.5,812,1467,1155,1153
206.5,819,1477,1165,1162
207.5,828,1483,1175,1171
208.5,839,1490,1183,1179
209.5,849,1497,1191,1187
210.5,861,1504,1199,1196
211.5,872,1511,1207,1204
212.5,877,1517,1215,1212
213.5,885,1525,1224,1221
214.5,892,1534,1233,1229
215.5,897,1544,1242,1237
216.5,903,1555,1250,1245
217.5,914,1562,1259,1254
218.5,925,1567,1268,1262
219.5,938,1576,1277,1271
220.5,948,1581,1285,1279
221.5,958,1588,1294,1288
222.5,966,1596,1303,1296
223.5,974,1600,1312,1305
224.5,981,1612,1319,1313
225.5,993,1620,1328,1322
226.5,998,1627,1336,1330
227.5,1007,1634,1344,1339
228.5,1020,1640,1352,1347
229.5,1035,1642,1362,1356
230.5,1043,1645,1371,1364
231.5,1053,1652,1379,1372
232.5,1064,1657,1388,1381
233.5,1071,1665,1396,1389
234.5,1079,1677,1405,1397
235.5,1087,1683,1413,1406
236.5,1090,1691,1422,1414
237.5,1105,1697,1431,1422
238.5,1121,1703,1438,1431
239.5,1133,1709,1446,1439
240.5,1145,1713,1454,1448
241.5,1158,1717,1462,1456
242.5,1168,1722,1471,1465
243.5,1179,1731,1478,1473
244.5,1188,1737,1488,1482
245.5,1200,1743,1497,1490
246.5,1207,1749,1507,1499
247.5,1217,1755,1514,1507
248.5,1229,1761,1522,1515
249.5,1240,1767,1531,1524
250.5,1252,1772,1540,1532
251.5,1264,1779,1550,1541
252.5,1271,1785,1558,1549
253.5,1281,1790,1566,1557
254.5,1289,1799,1575,1566
255.5,1296,1807,1584,1574
256.5,1306,1815,1593,1583
257.5,1318,1825,1601,1591
258.5,1330,1829,1608,1600
259.5,1343,1835,1616,1608
260.5,1356,1839,1624,1617
261.5,1365,1846,1633,1625
262.5,1377,1850,1642,1634
263.5,1384,1858,1650,1642
264.5,1394,1863,1659,1651
265.5,1402,1870,1668,1659
266.5,1409,1879,1677,1668
267.5,1422,1884,1685,1676
268.5,1443,1886,1693,1685
269.5,1457,1891,1701,1693
270.5,1471,1895,1708,1702
271.5,1487,1899,1716,1711
272.5,1502,1906,1725,1719
273.5,1513,1913,1733,1728
274.5,1520,1919,1741,1736
275.5,1527,1925,1749,1745
276.5,1534,1935,1758,1754
277.5,1545,1942,1767,1762
278.5,1562,1948,1773,1770
279.5,1576,1953,1780,1778
280.5,1593,1957,1789,1786
281.5,1603,1961,1796,1794
282.5,1613,1966,1805,1802
283.5,1622,1973,1814,1810
284.5,1629,1980,1822,1818
285.5,1638,1990,1829,1827
286.5,1643,2000,1838,1835
287.5,1650,2009,1845,1842
288.5,1655,2015,1852,1849
289.5,1661,2023,1859,1856
290.5,1667,2033,1865,1864
291.5,1673,2042,1872,1871
292.5,1678,2053,1879,1878
293.5,1684,2062,1886,1885
294.5,1689,2077,1892,1892
295.5,1694,2090,1899,1899
296.5,1698,2103,1906,1906
297.5,1705,2112,1913,1913
298.5,1712,2119,1919,1920
299.5,1720,2125,1926,1926
300.5,1725,2131,1932,1933
301.5,1731,2136,1939,1940
302.5,1738,2146,1945,1946
303.5,1744,2154,1951,1953
304.5,1752,2165,1957,1959
305.5,1758,2177,1964,1966
306.5,1762,2190,1971,1973
307.5,1768,2198,1978,1979
308.5,1777,2203,1984,1986
309.5,1784,2209,1991,1993
310.5,1790,2216,1996,1999
311.5,1796,2222,2003,2006
312.5,1803,2232,2010,2013
313.5,1808,2241,2017,2019
314.5,1815,2248,2024,2026
315.5,1820,2256,2032,2033
316.5,1824,2266,2038,2039
317.5,1829,2275,2044,2046
318.5,1837,2281,2051,2053
319.5,1843,2285,2059,2060
320.5,1851,2291,2065,2068
321.5,1858,2299,2072,2075
322.5,1862,2307,2078,2082
323.5,1866,2314,2084,2089
324.5,1869,2323,2092,2096
325.5,1873,2332,2099,2103
326.5,1878,2342,2106,2110
327.5,1883,2352,2112,2117
328.5,1892,2356,2119,2124
329.5,1899,2363,2125,2131
330.5,1905,2366,2133,2137
331.5,1909,2374,2141,2144
332.5,1916,2381,2148,2151
333.5,1920,2386,2155,2158
334.5,1926,2397,2163,2165
335.5,1931,2407,2170,2172
336.5,1936,2417,2177,2179
337.5,1943,2423,2183,2186
338.5,1952,2430,2190,2193
339.5,1960,2437,2197,2199
340.5,1969,2442,2205,2206
341.5,1978,2448,2212,2213
342.5,1981,2454,2218,2220
343.5,1987,2463,2225,2227
344.5,1991,2471,2232,2233
345.5,1997,2480,2239,2240
346.5,2002,2491,2246,2247
347.5,2009,2497,2253,2254
348.5,2016,2502,2261,2261
349.5,2025,2508,2269,2268
350.5,2031,2512,2275,2275
351.5,2039,2517,2282,2282
352.5,2046,2524,2290,2289
353.5,2055,2530,2297,2296
354.5,2059,2537,2305,2303
355.5,2064,2546,2311,2310
356.5,2072,2555,2319,2317
357.5,2078,2560,2326,2324
358.5,2085,2567,2332,2330
359.5,2096,2572,2339,2337
360.5,2105,2577,2345,2344
361.5,2113,2583,2351,2351
362.5,2119,2589,2358,2357
363.5,2125,2595,2364,2364
364.5,2132,2606,2370,2371
365.5,2136,2613,2376,2378
366.5,2142,2622,2383,2384
367.5,2149,2630,2389,2391
368.5,2159,2634,2396,2398
369.5,2167,2639,2404,2405
370.5,2172,2643,2412,2411
371.5,2178,2648,2419,2418
372.5,2183,2654,2426,2425
373.5,2187,2659,2433,2432
374.5,2194,2666,2440,2439
375.5,2200,2676,2447,2446
376.5,2206,2683,2453,2452
377.5,2213,2690,2460,2459
378.5,2222,2694,2467,2466
379.5,2230,2697,2472,2472
380.5,2238,2703,2479,2479
381.5,2245,2710,2487,2485
382.5,2253,2713,2493,2492
383.5,2257,2718,2500,2498
384.5,2264,2724,2507,2505
385.5,2268,2730,2514,2511
386.5,2275,2737,2521,2518
387.5,2281,2745,2528,2524
388.5,2291,2749,2535,2531
389.5,2300,2752,2542,2538
390.5,2309,2757,2550,2545
391.5,2319,2762,2557,2551
392.5,2326,2766,2565,2558
393.5,2334,2773,2573,2565
394.5,2342,2778,2579,2572
395.5,2349,2786,2585,2578
396.5,2353,2794,2592,2585
397.5,2362,2801,2598,2592
398.5,2372,2804,2606,2599
399.5,2381,2807,2614,2605
400.5,2388,2812,2624,2612
401.5,2398,2816,2632,2618
402.5,2406,2820,2640,2625
403.5,2413,2825,2651,2632
404.5,2416,2830,2659,2638
405.5,2423,2837,2668,2645
406.5,2427,2843,2675,2652
407.5,2433,2849,2682,2658
408.5,2442,2855,2690,2665
409.5,2449,2861,2697,2672
410.5,2454,2867,2705,2679
411.5,2461,2876,2711,2686
412.5,2467,2885,2718,2693
413.5,2474,2899,2722,2700
414.5,2481,2912,2728,2706
415.5,2485,2921,2733,2713
416.5,2490,2933,2738,2720
417.5,2496,2943,2744,2727
418.5,2503,2950,2750,2734
419.5,2509,2956,2757,2740
420.5,2514,2965,2763,2747
421.5,2520,2971,2769,2754
422.5,2526,2981,2774,2760
423.5,2532,2989,2780,2767
424.5,2536,3002,2786,2774
425.5,2540,3012,2792,2781
426.5,2543,3024,2797,2787
427.5,2550,3033,2802,2794
428.5,2557,3040,2808,2801
429.5,2564,3047,2814,2808
430.5,2572,3056,2821,2815
431.5,2578,3066,2828,2822
432.5,2584,3074,2835,2829
433.5,2589,3086,2841,2835
434.5,2593,3096,2847,2842
435.5,2597,3106,2853,2849
436.5,2600,3115,2859,2856
437.5,2609,3127,2866,2863
438.5,2617,3135,2872,2870
439.5,2623,3142,2879,2877
440.5,2628,3150,2885,2883
441.5,2633,3158,2892,2890
442.5,2639,3167,2898,2897
443.5,2645,3178,2905,2904
444.5,2648,3191,2911,2911
445.5,2652,3204,2916,2917
446.5,2655,3217,2922,2924
447.5,2663,3227,2929,2931
448.5,2672,3233,2937,2938
449.5,2683,3239,2943,2945
450.5,2690,3245,2949,2951
451.5,2695,3252,2957,2958
452.5,2698,3260,2964,2965
453.5,2703,3266,2970,2972
454.5,2709,3275,2976,2979
455.5,2714,3285,2983,2986
456.5,2720,3293,2989,2992
457.5,2725,3302,2996,2999
458.5,2732,3310,3002,3006
459.5,2737,3314,3009,3013
460.5,2745,3323,3016,3020
461.5,2751,3336,3022,3026
462.5,2759,3345,3029,3033
463.5,2763,3355,3035,3040
464.5,2770,3362,3042,3047
465.5,2774,3375,3049,3054
466.5,2780,3387,3055,3061
467.5,2789,3400,3062,3067
468.5,2795,3411,3069,3074
469.5,2804,3424,3075,3081
470.5,2809,3431,3083,3088
471.5,2817,3437,3090,3095
472.5,2823,3447,3098,3102
473.5,2829,3455,3105,3109
474.5,2834,3464,3112,3116
475.5,2838,3477,3119,3123
476.5,2843,3484,3126,3130
477.5,2850,3491,3133,3137
478.5,2857,3500,3140,3144
479.5,2868,3512,3147,3151
480.5,2874,3519,3153,3158
481.5,2880,3525,3160,3165
482.5,2887,3535,3168,3172
483.5,2895,3542,3174,3179
484.5,2900,3549,3181,3186
485.5,2905,3563,3188,3193
486.5,2910,3572,3195,3200
487.5,2918,3579,3202,3206
488.5,2925,3587,3208,3213
489.5,2934,3593,3216,3220
490.5,2938,3603,3225,3227
491.5,2944,3612,3232,3234
492.5,2952,3622,3242,3240
493.5,2960,3633,3250,3247
494.5,2966,3638,3258,3254
495.5,2970,3646,3268,3261
496.5,2975,3655,3274,3268
497.5,2985,3667,3285,3277
498.5,3002,3675,3298,3289
499.5,3016,3688,3306,3300
500.5,3027,3697,3316,3312
501.5,3039,3707,3327,3324
502.5,3049,3722,3336,3336
503.5,3056,3738,3346,3348
504.5,3061,3757,3355,3359
505.5,3068,3775,3364,3371
506.5,3072,3795,3374,3383
507.5,3080,3808,3385,3395
508.5,3098,3819,3397,3408
509.5,3111,3833,3409,3420
510.5,3120,3842,3423,3433
511.5,3129,3852,3435,3445
512.5,3135,3863,3449,3458
513.5,3145,3885,3461,3471
514.5,3152,3902,3474,3483
515.5,3160,3910,3486,3496
516.5,3168,3927,3497,3508
517.5,3179,3942,3510,3521
518.5,3190,3953,3524,3534
519.5,3202,3960,3537,3547
520.5,3211,3969,3551,3559
