"depth","min","max","median","mean"
431,1101,1301,1219,1226
432,1111,1314,1228,1234
433,1122,1331,1239,1243
434,1132,1348,1252,1252
435,1139,1367,1263,1261
436,1145,1389,1272,1269
437,1154,1398,1281,1278
438,1161,1409,1289,1287
439,1168,1424,1298,1296
440,1174,1442,1306,1305
441,1180,1456,1315,1314
442,1188,1466,1324,1323
443,1198,1477,1332,1332
444,1204,1491,1339,1340
445,1211,1506,1347,1349
446,1217,1523,1355,1358
447,1223,1532,1364,1367
448,1231,1543,1373,1375
449,1237,1554,1382,1384
450,1243,1568,1390,1393
451,1248,1584,1398,1402
452,1257,1591,1407,1411
453,1265,1600,1415,1419
454,1270,1613,1424,1428
455,1276,1624,1433,1436
456,1280,1639,1441,1445
457,1287,1647,1449,1453
458,1293,1656,1458,1462
459,1301,1670,1466,1471
460,1306,1682,1474,1479
461,1311,1694,1482,1488
462,1321,1704,1492,1497
463,1327,1712,1500,1505
464,1335,1721,1509,1514
465,1340,1733,1518,1523
466,1346,1746,1526,1531
467,1355,1755,1535,1540
468,1359,1761,1545,1549
469,1365,1770,1555,1558
470,1371,1782,1563,1566
471,1378,1797,1571,1575
472,1386,1804,1580,1584
473,1394,1816,1588,1593
474,1402,1827,1597,1601
475,1408,1838,1606,1610
476,1416,1849,1615,1619
477,1426,1857,1622,1628
478,1433,1865,1632,1636
479,1440,1876,1640,1645
480,1446,1887,1649,1654
481,1451,1898,1658,1663
482,1458,1905,1667,1671
483,1466,1914,1674,1680
484,1476,1924,1683,1688
485,1482,1934,1692,1697
486,1488,1943,1700,1705
487,1498,1950,1709,1714
488,1507,1961,1717,1722
489,1512,1970,1726,1731
490,1520,1980,1734,1739
491,1526,1992,1743,1748
492,1533,2000,1751,1757
493,1542,2012,1760,1765
494,1549,2021,1769,1774
495,1555,2034,1777,1783
496,1561,2045,1786,1791
497,1571,2053,1795,1800
498,1580,2063,1805,1809
499,1587,2074,1814,1818
500,1593,2083,1823,1827
501,1600,2094,1831,1836
502,1608,2104,1840,1844
503,1614,2113,1848,1853
504,1621,2123,1856,1861
505,1626,2134,1865,1870
506,1634,2143,1874,1878
507,1644,2151,1883,1887
508,1651,2160,1892,1896
509,1660,2170,1900,1904
510,1668,2183,1909,1913
511,1676,2196,1917,1922
512,1683,2203,1926,1931
513,1692,2212,1936,1940
514,1697,2221,1945,1949
515,1705,2232,1954,1958
516,1710,2243,1963,1967
517,1723,2251,1973,1975
518,1732,2259,1981,1984
519,1739,2268,1990,1992
520,1748,2280,1999,2001
521,1753,2293,2008,2010
522,1762,2300,2016,2018
523,1772,2305,2024,2027
524,1779,2315,2031,2036
525,1784,2324,2040,2044
526,1790,2332,2049,2053
527,1803,2343,2058,2062
528,1813,2346,2067,2071
529,1822,2355,2076,2080
530,1830,2366,2085,2089
531,1836,2380,2093,2098
532,1844,2388,2102,2106
533,1852,2394,2111,2115
534,1858,2407,2119,2124
535,1867,2416,2129,2133
536,1877,2427,2137,2142
537,1887,2439,2146,2151
538,1898,2448,2155,2160
539,1906,2459,2164,2169
540,1915,2471,2173,2178
541,1921,2486,2182,2187
