"depth","min","max","median","mean"
271,11354,12443,11856,11868
272,11408,12505,11901,11919
273,11437,12588,11948,11970
274,11461,12671,11990,12022
275,11487,12775,12037,12073
276,11509,12903,12080,12124
277,11550,12957,12124,12174
278,11579,13012,12182,12224
279,11607,13082,12230,12273
280,11637,13154,12281,12323
281,11666,13253,12328,12373
282,11715,13316,12377,12423
283,11749,13375,12426,12473
284,11775,13445,12481,12523
285,11807,13522,12535,12573
286,11838,13627,12587,12623
287,11883,13678,12631,12673
288,11928,13735,12676,12723
289,11978,13810,12726,12774
290,12007,13896,12777,12824
291,12034,13993,12825,12874
292,12086,14055,12880,12926
293,12119,14117,12927,12977
294,12149,14168,12980,13028
295,12174,14255,13033,13079
296,12205,14347,13084,13131
297,12263,14390,13135,13181
298,12315,14443,13189,13232
299,12349,14507,13236,13282
300,12382,14553,13284,13332
301,12407,14613,13331,13383
302,12451,14661,13379,13434
303,12489,14742,13435,13484
304,12529,14817,13488,13535
305,12567,14909,13537,13586
306,12595,14985,13592,13636
307,12635,15040,13638,13687
308,12679,15101,13691,13738
309,12716,15162,13737,13788
310,12750,15235,13785,13839
311,12782,15316,13835,13890
312,12832,15351,13887,13941
313,12882,15405,13941,13992
314,12931,15465,13994,14042
315,12966,15539,14049,14093
316,12992,15614,14100,14144
317,13046,15659,14152,14196
318,13093,15734,14204,14249
319,13128,15808,14255,14301
320,13167,15880,14309,14353
321,13211,15959,14359,14405
322,13262,16016,14410,14457
323,13297,16085,14458,14508
324,13339,16131,14509,14559
325,13370,16216,14557,14611
326,13395,16319,14604,14662
327,13438,16345,14651,14712
328,13481,16389,14707,14761
329,13522,16452,14754,14811
330,13543,16525,14804,14861
331,13563,16587,14856,14911
332,13617,16633,14905,14962
333,13672,16680,14956,15014
334,13699,16746,15012,15065
335,13730,16819,15066,15117
336,13774,16873,15120,15169
337,13816,16931,15166,15220
338,13870,17022,15211,15271
339,13913,17097,15266,15323
340,13963,17153,15312,15374
341,13999,17231,15361,15425
342,14037,17305,15417,15476
343,14087,17354,15466,15526
344,14139,17397,15511,15576
345,14165,17461,15562,15627
346,14197,17525,15610,15677
347,14240,17575,15662,15730
348,14293,17621,15706,15782
349,14321,17689,15763,15834
350,14356,17729,15814,15887
351,14388,17788,15867,15939
352,14438,17844,15917,15991
353,14494,17908,15962,16043
354,14544,17967,16022,16095
355,14576,18030,16073,16146
356,14619,18106,16122,16198
357,14668,18181,16174,16249
358,14714,18239,16222,16300
359,14764,18308,16274,16351
360,14797,18358,16334,16402
361,14854,18447,16381,16454
