"depth","min","max","median","mean"
131.5,2130,2433,2251,2264
132.5,2137,2442,2263,2274
133.5,2145,2456,2276,2284
134.5,2153,2473,2289,2294
135.5,2159,2490,2302,2304
136.5,2167,2505,2314,2314
137.5,2175,2515,2323,2325
138.5,2181,2523,2334,2335
139.5,2188,2538,2344,2345
140.5,2192,2555,2354,2356
141.5,2200,2569,2363,2366
142.5,2208,2580,2374,2376
143.5,2214,2589,2385,2386
144.5,2219,2601,2395,2397
145.5,2224,2615,2404,2407
146.5,2232,2625,2414,2417
147.5,2241,2639,2423,2427
148.5,2250,2649,2434,2436
149.5,2257,2663,2443,2446
150.5,2263,2675,2452,2456
151.5,2272,2686,2461,2466
152.5,2279,2697,2470,2476
153.5,2290,2709,2481,2486
154.5,2298,2725,2490,2496
155.5,2304,2742,2501,2506
156.5,2315,2755,2511,2516
157.5,2324,2765,2520,2527
158.5,2334,2774,2531,2537
159.5,2343,2788,2540,2547
160.5,2348,2802,2550,2557
161.5,2358,2816,2559,2567
162.5,2368,2828,2569,2578
163.5,2377,2839,2579,2588
164.5,2385,2857,2590,2598
165.5,2391,2874,2600,2608
166.5,2400,2887,2610,2618
167.5,2408,2895,2620,2628
168.5,2418,2903,2630,2638
169.5,2425,2911,2639,2648
170.5,2433,2924,2649,2658
171.5,2442,2937,2659,2668
172.5,2454,2947,2669,2678
173.5,2462,2953,2679,2688
174.5,2469,2964,2690,2698
175.5,2474,2975,2701,2708
176.5,2483,2984,2711,2718
177.5,2495,2998,2721,2727
178.5,2504,3009,2731,2737
179.5,2515,3018,2741,2747
180.5,2521,3032,2751,2757
181.5,2530,3044,2760,2767
182.5,2544,3052,2770,2777
183.5,2553,3061,2779,2787
184.5,2560,3072,2790,2797
185.5,2564,3085,2801,2807
186.5,2574,3097,2812,2817
187.5,2586,3104,2822,2828
188.5,2593,3116,2832,2838
189.5,2598,3127,2842,2848
190.5,2606,3141,2853,2859
191.5,2614,3151,2863,2869
192.5,2628,3163,2874,2879
193.5,2637,3175,2886,2890
194.5,2645,3188,2895,2900
195.5,2652,3200,2906,2910
196.5,2658,3213,2916,2921
197.5,2669,3223,2925,2931
198.5,2676,3237,2936,2941
199.5,2684,3250,2947,2952
200.5,2690,3261,2957,2962
201.5,2699,3269,2967,2972
202.5,2709,3281,2979,2983
203.5,2721,3291,2989,2993
204.5,2731,3303,2999,3004
205.5,2740,3317,3010,3014
206.5,2749,3330,3019,3024
207.5,2759,3340,3030,3035
208.5,2766,3348,3039,3045
209.5,2772,3357,3049,3055
210.5,2777,3369,3059,3065
211.5,2788,3381,3070,3075
212.5,2801,3391,3080,3085
213.5,2810,3403,3091,3095
214.5,2815,3414,3101,3105
215.5,2821,3427,3110,3115
216.5,2831,3440,3119,3125
217.5,2839,3446,3129,3136
218.5,2848,3453,3140,3146
219.5,2857,3462,3150,3156
220.5,2865,3474,3162,3166
221.5,2876,3485,3171,3176
222.5,2887,3492,3181,3186
223.5,2898,3503,3192,3197
224.5,2905,3512,3201,3207
225.5,2913,3527,3212,3217
226.5,2923,3539,3223,3227
227.5,2933,3551,3232,3238
228.5,2946,3561,3242,3248
229.5,2959,3575,3251,3258
230.5,2969,3589,3262,3268
231.5,2980,3598,3271,3278
232.5,2991,3604,3281,3288
233.5,2999,3617,3291,3297
234.5,3006,3627,3301,3307
235.5,3013,3633,3311,3317
236.5,3024,3644,3322,3327
237.5,3036,3657,3332,3337
238.5,3045,3665,3342,3347
239.5,3055,3678,3353,3358
240.5,3065,3685,3362,3368
241.5,3074,3697,3373,3378
242.5,3086,3705,3383,3388
243.5,3094,3715,3393,3398
244.5,3104,3725,3404,3408
245.5,3110,3734,3413,3418
246.5,3119,3743,3423,3428
247.5,3133,3753,3434,3438
248.5,3146,3765,3445,3448
249.5,3154,3778,3454,3458
250.5,3162,3788,3463,3468
251.5,3171,3796,3474,3478
252.5,3183,3803,3485,3487
253.5,3192,3811,3495,3497
254.5,3201,3820,3505,3507
255.5,3210,3832,3514,3517
256.5,3218,3841,3525,3527
257.5,3229,3849,3535,3537
258.5,3238,3858,3546,3546
259.5,3247,3866,3555,3556
260.5,3256,3876,3564,3566
261.5,3263,3889,3573,3576
262.5,3274,3898,3582,3586
263.5,3284,3906,3593,3596
264.5,3293,3923,3602,3606
265.5,3301,3933,3613,3615
266.5,3312,3946,3623,3625
267.5,3323,3951,3632,3635
268.5,3334,3961,3641,3646
269.5,3343,3973,3652,3656
270.5,3350,3985,3663,3666
271.5,3362,3996,3674,3676
272.5,3373,4006,3685,3686
273.5,3382,4015,3694,3696
274.5,3393,4024,3705,3706
275.5,3404,4031,3715,3717
276.5,3413,4040,3726,3727
277.5,3423,4050,3737,3736
278.5,3429,4059,3747,3746
279.5,3439,4069,3757,3756
280.5,3451,4080,3767,3766
281.5,3462,4089,3778,3776
282.5,3475,4100,3788,3786
283.5,3486,4111,3799,3797
284.5,3495,4118,3810,3807
285.5,3502,4128,3819,3817
286.5,3512,4137,3829,3827
287.5,3524,4148,3839,3837
288.5,3535,4156,3850,3847
289.5,3543,4169,3859,3857
290.5,3554,4178,3869,3867
291.5,3565,4189,3879,3877
292.5,3579,4197,3888,3887
293.5,3587,4203,3898,3897
294.5,3595,4211,3909,3907
295.5,3603,4223,3919,3917
296.5,3614,4235,3929,3928
297.5,3621,4240,3940,3938
