"depth","min","max","median","mean"
165,2765,3103,2842,2862
166,2773,3119,2855,2875
167,2781,3133,2867,2888
168,2786,3144,2880,2901
169,2790,3161,2893,2914
170,2793,3185,2906,2927
171,2805,3198,2920,2940
172,2813,3214,2935,2954
173,2820,3232,2950,2968
174,2824,3258,2963,2982
175,2827,3275,2977,2995
176,2841,3285,2990,3009
177,2851,3298,3004,3022
178,2859,3317,3017,3035
179,2866,3327,3031,3048
180,2872,3345,3044,3062
181,2883,3357,3058,3075
182,2893,3373,3072,3088
183,2901,3395,3086,3101
184,2907,3415,3099,3114
185,2913,3435,3111,3127
186,2924,3450,3125,3140
187,2934,3467,3140,3154
188,2942,3484,3155,3167
189,2950,3499,3169,3181
190,2956,3522,3181,3194
191,2968,3534,3194,3207
192,2980,3546,3207,3220
193,2987,3557,3220,3233
194,2997,3575,3232,3247
195,3004,3597,3247,3260
196,3018,3609,3260,3273
197,3027,3625,3271,3286
198,3038,3641,3284,3298
199,3046,3661,3298,3311
200,3054,3683,3310,3324
201,3066,3695,3324,3337
202,3078,3704,3337,3350
203,3087,3716,3350,3363
204,3094,3730,3363,3376
205,3100,3742,3375,3389
206,3112,3759,3390,3402
207,3120,3771,3404,3416
208,3135,3796,3417,3429
209,3145,3813,3430,3442
210,3155,3833,3444,3456
211,3170,3847,3457,3469
212,3184,3864,3471,3482
213,3195,3874,3483,3495
214,3205,3894,3496,3508
215,3216,3920,3511,3521
216,3228,3931,3524,3535
217,3237,3946,3536,3548
218,3246,3959,3551,3562
219,3255,3974,3564,3575
220,3263,3995,3578,3589
221,3276,4003,3592,3602
222,3286,4012,3605,3616
223,3296,4028,3619,3629
224,3305,4045,3632,3642
225,3315,4060,3646,3656
226,3326,4073,3659,3669
227,3336,4090,3672,3682
228,3352,4110,3686,3695
229,3361,4135,3700,3709
230,3370,4149,3714,3722
231,3385,4159,3727,3735
232,3398,4174,3741,3748
233,3409,4188,3753,3762
234,3417,4204,3764,3775
235,3425,4221,3777,3788
236,3439,4233,3791,3802
237,3451,4244,3806,3815
238,3461,4255,3820,3829
239,3470,4265,3834,3842
240,3481,4285,3848,3855
241,3496,4296,3860,3869
242,3506,4314,3873,3882
243,3515,4329,3886,3895
244,3525,4345,3900,3908
245,3534,4364,3913,3921
246,3546,4374,3927,3935
247,3559,4384,3939,3948
248,3575,4401,3952,3962
249,3587,4417,3966,3975
250,3595,4427,3980,3989
251,3609,4441,3994,4002
252,3623,4456,4007,4016
253,3633,4471,4019,4029
254,3644,4486,4033,4043
255,3650,4509,4045,4057
256,3664,4520,4060,4070
257,3673,4534,4073,4083
258,3684,4550,4088,4096
259,3693,4564,4100,4110
260,3701,4580,4113,4123
261,3714,4589,4127,4136
262,3726,4602,4140,4150
263,3740,4616,4156,4163
264,3751,4632,4170,4176
265,3763,4649,4184,4190
266,3778,4657,4197,4203
267,3792,4673,4211,4216
268,3802,4687,4224,4230
269,3813,4705,4237,4243
270,3821,4722,4250,4256
271,3835,4732,4264,4269
272,3849,4744,4279,4283
273,3859,4759,4292,4296
274,3868,4775,4304,4309
275,3875,4790,4318,4322
276,3889,4801,4333,4335
277,3901,4818,4345,4349
278,3920,4829,4357,4362
279,3925,4843,4371,4375
280,3938,4858,4384,4389
281,3950,4876,4401,4402
282,3962,4889,4415,4416
283,3977,4902,4430,4430
284,3987,4919,4446,4444
285,3998,4938,4459,4457
286,4012,4946,4472,4470
287,4028,4961,4486,4484
288,4037,4969,4497,4497
289,4046,4988,4511,4510
290,4053,5002,4524,4523
291,4066,5012,4536,4537
292,4076,5027,4550,4550
293,4092,5042,4562,4563
294,4100,5059,4577,4577
295,4107,5075,4589,4590
296,4120,5091,4604,4603
297,4134,5107,4619,4617
298,4145,5119,4633,4630
299,4156,5134,4645,4643
300,4164,5153,4658,4657
301,4177,5168,4671,4670
302,4186,5180,4685,4683
303,4200,5194,4697,4697
304,4209,5209,4711,4710
305,4220,5230,4725,4723
306,4231,5240,4739,4736
307,4240,5251,4753,4750
308,4258,5264,4765,4763
309,4269,5274,4779,4776
310,4279,5288,4793,4790
311,4290,5295,4807,4803
312,4301,5309,4821,4816
313,4309,5323,4833,4829
314,4320,5341,4846,4843
315,4332,5357,4858,4856
316,4345,5365,4872,4869
317,4363,5376,4888,4882
318,4373,5391,4904,4895
319,4382,5408,4917,4908
320,4388,5425,4930,4922
321,4406,5434,4944,4935
322,4423,5448,4957,4949
323,4431,5462,4970,4963
324,4445,5475,4985,4976
325,4455,5490,4997,4990
326,4473,5500,5011,5003
327,4486,5515,5024,5017
328,4497,5526,5038,5030
329,4505,5542,5050,5043
330,4516,5563,5063,5056
331,4533,5572,5077,5070
332,4543,5588,5090,5083
333,4552,5607,5104,5097
334,4566,5626,5117,5110
335,4575,5646,5131,5124
336,4589,5664,5147,5138
337,4602,5679,5161,5151
338,4617,5687,5173,5164
339,4630,5701,5186,5178
340,4641,5716,5199,5191
341,4653,5731,5213,5204
342,4664,5742,5226,5217
343,4674,5754,5239,5230
344,4681,5777,5250,5243
345,4693,5790,5264,5256
346,4703,5797,5278,5269
347,4717,5806,5292,5283
348,4733,5816,5306,5296
349,4743,5829,5318,5309
350,4754,5840,5330,5322
351,4767,5856,5345,5335
352,4781,5870,5360,5349
353,4794,5882,5372,5362
354,4808,5892,5387,5375
355,4815,5911,5402,5389
356,4829,5922,5414,5402
357,4840,5933,5426,5416
358,4854,5950,5440,5430
359,4867,5964,5455,5443
360,4877,5979,5469,5457
361,4885,5990,5482,5470
362,4893,6002,5496,5484
363,4903,6011,5508,5497
364,4916,6027,5521,5511
365,4923,6043,5534,5524
366,4940,6055,5548,5537
367,4952,6067,5561,5551
368,4958,6083,5575,5564
369,4975,6096,5589,5577
370,4982,6110,5601,5590
371,4999,6122,5617,5604
372,5014,6139,5632,5617
373,5029,6153,5644,5630
374,5049,6167,5655,5644
375,5055,6180,5668,5657
376,5072,6187,5680,5670
377,5084,6199,5695,5683
378,5094,6212,5710,5696
379,5106,6227,5724,5709
380,5119,6240,5737,5722
381,5132,6253,5752,5735
382,5148,6263,5765,5748
383,5159,6275,5778,5761
384,5173,6284,5791,5774
385,5183,6296,5806,5787
386,5197,6307,5820,5801
387,5208,6320,5833,5814
388,5224,6334,5847,5828
389,5230,6347,5860,5841
390,5242,6361,5873,5855
391,5259,6369,5887,5869
392,5267,6382,5902,5883
393,5275,6404,5917,5897
394,5284,6418,5930,5911
395,5293,6433,5943,5925
396,5303,6442,5959,5938
397,5319,6458,5973,5951
398,5330,6469,5988,5964
399,5343,6484,6001,5977
400,5352,6494,6013,5990
401,5361,6509,6028,6004
402,5373,6527,6042,6017
403,5382,6539,6055,6030
404,5396,6550,6067,6044
405,5406,6562,6081,6057
406,5416,6575,6096,6071
407,5429,6586,6109,6084
