"depth","min","max","median","mean"
2,-74,81,-44,-32
3,-68,93,-32,-21
4,-65,108,-19,-9
5,-62,125,-8,2
6,-60,146,3,14
7,-57,171,14,25
8,-47,182,25,36
9,-42,192,38,48
10,-37,206,49,59
11,-33,226,61,71
12,-29,252,72,82
13,-19,260,84,94
14,-11,273,96,105
15,-5,286,107,117
16,0,303,119,128
17,4,324,130,140
18,17,336,143,151
19,26,344,155,162
20,33,357,167,174
21,39,373,178,185
22,44,393,189,197
23,58,402,201,208
24,68,412,214,220
25,78,427,226,232
26,86,440,239,243
27,91,461,249,255
28,102,469,261,266
29,111,479,273,278
30,121,491,283,289
31,132,502,295,301
32,139,519,307,312
33,149,526,318,323
34,157,538,329,334
35,165,548,341,344
36,172,564,352,355
37,181,581,362,366
38,194,589,374,378
39,206,599,386,389
40,217,606,398,400
41,229,618,408,412
42,236,636,420,423
43,250,645,431,434
44,259,655,443,446
45,269,668,454,457
46,280,680,466,469
47,290,696,479,480
48,306,701,489,491
49,317,710,500,503
50,329,720,511,514
51,339,733,522,525
52,349,747,533,536
53,363,756,544,548
54,376,766,556,559
55,384,778,567,571
56,392,789,578,582
57,402,805,589,594
58,424,812,599,605
59,440,819,609,617
60,450,829,621,628
61,461,840,633,640
62,470,853,644,651
63,493,858,654,663
64,510,865,665,674
65,524,872,675,686
66,538,879,686,698
67,550,891,697,709
68,574,897,706,721
69,594,904,716,733
70,615,915,726,744
71,631,921,737,756
72,646,932,749,768
73,662,948,766,784
74,675,968,784,800
75,684,996,803,817
76,692,1027,820,833
77,695,1057,837,849
78,713,1070,854,866
79,727,1091,872,882
80,737,1112,889,899
81,745,1134,907,915
82,753,1160,925,932
83,771,1171,943,949
84,784,1185,961,966
85,795,1202,980,983
86,804,1218,997,1000
87,811,1248,1013,1017
88,833,1259,1029,1033
89,849,1270,1047,1050
90,864,1281,1066,1067
91,875,1303,1082,1083
92,884,1325,1099,1100
93,907,1337,1115,1117
94,929,1352,1134,1134
95,945,1366,1151,1151
96,955,1381,1169,1168
97,964,1413,1186,1185
98,990,1421,1202,1201
99,1013,1431,1218,1218
100,1033,1444,1234,1234
101,1046,1458,1250,1251
102,1059,1477,1267,1267
103,1085,1487,1282,1284
104,1104,1500,1299,1301
105,1126,1517,1315,1318
106,1143,1533,1331,1334
107,1156,1556,1349,1351
108,1190,1566,1363,1367
109,1223,1578,1378,1384
110,1252,1598,1393,1401
111,1278,1626,1410,1417
112,1296,1648,1426,1434
