"depth","min","max","median","mean"
25,303,536,418,420
26,317,543,429,432
27,328,556,442,444
28,339,567,454,455
29,349,583,465,467
30,362,605,476,479
31,372,629,487,490
32,379,655,497,502
33,383,679,506,514
34,388,702,516,526
35,393,724,526,537
36,411,744,547,557
37,427,762,570,577
38,442,783,592,597
39,452,807,612,616
40,458,832,631,636
41,465,859,654,656
42,472,887,676,676
43,479,921,699,696
44,486,959,720,715
45,491,996,740,735
46,506,1004,757,749
47,522,1013,772,763
48,532,1022,786,776
49,543,1031,800,790
50,554,1043,813,803
51,564,1056,826,817
52,573,1071,838,831
53,584,1091,849,844
54,592,1113,862,858
55,601,1139,873,872
56,644,1144,894,893
57,684,1149,914,915
58,716,1153,936,937
59,741,1157,959,959
60,766,1163,982,980
61,792,1169,1006,1002
62,822,1176,1032,1024
63,851,1186,1055,1046
64,872,1204,1078,1067
65,886,1230,1102,1089
66,913,1235,1114,1102
67,932,1243,1127,1115
68,948,1252,1141,1128
69,960,1262,1158,1141
70,971,1275,1172,1153
71,980,1295,1185,1166
72,988,1320,1192,1179
73,997,1350,1202,1192
74,1003,1387,1211,1205
75,1007,1419,1220,1218
76,1019,1425,1227,1225
77,1023,1431,1234,1232
78,1027,1437,1241,1239
79,1030,1442,1248,1246
80,1036,1447,1254,1253
81,1044,1452,1260,1260
82,1049,1462,1267,1267
83,1054,1472,1273,1274
84,1060,1486,1279,1281
85,1068,1499,1285,1288
86,1074,1502,1292,1294
87,1080,1505,1297,1300
88,1084,1512,1303,1306
89,1091,1517,1309,1312
90,1097,1522,1316,1318
91,1102,1526,1322,1324
92,1106,1532,1329,1330
93,1111,1539,1336,1336
94,1117,1546,1343,1343
95,1123,1554,1349,1349
96,1128,1557,1354,1354
97,1136,1559,1361,1360
98,1144,1561,1366,1365
99,1151,1565,1371,1371
100,1155,1572,1378,1377
101,1161,1575,1384,1382
102,1165,1578,1390,1388
103,1169,1582,1395,1393
104,1172,1587,1401,1399
105,1176,1595,1406,1405
106,1183,1600,1412,1410
107,1192,1605,1418,1416
108,1201,1610,1424,1422
109,1209,1616,1429,1428
110,1217,1623,1435,1434
111,1223,1629,1440,1440
112,1231,1636,1447,1446
113,1238,1644,1453,1452
114,1244,1651,1460,1457
115,1251,1657,1465,1463
116,1256,1661,1471,1468
117,1261,1665,1476,1473
118,1268,1669,1481,1478
119,1272,1674,1487,1483
120,1277,1677,1492,1488
121,1280,1681,1498,1493
122,1282,1689,1504,1497
123,1289,1695,1509,1502
124,1292,1701,1514,1507
125,1295,1707,1518,1512
126,1306,1710,1525,1519
127,1315,1713,1531,1525
128,1324,1716,1539,1532
129,1333,1721,1545,1539
130,1341,1727,1552,1545
131,1349,1731,1558,1552
132,1360,1737,1566,1559
133,1366,1743,1573,1566
134,1372,1751,1581,1572
135,1377,1758,1587,1579
136,1386,1761,1592,1585
137,1394,1764,1597,1590
138,1402,1767,1603,1596
139,1411,1772,1608,1601
140,1417,1776,1614,1607
141,1421,1779,1620,1613
142,1424,1783,1626,1618
143,1429,1787,1632,1624
144,1431,1792,1638,1629
145,1435,1797,1644,1635
146,1444,1800,1650,1641
147,1454,1803,1656,1647
148,1465,1806,1661,1652
149,1475,1810,1667,1658
150,1483,1813,1671,1664
151,1490,1818,1677,1670
152,1497,1823,1683,1676
153,1504,1828,1688,1681
154,1511,1834,1693,1687
155,1518,1841,1698,1693
156,1528,1844,1704,1699
157,1541,1847,1710,1705
158,1553,1851,1715,1711
159,1560,1856,1721,1717
160,1567,1860,1727,1723
161,1574,1865,1734,1729
162,1581,1869,1741,1735
163,1587,1875,1747,1742
164,1591,1883,1753,1748
165,1596,1892,1758,1754
166,1607,1895,1764,1759
167,1616,1898,1770,1765
168,1625,1900,1776,1771
169,1634,1904,1781,1777
170,1640,1907,1787,1783
171,1647,1911,1794,1788
172,1652,1916,1799,1794
173,1658,1921,1805,1800
174,1664,1925,1810,1806
175,1668,1931,1816,1812
176,1681,1934,1821,1817
177,1689,1937,1826,1823
178,1698,1940,1833,1829
179,1708,1944,1838,1835
180,1716,1947,1844,1841
181,1723,1950,1850,1847
182,1730,1953,1856,1853
183,1737,1958,1862,1859
184,1742,1964,1867,1864
185,1748,1971,1873,1870
186,1752,1973,1879,1875
187,1757,1975,1883,1880
188,1759,1977,1888,1886
189,1762,1980,1893,1891
190,1766,1984,1898,1896
191,1770,1989,1904,1901
192,1773,1995,1909,1906
193,1778,2003,1914,1911
194,1782,2012,1919,1916
195,1786,2023,1923,1921
196,1794,2026,1927,1925
197,1800,2030,1930,1929
198,1806,2033,1934,1933
199,1812,2036,1938,1936
200,1816,2040,1942,1940
201,1821,2044,1946,1944
202,1825,2048,1950,1948
203,1828,2053,1954,1951
204,1831,2059,1958,1955
205,1834,2065,1962,1959
206,1839,2067,1965,1963
207,1845,2071,1969,1966
208,1854,2073,1972,1970
209,1856,2076,1976,1974
210,1863,2080,1980,1978
211,1868,2084,1983,1982
212,1871,2086,1987,1985
213,1876,2092,1991,1989
214,1879,2098,1995,1993
215,1881,2103,1998,1997
216,1885,2107,2002,2001
217,1889,2110,2005,2004
218,1894,2113,2009,2008
219,1898,2117,2013,2012
220,1902,2120,2017,2016
221,1904,2125,2021,2019
222,1908,2130,2024,2023
223,1911,2134,2028,2027
224,1915,2138,2031,2031
225,1918,2143,2035,2034
226,1923,2146,2039,2038
227,1929,2150,2043,2042
228,1932,2153,2047,2046
229,1939,2156,2051,2050
230,1943,2160,2056,2054
231,1947,2164,2060,2058
232,1951,2168,2064,2062
233,1955,2172,2068,2066
234,1959,2177,2073,2070
235,1962,2182,2076,2074
236,1968,2186,2080,2078
237,1973,2189,2083,2082
238,1977,2191,2086,2085
239,1982,2193,2090,2089
240,1986,2196,2093,2092
241,1990,2198,2097,2096
242,1992,2202,2101,2099
243,1997,2205,2104,2103
244,1999,2209,2108,2106
245,2001,2216,2111,2110
246,2009,2218,2115,2114
