"depth","min","max","median","mean"
40,2983,3745,3362,3359
41,3147,4083,3583,3595
42,3230,4643,3774,3831
43,3276,5296,3963,4067
44,3315,5933,4170,4303
45,3356,6568,4360,4540
46,3538,6611,4538,4701
47,3702,6639,4712,4862
48,3833,6671,4927,5023
49,3949,6703,5167,5184
50,4036,6739,5365,5345
51,4247,6754,5478,5486
52,4481,6777,5601,5626
53,4650,6806,5744,5767
54,4778,6838,5909,5908
55,4876,6891,6076,6049
56,5276,6928,6219,6204
57,5646,6968,6371,6359
58,5968,6999,6527,6514
59,6178,7054,6688,6670
60,6282,7148,6859,6825
61,6391,7166,6890,6864
62,6487,7192,6926,6903
63,6576,7216,6963,6943
64,6636,7239,7003,6982
65,6690,7269,7043,7021
66,6756,7286,7077,7057
67,6812,7310,7111,7094
68,6867,7329,7148,7130
69,6908,7365,7185,7166
70,6935,7412,7220,7202
71,6979,7438,7251,7237
72,7012,7470,7285,7273
73,7041,7522,7320,7308
74,7066,7575,7352,7343
75,7086,7638,7383,7378
76,7151,7664,7418,7416
77,7206,7687,7456,7454
78,7254,7716,7495,7492
79,7280,7752,7536,7530
80,7299,7801,7574,7568
81,7469,7839,7621,7630
82,7582,7910,7676,7692
83,7613,8003,7738,7754
84,7630,8148,7793,7816
85,7643,8313,7844,7878
86,7697,8390,7935,7967
87,7725,8569,8018,8055
88,7750,8893,8091,8144
89,7768,9210,8160,8232
90,7788,9536,8229,8321
91,7870,9647,8340,8421
92,7926,9759,8452,8520
93,7965,9874,8554,8620
94,8006,9996,8648,8720
95,8031,10112,8730,8820
96,8153,10181,8826,8904
97,8236,10256,8926,8989
98,8305,10345,9023,9074
99,8360,10460,9105,9158
100,8409,10610,9181,9243
101,9117,10657,9693,9757
102,9822,10877,10199,10272
103,10486,11191,10697,10786
104,10785,11685,11301,11301
105,10952,12236,11870,11816
106,11014,12319,11994,11931
107,11128,12424,12111,12047
108,11287,12588,12217,12162
109,11350,12816,12317,12278
110,11401,13061,12419,12393
111,11508,13103,12507,12484
112,11592,13148,12601,12575
