"depth","min","max","median","mean"
175,1573,2053,1779,1785
176,1584,2063,1790,1797
177,1596,2072,1802,1808
178,1605,2082,1812,1819
179,1612,2098,1823,1830
180,1617,2113,1833,1842
181,1626,2125,1844,1853
182,1637,2136,1855,1864
183,1646,2144,1868,1875
184,1651,2157,1879,1886
185,1658,2170,1890,1897
186,1668,2183,1901,1908
187,1676,2194,1911,1919
188,1686,2208,1922,1930
189,1694,2223,1932,1941
190,1700,2241,1944,1952
191,1714,2250,1954,1963
192,1722,2260,1966,1974
193,1729,2274,1976,1985
194,1738,2286,1988,1996
195,1745,2303,2000,2007
196,1756,2311,2011,2019
197,1768,2325,2023,2030
198,1780,2335,2034,2041
199,1789,2349,2046,2053
200,1798,2369,2057,2064
201,1810,2381,2069,2075
202,1822,2390,2080,2086
203,1832,2404,2091,2097
204,1840,2419,2103,2108
205,1846,2435,2114,2119
206,1859,2444,2124,2131
207,1866,2455,2136,2142
208,1876,2464,2146,2153
209,1884,2476,2157,2165
210,1892,2491,2169,2176
211,1903,2500,2179,2187
212,1913,2509,2190,2198
213,1922,2523,2202,2209
214,1931,2539,2213,2220
215,1938,2550,2224,2232
216,1950,2563,2236,2243
217,1961,2580,2248,2254
218,1968,2593,2259,2265
219,1979,2609,2270,2277
220,1987,2621,2281,2288
221,2000,2631,2293,2299
222,2011,2645,2304,2310
223,2022,2657,2313,2322
224,2034,2672,2324,2333
225,2042,2687,2336,2344
226,2054,2696,2347,2356
227,2063,2706,2359,2367
228,2074,2716,2369,2379
229,2082,2728,2380,2390
230,2090,2741,2392,2401
231,2103,2752,2403,2413
232,2117,2765,2417,2424
233,2127,2775,2428,2436
234,2137,2789,2440,2447
235,2144,2806,2450,2459
236,2152,2815,2463,2470
237,2161,2830,2474,2481
238,2171,2846,2484,2491
239,2180,2855,2496,2502
240,2188,2867,2508,2513
241,2204,2877,2520,2524
242,2215,2889,2532,2536
243,2224,2903,2543,2547
244,2235,2914,2555,2558
245,2243,2921,2565,2570
246,2254,2933,2576,2581
247,2267,2946,2588,2592
248,2274,2958,2599,2604
249,2280,2975,2611,2615
250,2291,2988,2623,2627
251,2304,2994,2635,2638
252,2316,3001,2647,2649
253,2325,3008,2657,2660
254,2334,3022,2669,2671
255,2343,3031,2681,2682
256,2355,3040,2692,2693
257,2364,3053,2703,2705
258,2375,3066,2713,2716
259,2387,3080,2723,2727
260,2397,3088,2735,2738
261,2408,3101,2746,2750
262,2418,3116,2758,2761
263,2429,3129,2769,2773
264,2437,3142,2781,2784
265,2442,3156,2792,2795
266,2456,3164,2803,2807
267,2468,3176,2814,2818
