"depth","min","max","median","mean"
1091,10801,11673,11092,11106
1092,10815,11683,11107,11119
1093,10830,11695,11121,11133
1094,10842,11710,11134,11147
1095,10855,11721,11146,11160
1096,10864,11731,11158,11174
1097,10882,11738,11172,11188
1098,10893,11748,11184,11201
1099,10905,11761,11196,11215
1100,10917,11776,11208,11228
1101,10927,11785,11221,11242
1102,10942,11794,11235,11256
1103,10954,11809,11248,11270
1104,10963,11826,11262,11284
1105,10977,11839,11275,11298
1106,10986,11853,11287,11312
1107,10999,11864,11302,11325
1108,11013,11879,11316,11338
1109,11026,11890,11330,11352
1110,11035,11898,11343,11365
1111,11047,11911,11356,11378
1112,11062,11919,11371,11392
1113,11071,11931,11385,11406
1114,11087,11945,11399,11420
1115,11094,11958,11413,11434
1116,11107,11968,11426,11448
1117,11123,11979,11439,11462
1118,11131,11992,11454,11476
1119,11145,12003,11468,11491
1120,11156,12017,11484,11505
1121,11167,12030,11497,11519
1122,11182,12044,11512,11532
1123,11195,12054,11524,11545
1124,11205,12064,11538,11559
1125,11217,12076,11552,11572
1126,11234,12089,11565,11586
1127,11251,12103,11578,11600
1128,11262,12114,11594,11613
1129,11272,12124,11608,11627
1130,11279,12139,11622,11641
1131,11287,12148,11636,11655
1132,11308,12157,11649,11669
1133,11321,12166,11664,11683
1134,11334,12178,11679,11697
1135,11346,12192,11694,11711
1136,11360,12209,11708,11725
1137,11377,12216,11723,11739
1138,11392,12232,11737,11753
1139,11407,12243,11752,11767
1140,11419,12251,11765,11781
1141,11430,12261,11781,11795
1142,11445,12275,11794,11809
1143,11461,12288,11810,11823
1144,11470,12297,11824,11837
1145,11484,12315,11839,11851
1146,11491,12334,11853,11864
1147,11512,12342,11866,11879
1148,11523,12352,11881,11893
1149,11538,12363,11896,11907
1150,11551,12379,11909,11921
1151,11560,12390,11923,11935
1152,11576,12403,11938,11949
1153,11591,12422,11953,11963
1154,11602,12436,11966,11976
1155,11617,12454,11978,11990
1156,11625,12477,11991,12004
1157,11641,12483,12006,12017
1158,11652,12497,12019,12031
1159,11665,12512,12033,12045
1160,11677,12522,12046,12058
1161,11687,12533,12062,12072
1162,11700,12545,12078,12086
1163,11718,12556,12092,12100
1164,11730,12569,12106,12114
1165,11744,12585,12121,12129
1166,11757,12606,12134,12143
1167,11770,12614,12149,12157
1168,11785,12623,12162,12171
1169,11795,12631,12177,12185
1170,11809,12648,12190,12199
1171,11815,12666,12206,12213
1172,11836,12676,12219,12227
1173,11847,12686,12232,12241
1174,11866,12694,12246,12254
1175,11880,12707,12262,12268
1176,11888,12721,12275,12282
1177,11906,12730,12289,12296
1178,11920,12742,12305,12309
1179,11937,12754,12318,12323
1180,11952,12773,12331,12337
1181,11965,12798,12345,12351
1182,11980,12805,12360,12365
1183,11993,12813,12373,12378
1184,12005,12826,12387,12392
1185,12017,12838,12400,12406
1186,12031,12852,12414,12420
1187,12043,12863,12427,12434
1188,12055,12872,12442,12448
1189,12067,12879,12456,12462
1190,12078,12892,12472,12476
1191,12087,12908,12485,12490
1192,12102,12917,12499,12503
1193,12116,12929,12512,12517
1194,12129,12942,12527,12530
1195,12139,12953,12542,12543
1196,12149,12969,12554,12557
1197,12167,12976,12570,12570
1198,12187,12987,12584,12584
1199,12198,13002,12598,12598
1200,12211,13019,12612,12612
1201,12221,13032,12627,12626
1202,12240,13043,12640,12640
1203,12254,13055,12652,12654
1204,12270,13071,12667,12667
1205,12281,13081,12682,12681
1206,12290,13090,12696,12695
1207,12306,13098,12708,12709
1208,12323,13105,12722,12722
1209,12334,13120,12736,12736
1210,12347,13136,12751,12749
1211,12354,13144,12765,12763
1212,12369,13154,12778,12776
1213,12386,13167,12794,12790
1214,12398,13177,12809,12803
1215,12414,13189,12822,12817
1216,12428,13198,12836,12830
1217,12443,13211,12850,12844
1218,12464,13222,12863,12857
1219,12476,13233,12876,12871
1220,12490,13246,12890,12884
1221,12500,13262,12904,12898
1222,12516,13271,12916,12912
1223,12532,13287,12930,12925
1224,12543,13298,12943,12938
1225,12557,13312,12957,12952
1226,12564,13329,12972,12965
1227,12583,13340,12985,12979
1228,12601,13346,13001,12993
1229,12616,13360,13016,13006
1230,12629,13374,13028,13020
1231,12640,13382,13042,13034
1232,12661,13392,13057,13048
1233,12676,13406,13069,13062
1234,12694,13414,13082,13076
1235,12707,13428,13096,13090
1236,12718,13441,13109,13104
1237,12736,13451,13122,13117
1238,12753,13463,13138,13131
1239,12769,13475,13152,13144
1240,12779,13485,13166,13158
1241,12791,13499,13179,13171
1242,12815,13512,13192,13185
1243,12832,13520,13205,13199
1244,12849,13533,13220,13213
1245,12863,13547,13235,13226
1246,12876,13559,13249,13240
1247,12894,13569,13262,13254
1248,12907,13579,13276,13268
1249,12928,13589,13290,13282
1250,12944,13601,13305,13296
1251,12949,13617,13318,13310
1252,12969,13628,13332,13324
1253,12985,13637,13346,13338
1254,12997,13650,13360,13352
1255,13009,13669,13374,13365
1256,13024,13683,13388,13379
1257,13047,13694,13402,13393
1258,13061,13707,13416,13407
1259,13077,13718,13428,13421
1260,13086,13731,13443,13435
1261,13099,13748,13456,13448
1262,13117,13758,13469,13462
1263,13134,13766,13483,13476
1264,13146,13776,13496,13491
1265,13163,13789,13512,13505
1266,13173,13803,13527,13519
1267,13187,13811,13540,13532
1268,13210,13825,13553,13546
1269,13223,13833,13566,13560
1270,13242,13846,13581,13573
1271,13251,13864,13595,13587
1272,13274,13875,13606,13600
1273,13292,13887,13616,13613
1274,13309,13900,13628,13625
1275,13319,13907,13640,13638
