"depth","min","max","median","mean"
175,5221,5798,5514,5508
176,5231,5810,5525,5519
177,5239,5815,5535,5530
178,5261,5827,5545,5541
179,5274,5838,5555,5552
180,5284,5851,5564,5563
181,5296,5860,5575,5574
182,5312,5871,5586,5586
183,5323,5884,5596,5597
184,5330,5898,5608,5608
185,5340,5908,5618,5619
186,5357,5915,5629,5630
187,5368,5923,5639,5642
188,5379,5931,5652,5653
189,5384,5947,5663,5664
190,5392,5960,5675,5675
191,5410,5968,5685,5686
192,5418,5982,5697,5697
193,5428,5993,5707,5709
194,5435,6005,5719,5720
195,5447,6016,5731,5731
196,5460,6027,5741,5742
197,5473,6035,5753,5753
198,5486,6042,5764,5764
199,5493,6055,5774,5775
200,5501,6066,5786,5787
201,5513,6077,5797,5798
202,5531,6086,5809,5810
203,5544,6101,5819,5821
204,5552,6116,5833,5833
205,5562,6128,5844,5844
206,5577,6136,5856,5856
207,5586,6148,5868,5867
208,5596,6160,5878,5879
209,5604,6171,5890,5890
210,5616,6180,5902,5902
211,5632,6189,5914,5913
212,5647,6198,5926,5925
213,5656,6208,5938,5936
214,5664,6221,5948,5948
215,5671,6233,5960,5959
216,5682,6243,5970,5970
217,5694,6253,5981,5982
218,5710,6265,5993,5993
219,5719,6277,6004,6004
220,5730,6287,6016,6016
221,5744,6295,6027,6027
222,5758,6306,6039,6038
223,5772,6317,6051,6049
224,5784,6326,6062,6061
225,5794,6342,6073,6072
226,5808,6350,6084,6084
227,5819,6356,6096,6095
228,5831,6364,6110,6107
229,5843,6380,6122,6119
230,5853,6392,6134,6130
231,5871,6400,6145,6142
232,5884,6411,6156,6154
233,5896,6421,6169,6166
234,5905,6434,6181,6178
235,5916,6448,6191,6190
236,5928,6454,6203,6202
237,5939,6461,6214,6214
238,5955,6472,6226,6225
239,5966,6483,6240,6237
240,5977,6494,6251,6249
241,5992,6504,6261,6261
242,6007,6512,6274,6272
243,6023,6523,6287,6284
244,6030,6533,6298,6295
245,6037,6547,6310,6307
246,6053,6554,6321,6318
247,6073,6564,6333,6330
248,6085,6576,6345,6342
249,6100,6586,6357,6353
250,6109,6599,6368,6365
251,6125,6606,6381,6377
252,6136,6613,6392,6389
253,6150,6623,6403,6400
254,6166,6632,6416,6412
255,6173,6643,6428,6424
256,6191,6652,6440,6435
257,6206,6661,6451,6446
258,6223,6671,6461,6457
259,6236,6682,6472,6469
260,6244,6695,6483,6480
261,6260,6703,6495,6491
262,6279,6710,6506,6503
263,6293,6717,6518,6515
264,6306,6724,6530,6526
265,6318,6738,6542,6538
266,6335,6744,6552,6549
267,6350,6749,6563,6560
268,6364,6757,6575,6571
269,6376,6768,6587,6582
270,6389,6781,6598,6594
271,6407,6788,6609,6604
272,6419,6797,6621,6615
273,6435,6807,6632,6626
274,6447,6818,6643,6637
275,6459,6829,6654,6648
276,6470,6838,6665,6658
277,6481,6848,6675,6668
278,6492,6858,6684,6679
279,6500,6871,6693,6689
280,6507,6888,6703,6699
281,6520,6897,6714,6709
282,6530,6904,6724,6720
283,6538,6913,6734,6730
284,6545,6924,6744,6740
285,6554,6939,6755,6751
286,6568,6948,6766,6761
287,6578,6958,6776,6772
288,6588,6969,6786,6782
289,6596,6981,6796,6793
290,6605,6994,6805,6803
291,6618,7001,6816,6814
292,6629,7010,6827,6825
293,6642,7021,6837,6835
294,6651,7031,6847,6846
295,6658,7042,6859,6857
296,6670,7051,6869,6867
297,6683,7059,6879,6877
298,6692,7069,6889,6888
299,6700,7080,6900,6898
300,6707,7093,6910,6909
301,6720,7099,6921,6919
302,6731,7108,6932,6929
303,6741,7119,6944,6940
304,6752,7129,6955,6950
305,6762,7144,6964,6960
306,6773,7152,6976,6971
307,6783,7162,6987,6981
308,6795,7174,6998,6992
309,6807,7183,7008,7002
310,6814,7195,7018,7013
311,6831,7201,7029,7023
312,6843,7208,7040,7033
313,6852,7216,7050,7043
314,6860,7226,7060,7053
315,6868,7237,7070,7063
316,6879,7247,7081,7075
317,6892,7258,7093,7087
318,6904,7272,7106,7099
319,6911,7288,7117,7111
320,6919,7309,7128,7122
321,6934,7320,7140,7134
322,6947,7331,7152,7146
323,6960,7342,7162,7158
324,6972,7355,7173,7169
325,6978,7370,7184,7181
326,6992,7378,7197,7193
327,7002,7390,7210,7204
328,7011,7403,7222,7216
329,7020,7419,7233,7227
330,7027,7434,7244,7239
331,7041,7443,7257,7251
332,7052,7455,7269,7263
333,7060,7466,7281,7275
334,7072,7482,7295,7288
335,7080,7499,7307,7300
336,7089,7507,7317,7309
337,7101,7515,7326,7318
338,7111,7524,7336,7328
339,7120,7533,7345,7337
340,7129,7542,7353,7346
341,7139,7552,7362,7355
342,7151,7560,7372,7364
343,7161,7571,7382,7373
344,7170,7580,7392,7383
345,7178,7594,7400,7392
346,7187,7601,7409,7400
347,7197,7606,7418,7409
348,7206,7614,7426,7418
349,7212,7627,7433,7427
350,7218,7639,7442,7435
351,7227,7648,7449,7443
352,7235,7659,7455,7450
353,7245,7669,7462,7458
354,7253,7679,7468,7465
355,7263,7692,7475,7473
356,7274,7702,7482,7480
357,7281,7712,7488,7488
358,7290,7722,7495,7495
359,7295,7733,7501,7502
360,7301,7744,7508,7509
361,7308,7752,7514,7517
362,7316,7762,7520,7524
363,7324,7773,7526,7532
364,7330,7785,7532,7539
365,7335,7799,7538,7546
366,7346,7807,7543,7554
367,7356,7818,7548,7561
368,7363,7827,7553,7569
369,7373,7834,7558,7576
370,7380,7845,7564,7584
371,7395,7854,7579,7598
372,7408,7868,7596,7613
373,7415,7883,7613,7628
374,7421,7900,7630,7642
375,7427,7922,7645,7657
376,7449,7932,7660,7672
377,7462,7947,7679,7688
378,7473,7959,7695,7703
