"depth","min","max","median","mean"
95,1132,1657,1307,1324
96,1159,1672,1338,1353
97,1186,1695,1363,1382
98,1200,1741,1390,1411
99,1211,1811,1414,1441
100,1219,1882,1440,1470
101,1245,1908,1470,1500
102,1263,1942,1501,1529
103,1276,1979,1531,1559
104,1290,2032,1560,1589
105,1301,2097,1586,1619
106,1332,2130,1617,1649
107,1350,2161,1647,1679
108,1362,2217,1677,1709
109,1379,2264,1709,1740
110,1391,2321,1736,1770
111,1423,2357,1767,1800
112,1441,2395,1797,1829
113,1461,2424,1826,1859
114,1481,2469,1857,1889
115,1494,2520,1884,1919
116,1530,2544,1914,1949
117,1553,2577,1947,1978
118,1574,2613,1979,2008
119,1588,2651,2010,2038
120,1601,2692,2042,2067
121,1632,2711,2071,2097
122,1655,2738,2101,2127
123,1679,2772,2129,2156
124,1698,2812,2156,2186
125,1714,2867,2187,2216
126,1743,2893,2218,2246
127,1769,2920,2249,2275
128,1793,2957,2279,2305
129,1812,2996,2313,2335
130,1829,3054,2341,2365
131,1859,3075,2372,2396
132,1877,3109,2399,2427
133,1907,3133,2433,2458
134,1924,3172,2465,2488
135,1938,3211,2499,2519
136,1968,3244,2527,2549
137,1998,3280,2560,2580
138,2016,3322,2590,2610
139,2040,3354,2623,2640
140,2066,3390,2654,2671
141,2099,3425,2683,2700
142,2132,3460,2711,2730
143,2154,3486,2738,2759
144,2171,3524,2766,2788
145,2190,3571,2795,2818
146,2217,3601,2827,2848
147,2244,3633,2858,2879
148,2264,3664,2891,2909
149,2283,3697,2922,2940
150,2306,3745,2956,2970
151,2339,3764,2987,3001
152,2370,3793,3016,3032
153,2405,3821,3048,3063
154,2423,3866,3080,3094
155,2450,3901,3110,3125
156,2490,3937,3137,3155
157,2523,3966,3167,3186
158,2550,4000,3202,3216
159,2576,4029,3236,3247
160,2600,4066,3264,3277
161,2632,4095,3294,3308
162,2655,4125,3326,3338
163,2675,4155,3356,3369
164,2696,4185,3385,3399
165,2721,4224,3413,3430
166,2755,4249,3441,3461
167,2777,4274,3475,3492
168,2808,4305,3508,3523
169,2839,4341,3545,3555
170,2856,4388,3578,3586
171,2894,4413,3609,3616
172,2928,4434,3639,3646
173,2953,4464,3666,3676
174,2981,4506,3697,3706
175,3007,4546,3727,3736
176,3038,4563,3755,3766
177,3066,4580,3788,3796
178,3092,4611,3818,3827
179,3121,4641,3850,3857
180,3141,4682,3882,3887
181,3178,4705,3909,3918
182,3201,4729,3936,3948
183,3225,4759,3967,3978
184,3250,4802,4002,4009
185,3288,4829,4034,4039
186,3322,4858,4063,4069
187,3350,4877,4095,4099
188,3380,4905,4127,4128
189,3408,4935,4156,4158
190,3431,4966,4183,4188
191,3459,5000,4214,4218
192,3498,5024,4245,4248
193,3532,5054,4274,4278
194,3559,5084,4306,4308
195,3582,5122,4334,4338
196,3617,5150,4362,4369
197,3647,5172,4392,4400
198,3674,5207,4424,4430
199,3698,5242,4455,4461
