"depth","min","max","median","mean"
25,751,975,865,875
26,802,1136,949,949
27,838,1253,1008,1017
28,880,1346,1073,1083
29,930,1437,1136,1149
30,975,1527,1202,1215
31,1027,1618,1266,1279
32,1077,1718,1328,1344
33,1132,1804,1389,1408
34,1183,1890,1451,1474
35,1245,1984,1513,1538
36,1294,2081,1570,1600
37,1354,2174,1628,1666
38,1414,2267,1688,1730
39,1467,2367,1744,1793
40,1535,2453,1798,1855
41,1604,2550,1852,1919
42,1675,2652,1903,1980
43,1752,2750,2010,2084
44,1834,2877,2178,2228
45,1938,3015,2371,2400
46,2052,3176,2585,2593
47,2182,3319,2823,2799
48,2315,3445,3069,3010
49,2484,3544,3324,3220
