"depth","min","max","median","mean"
105,1842,2277,2150,2123
106,1857,2291,2159,2133
107,1869,2301,2169,2144
108,1885,2314,2177,2154
109,1894,2328,2184,2164
110,1902,2348,2191,2175
111,1912,2357,2202,2184
112,1921,2366,2211,2194
113,1929,2379,2220,2204
114,1938,2396,2228,2214
115,1947,2413,2236,2223
116,1958,2422,2245,2233
117,1966,2434,2256,2243
118,1977,2450,2265,2252
119,1986,2465,2274,2262
120,1994,2476,2283,2272
121,2004,2486,2293,2282
122,2014,2495,2303,2292
123,2022,2508,2313,2302
124,2032,2523,2323,2312
125,2043,2538,2332,2322
126,2054,2549,2342,2332
127,2065,2561,2352,2342
128,2074,2573,2360,2352
129,2088,2587,2370,2362
130,2099,2600,2379,2372
131,2107,2609,2388,2381
132,2116,2622,2398,2391
133,2126,2634,2407,2401
134,2134,2645,2417,2411
135,2145,2657,2428,2421
136,2153,2667,2437,2431
137,2162,2677,2448,2440
138,2172,2685,2458,2450
139,2181,2694,2468,2460
140,2189,2704,2476,2470
141,2198,2714,2487,2480
142,2211,2724,2497,2490
143,2221,2736,2507,2500
144,2231,2750,2516,2510
145,2241,2765,2525,2520
146,2253,2777,2535,2530
147,2261,2785,2544,2540
148,2270,2796,2553,2550
149,2277,2809,2563,2560
150,2286,2818,2573,2570
151,2297,2829,2582,2580
152,2305,2838,2592,2589
153,2316,2847,2603,2599
154,2324,2857,2613,2609
155,2337,2866,2623,2619
156,2353,2875,2633,2629
157,2364,2883,2644,2640
158,2375,2892,2654,2650
159,2381,2905,2664,2660
160,2389,2918,2675,2671
161,2403,2928,2684,2680
162,2415,2936,2694,2690
163,2429,2943,2702,2700
164,2443,2957,2711,2710
165,2452,2975,2721,2719
166,2467,2982,2730,2729
167,2476,2988,2742,2739
168,2484,3000,2752,2748
169,2495,3007,2761,2758
170,2502,3021,2770,2768
171,2519,3028,2780,2778
172,2532,3039,2788,2788
173,2541,3051,2800,2798
174,2554,3062,2812,2808
175,2559,3072,2820,2818
176,2571,3081,2831,2827
177,2580,3091,2841,2837
178,2588,3097,2851,2847
179,2596,3103,2860,2856
180,2604,3115,2868,2866
181,2611,3124,2878,2876
182,2622,3133,2888,2885
183,2635,3141,2898,2895
184,2645,3152,2906,2905
185,2655,3165,2915,2915
186,2669,3171,2926,2925
187,2684,3180,2936,2935
188,2692,3188,2946,2945
189,2702,3200,2957,2955
190,2711,3212,2967,2965
191,2720,3220,2978,2975
192,2729,3228,2987,2984
193,2738,3236,2996,2994
194,2744,3248,3008,3004
195,2752,3257,3018,3014
196,2765,3266,3028,3024
197,2777,3275,3037,3034
198,2784,3283,3048,3044
199,2794,3291,3057,3054
200,2802,3302,3068,3063
201,2815,3307,3078,3073
202,2824,3316,3088,3083
203,2832,3330,3099,3093
204,2842,3340,3108,3102
205,2848,3351,3118,3112
206,2866,3358,3127,3122
207,2879,3365,3138,3132
208,2888,3371,3148,3142
209,2895,3380,3158,3152
210,2906,3392,3168,3162
211,2915,3394,3177,3171
212,2925,3401,3187,3181
213,2936,3408,3196,3191
214,2944,3418,3206,3201
215,2953,3431,3216,3211
216,2964,3436,3225,3220
217,2974,3446,3236,3230
218,2982,3454,3246,3239
219,2991,3465,3255,3249
220,3000,3476,3265,3258
221,3012,3484,3275,3268
222,3031,3492,3283,3278
223,3041,3501,3294,3288
224,3058,3509,3303,3298
225,3065,3525,3313,3308
226,3076,3532,3323,3318
227,3092,3537,3331,3328
228,3107,3548,3341,3337
229,3120,3555,3351,3347
230,3130,3565,3361,3357
231,3145,3570,3371,3367
232,3159,3577,3381,3377
233,3168,3586,3392,3387
234,3176,3594,3403,3397
235,3188,3606,3413,3407
236,3203,3613,3421,3417
237,3215,3618,3431,3426
238,3226,3625,3440,3436
239,3242,3635,3449,3446
240,3250,3644,3458,3456
241,3261,3652,3467,3465
242,3272,3659,3477,3475
243,3284,3667,3486,3484
244,3294,3674,3495,3494
245,3302,3683,3504,3504
246,3319,3691,3514,3514
247,3337,3700,3524,3524
248,3349,3706,3534,3534
249,3366,3715,3545,3544
250,3374,3727,3555,3555
251,3390,3732,3564,3565
252,3407,3736,3573,3574
253,3423,3742,3582,3584
254,3434,3754,3592,3594
255,3442,3764,3602,3604
256,3464,3768,3611,3614
257,3482,3774,3620,3624
258,3497,3779,3629,3634
259,3511,3785,3639,3644
260,3523,3793,3650,3654
261,3541,3798,3659,3664
262,3558,3803,3667,3674
263,3570,3808,3677,3685
264,3583,3815,3687,3695
265,3592,3826,3697,3705
266,3608,3834,3709,3716
267,3620,3843,3725,3728
268,3631,3853,3739,3739
269,3639,3864,3752,3750
270,3646,3878,3764,3762
271,3662,3898,3783,3780
272,3671,3934,3802,3799
273,3678,3979,3818,3817
274,3686,4025,3831,3836
275,3693,4077,3844,3854
276,3710,4099,3864,3873
277,3722,4125,3882,3892
278,3733,4161,3900,3912
279,3740,4200,3918,3931
280,3746,4244,3934,3950
281,3762,4264,3953,3968
282,3776,4289,3972,3987
283,3788,4315,3990,4006
284,3798,4345,4007,4024
285,3808,4380,4026,4043
286,3820,4399,4044,4061
287,3833,4420,4063,4080
288,3842,4446,4082,4099
289,3852,4475,4100,4118
290,3859,4512,4117,4137
291,3878,4528,4136,4156
292,3890,4549,4157,4176
293,3902,4571,4177,4195
294,3915,4601,4196,4214
295,3925,4636,4215,4234
296,3943,4659,4236,4253
297,3956,4685,4255,4272
298,3969,4714,4273,4292
299,3979,4748,4295,4311
300,3992,4775,4313,4330
301,4008,4797,4332,4349
302,4020,4820,4347,4368
303,4034,4842,4365,4386
304,4044,4865,4386,4405
305,4053,4894,4403,4424
306,4075,4912,4425,4443
307,4092,4936,4446,4462
308,4104,4963,4466,4482
309,4117,4992,4484,4501
310,4126,5021,4501,4520
311,4142,5042,4520,4539
312,4155,5065,4540,4558
313,4167,5096,4559,4577
314,4181,5124,4580,4596
315,4191,5150,4598,4615
316,4211,5168,4617,4634
317,4228,5188,4635,4654
318,4246,5217,4652,4673
319,4260,5250,4672,4693
320,4271,5283,4691,4712
321,4291,5303,4710,4731
322,4301,5316,4731,4750
323,4310,5330,4750,4769
324,4320,5354,4770,4788
325,4329,5381,4789,4807
326,4351,5398,4807,4826
327,4367,5417,4823,4845
328,4382,5437,4842,4864
329,4396,5457,4862,4883
330,4411,5486,4882,4902
331,4427,5512,4900,4921
332,4448,5540,4918,4941
333,4460,5561,4938,4961
334,4474,5588,4960,4980
335,4485,5616,4980,5000
336,4503,5638,4997,5019
337,4522,5658,5017,5038
338,4538,5682,5035,5057
339,4553,5709,5052,5076
340,4570,5737,5070,5096
341,4587,5759,5091,5115
342,4600,5785,5110,5135
343,4614,5816,5131,5154
344,4628,5842,5149,5174
345,4642,5873,5171,5193
