"depth","min","max","median","mean"
50,4813,6658,5415,5495
51,4836,6678,5439,5520
52,4857,6704,5467,5545
53,4876,6735,5490,5570
54,4898,6766,5518,5594
55,4920,6791,5545,5619
56,4949,6812,5574,5646
57,4964,6827,5600,5672
58,4981,6855,5630,5699
59,4997,6885,5658,5725
60,5019,6912,5683,5751
61,5047,6924,5711,5777
62,5075,6951,5740,5803
63,5105,6974,5767,5828
64,5125,6994,5793,5854
65,5144,7035,5820,5880
66,5176,7045,5847,5906
67,5197,7076,5874,5933
68,5221,7099,5901,5959
69,5238,7120,5927,5985
70,5250,7155,5952,6012
71,5274,7178,5981,6037
72,5297,7195,6008,6063
73,5315,7216,6035,6088
74,5330,7247,6059,6113
75,5347,7274,6086,6139
76,5377,7294,6113,6164
77,5400,7317,6138,6190
78,5419,7338,6164,6215
79,5438,7359,6190,6241
80,5463,7389,6213,6266
81,5481,7406,6238,6292
82,5503,7435,6264,6318
83,5528,7461,6294,6344
84,5547,7496,6318,6369
85,5564,7518,6347,6395
86,5595,7541,6377,6421
87,5617,7559,6401,6446
88,5639,7590,6429,6472
89,5661,7608,6456,6498
90,5683,7627,6482,6523
91,5704,7648,6505,6549
92,5729,7681,6531,6575
93,5748,7710,6554,6601
94,5774,7747,6582,6627
95,5793,7780,6608,6652
96,5818,7792,6627,6678
97,5842,7818,6656,6704
98,5864,7845,6685,6730
99,5889,7864,6713,6755
100,5912,7888,6736,6781
101,5935,7908,6765,6807
102,5963,7928,6795,6833
103,5984,7948,6821,6859
104,6013,7974,6845,6885
105,6036,7997,6871,6910
106,6063,8028,6900,6937
107,6090,8054,6928,6963
108,6117,8084,6955,6989
109,6138,8123,6981,7015
110,6160,8145,7009,7042
111,6187,8168,7039,7068
112,6222,8197,7065,7095
113,6245,8218,7094,7122
114,6266,8243,7120,7148
115,6286,8259,7146,7175
116,6319,8281,7173,7202
117,6338,8299,7202,7228
118,6361,8312,7226,7254
119,6380,8340,7251,7281
120,6403,8354,7275,7307
121,6426,8377,7305,7333
122,6450,8413,7334,7359
123,6468,8434,7360,7385
124,6487,8454,7383,7411
125,6511,8481,7413,7437
126,6538,8505,7435,7462
127,6564,8534,7460,7488
128,6592,8555,7491,7514
129,6610,8573,7513,7539
130,6633,8609,7541,7565
131,6655,8639,7567,7591
132,6689,8658,7594,7617
133,6714,8683,7620,7644
134,6747,8730,7651,7670
135,6768,8764,7681,7696
136,6790,8789,7704,7721
137,6814,8811,7730,7747
138,6845,8837,7758,7772
139,6868,8875,7782,7798
140,6891,8900,7810,7823
141,6917,8932,7834,7850
142,6948,8960,7861,7876
143,6975,8979,7887,7903
144,6996,8993,7916,7929
145,7018,9008,7939,7956
146,7038,9028,7966,7983
147,7079,9059,7996,8009
148,7108,9081,8025,8036
149,7142,9104,8050,8063
150,7161,9137,8074,8090
151,7185,9160,8097,8117
152,7215,9182,8125,8143
153,7235,9197,8154,8169
154,7252,9231,8182,8195
155,7272,9270,8212,8221
156,7300,9295,8232,8247
157,7332,9308,8256,8272
158,7349,9328,8284,8297
159,7380,9353,8311,8322
160,7397,9381,8330,8347
161,7419,9399,8353,8373
162,7450,9427,8381,8400
163,7489,9448,8408,8426
164,7506,9474,8439,8452
165,7533,9500,8469,8478
166,7554,9514,8495,8504
167,7577,9538,8523,8530
168,7596,9562,8548,8556
169,7619,9585,8573,8582
170,7649,9607,8599,8607
171,7669,9631,8626,8633
172,7689,9664,8651,8659
173,7716,9685,8677,8685
174,7738,9701,8705,8711
175,7767,9743,8735,8737
176,7797,9765,8761,8762
177,7821,9791,8787,8788
