depth,min,max,median,mean
250,2109,3922,3069,3054
251,2128,3934,3087,3074
252,2150,3957,3105,3094
253,2161,3976,3122,3113
254,2174,3993,3145,3133
255,2193,4005,3166,3153
256,2217,4028,3185,3173
257,2243,4051,3203,3192
258,2270,4068,3224,3212
259,2292,4096,3243,3232
260,2310,4116,3267,3252
261,2337,4134,3287,3272
262,2363,4151,3304,3292
263,2390,4170,3324,3311
264,2406,4194,3346,3331
265,2427,4209,3365,3351
266,2455,4224,3382,3371
267,2473,4243,3403,3392
268,2498,4263,3422,3413
269,2521,4280,3444,3434
270,2546,4302,3466,3454
271,2576,4318,3488,3475
272,2609,4338,3510,3495
273,2630,4358,3528,3515
274,2640,4382,3549,3536
275,2671,4407,3568,3556
276,2685,4422,3588,3575
277,2703,4438,3607,3595
278,2724,4456,3624,3614
279,2732,4472,3645,3634
280,2749,4492,3662,3653
281,2771,4506,3685,3673
282,2795,4528,3704,3692
283,2819,4552,3726,3712
284,2839,4575,3746,3732
285,2862,4596,3766,3752
286,2879,4608,3788,3772
287,2900,4629,3806,3792
288,2921,4648,3826,3812
289,2951,4668,3847,3832
290,2966,4689,3866,3852
291,2998,4699,3885,3871
292,3017,4717,3905,3891
293,3036,4740,3925,3910
294,3058,4756,3944,3930
295,3072,4774,3964,3949
296,3099,4791,3984,3969
297,3118,4803,4005,3989
298,3146,4809,4025,4009
299,3165,4832,4045,4029
300,3189,4844,4063,4049
301,3208,4858,4083,4068
302,3225,4887,4100,4088
303,3248,4918,4118,4107
304,3267,4942,4139,4126
305,3289,4962,4160,4146
306,3309,4978,4178,4166
307,3340,4998,4197,4185
308,3354,5011,4217,4205
309,3380,5030,4235,4225
310,3400,5049,4256,4245
311,3427,5063,4275,4265
312,3454,5079,4294,4285
313,3478,5105,4314,4305
314,3497,5124,4335,4325
315,3514,5148,4356,4346
316,3548,5161,4374,4365
317,3569,5179,4395,4385
318,3586,5196,4413,4404
319,3597,5211,4432,4424
320,3617,5233,4450,4443
321,3645,5257,4470,4463
322,3672,5277,4492,4484
323,3688,5295,4511,4504
324,3702,5317,4531,4525
325,3724,5343,4553,4545
326,3751,5362,4572,4565
327,3773,5384,4593,4585
328,3786,5400,4610,4604
329,3809,5422,4632,4624
330,3829,5448,4650,4644
331,3860,5465,4674,4665
332,3883,5484,4694,4685
333,3903,5505,4709,4705
334,3922,5524,4730,4726
