"depth","min","max","median","mean"
302,1753,1979,1876,1874
303,1758,1982,1881,1879
304,1762,1986,1886,1884
305,1766,1991,1890,1888
306,1770,1997,1894,1893
307,1774,2003,1899,1898
308,1778,2007,1903,1903
309,1784,2011,1908,1907
310,1788,2015,1912,1912
311,1794,2023,1917,1916
312,1798,2029,1921,1921
313,1802,2033,1926,1925
314,1807,2039,1931,1930
315,1811,2043,1936,1935
316,1815,2049,1940,1939
317,1819,2054,1945,1944
318,1824,2060,1949,1948
319,1830,2063,1954,1953
320,1835,2068,1958,1957
321,1839,2074,1963,1962
322,1844,2080,1967,1967
323,1850,2084,1972,1971
324,1856,2087,1976,1976
325,1860,2092,1980,1980
326,1863,2098,1985,1985
327,1865,2104,1989,1989
328,1872,2108,1994,1994
329,1877,2112,1999,1999
330,1881,2117,2004,2003
331,1885,2123,2008,2008
332,1888,2128,2013,2012
333,1893,2132,2017,2017
334,1899,2136,2022,2022
335,1903,2141,2027,2026
336,1906,2145,2031,2031
337,1911,2152,2036,2035
338,1915,2157,2040,2040
339,1921,2161,2045,2045
340,1924,2166,2050,2050
341,1929,2172,2054,2054
342,1933,2179,2059,2059
343,1940,2183,2063,2064
344,1944,2186,2068,2068
345,1951,2191,2072,2073
346,1953,2195,2077,2077
347,1957,2200,2082,2082
348,1963,2203,2086,2086
349,1968,2208,2091,2091
350,1975,2212,2096,2096
351,1977,2216,2101,2100
352,1982,2222,2105,2105
353,1988,2225,2109,2109
354,1994,2228,2114,2114
355,1999,2230,2119,2118
356,2002,2235,2123,2123
357,2005,2239,2128,2127
358,2011,2243,2132,2132
359,2018,2247,2136,2137
360,2021,2252,2142,2141
361,2026,2256,2146,2146
362,2031,2261,2151,2150
363,2037,2264,2156,2155
364,2043,2268,2160,2159
365,2049,2271,2164,2164
366,2053,2275,2168,2169
367,2056,2279,2173,2173
368,2063,2282,2178,2178
369,2069,2285,2184,2183
370,2075,2290,2188,2187
371,2079,2294,2193,2192
372,2083,2299,2197,2197
373,2089,2301,2202,2201
374,2093,2304,2208,2205
375,2097,2306,2212,2210
376,2101,2311,2217,2214
377,2105,2315,2221,2219
378,2111,2317,2226,2224
379,2117,2320,2231,2228
380,2121,2323,2235,2233
381,2125,2327,2240,2238
382,2130,2333,2245,2243
383,2138,2335,2250,2247
384,2145,2337,2255,2252
385,2150,2340,2259,2257
386,2154,2344,2263,2261
387,2158,2347,2268,2266
