"depth","min","max","median","mean"
14.5,-68,-41,-60,-59
15.5,-66,13,-44,-39
16.5,-64,68,-27,-19
17.5,-56,100,-10,0
18.5,-47,118,11,18
19.5,-41,142,30,36
20.5,-30,164,47,54
21.5,-19,176,69,72
22.5,-10,195,87,89
23.5,3,211,107,108
24.5,17,219,132,127
25.5,29,234,155,146
26.5,47,248,177,165
27.5,66,256,199,184
28.5,80,267,222,202
29.5,101,289,245,225
30.5,121,335,264,251
31.5,135,395,282,277
32.5,157,437,304,303
33.5,186,458,331,329
34.5,205,489,355,356
35.5,236,519,381,383
36.5,276,540,410,411
37.5,300,565,439,439
38.5,357,594,476,477
39.5,407,626,522,525
40.5,430,726,569,574
41.5,531,1001,739,749
42.5,593,1657,1006,1049
43.5,631,2347,1276,1349
44.5,947,2737,1626,1698
45.5,1366,2819,2070,2095
46.5,1649,2949,2554,2492
47.5,2077,3118,2854,2793
48.5,2650,3180,3017,2997
