"depth","min","max","median","mean"
160,508,654,571,576
161,509,655,572,577
162,510,656,573,578
163,511,658,574,579
164,512,659,575,580
165,513,660,577,581
166,514,661,578,582
167,515,662,578,583
168,516,663,580,584
169,518,664,581,585
170,519,664,582,586
171,519,665,583,587
172,520,667,584,588
173,521,668,585,589
174,522,668,586,590
175,522,670,587,591
176,523,671,588,592
177,524,672,589,593
178,525,673,590,594
179,527,675,591,595
180,527,676,592,596
181,529,677,593,597
182,530,678,594,598
183,531,679,595,599
184,532,680,596,600
185,533,681,597,601
186,534,682,598,602
187,535,683,599,603
188,535,684,600,604
189,536,685,601,605
190,537,686,602,606
191,538,688,603,607
192,539,689,604,608
193,539,690,605,609
194,540,691,606,610
195,541,692,607,611
196,542,693,608,612
197,543,694,609,613
198,544,694,610,614
199,544,695,611,615
200,546,696,612,616
201,547,698,613,617
202,548,699,614,618
203,550,700,615,619
204,550,701,615,620
205,551,702,617,621
206,552,703,618,622
207,553,704,619,623
208,554,705,620,624
209,554,706,622,625
210,555,707,623,626
211,556,709,624,627
212,557,709,625,628
213,558,710,626,629
214,559,711,626,630
215,560,713,628,631
216,561,713,629,632
217,562,715,629,633
218,563,716,630,634
219,564,717,631,635
220,566,717,632,636
221,567,718,633,637
222,568,719,634,638
223,568,721,635,639
224,569,722,636,640
225,569,723,637,641
226,570,724,638,642
227,572,725,639,643
228,572,726,640,644
229,574,727,641,645
230,575,728,642,646
231,576,729,643,647
232,577,731,644,648
233,577,732,645,649
234,578,733,646,650
235,579,734,647,651
236,581,735,648,652
237,582,735,649,653
238,583,736,650,654
239,584,737,651,655
240,585,738,652,656
241,586,740,653,657
242,587,741,654,658
243,588,742,655,659
244,589,743,656,660
245,590,743,657,661
246,591,745,658,662
247,591,746,659,663
248,592,747,660,664
249,593,748,661,665
250,593,750,662,666
251,595,751,663,667
252,597,752,664,667
253,599,753,665,668
254,599,754,666,669
255,600,756,667,670
256,601,757,668,671
257,603,758,669,672
258,603,758,670,673
259,604,759,671,674
260,604,761,672,675
261,606,762,673,676
262,607,763,674,677
263,608,764,675,678
264,609,765,676,679
265,610,766,677,680
266,611,767,678,681
267,612,768,679,682
268,613,769,680,683
269,614,770,681,684
270,615,772,682,685
271,616,773,683,686
272,617,773,684,687
273,618,774,685,688
274,619,775,686,689
275,621,777,687,690
276,622,778,688,691
277,623,778,688,692
278,624,779,690,693
279,624,780,690,694
280,625,780,691,695
