"depth","min","max","median","mean"
806,2878,4545,3747,3742
807,2892,4551,3756,3751
808,2903,4558,3767,3760
809,2912,4567,3774,3769
810,2926,4575,3784,3778
811,2932,4588,3793,3787
812,2945,4592,3801,3796
813,2953,4604,3810,3805
814,2961,4613,3817,3814
815,2968,4620,3826,3823
816,2980,4632,3837,3832
817,2988,4636,3844,3841
818,2996,4647,3855,3850
819,3004,4652,3864,3859
820,3012,4656,3873,3868
821,3020,4663,3883,3877
822,3033,4672,3892,3886
823,3036,4678,3901,3895
824,3043,4689,3911,3904
825,3050,4692,3922,3913
826,3055,4699,3932,3922
827,3067,4711,3940,3931
828,3073,4723,3948,3940
829,3085,4736,3957,3949
830,3106,4741,3967,3958
831,3114,4748,3976,3967
832,3126,4754,3985,3976
833,3134,4761,3994,3985
834,3143,4772,4004,3994
835,3156,4787,4013,4003
836,3165,4793,4021,4012
837,3179,4802,4029,4021
838,3188,4815,4037,4030
839,3196,4825,4048,4039
840,3206,4832,4057,4048
841,3214,4838,4069,4056
842,3230,4843,4078,4065
843,3237,4849,4088,4074
844,3246,4854,4096,4083
845,3250,4862,4103,4092
846,3255,4871,4112,4100
847,3263,4877,4121,4109
848,3277,4881,4129,4118
849,3289,4889,4137,4127
850,3293,4898,4146,4135
851,3307,4909,4155,4144
852,3317,4918,4164,4153
853,3327,4924,4172,4162
854,3338,4931,4182,4172
855,3347,4940,4193,4181
856,3354,4948,4203,4190
857,3364,4952,4212,4199
858,3378,4957,4221,4208
859,3387,4968,4232,4217
860,3396,4977,4242,4226
861,3406,4986,4251,4235
862,3414,4994,4259,4244
863,3424,5003,4268,4253
864,3433,5009,4275,4262
865,3439,5023,4283,4271
866,3446,5036,4294,4279
867,3458,5043,4304,4288
868,3470,5050,4311,4296
869,3480,5057,4320,4305
870,3486,5069,4328,4314
871,3497,5080,4335,4322
872,3507,5084,4345,4331
873,3518,5097,4354,4340
874,3528,5099,4364,4349
875,3543,5108,4373,4358
876,3552,5113,4381,4366
877,3567,5122,4390,4376
878,3572,5134,4399,4385
879,3575,5141,4409,4394
880,3587,5147,4418,4403
881,3605,5155,4426,4413
882,3617,5163,4435,4421
883,3627,5171,4442,4430
884,3641,5178,4451,4439
885,3650,5186,4459,4448
886,3655,5193,4467,4457
887,3673,5198,4476,4465
888,3682,5203,4484,4474
889,3691,5207,4493,4483
890,3706,5212,4501,4492
891,3716,5221,4510,4500
892,3727,5227,4519,4509
893,3733,5239,4528,4518
894,3740,5248,4536,4527
895,3751,5255,4544,4536
896,3762,5263,4553,4545
897,3771,5269,4561,4554
898,3787,5279,4572,4563
899,3794,5288,4580,4572
900,3801,5297,4591,4581
901,3807,5305,4601,4590
902,3815,5315,4611,4599
903,3823,5323,4620,4607
904,3834,5326,4628,4616
905,3841,5335,4635,4625
906,3850,5342,4644,4633
907,3865,5350,4654,4642
908,3884,5357,4664,4652
909,3890,5363,4672,4661
910,3903,5377,4682,4670
911,3911,5381,4693,4679
912,3922,5387,4701,4688
913,3934,5393,4709,4697
914,3940,5399,4717,4706
915,3947,5406,4727,4714
916,3957,5413,4734,4723
917,3966,5424,4742,4732
918,3979,5437,4753,4741
919,3989,5447,4760,4750
920,4002,5452,4768,4759
921,4016,5461,4777,4767
922,4025,5467,4785,4776
923,4037,5480,4793,4785
924,4047,5486,4804,4794
925,4058,5494,4811,4803
926,4066,5499,4818,4812
927,4071,5504,4827,4821
928,4082,5516,4836,4830
929,4092,5529,4845,4839
930,4103,5533,4853,4848
931,4111,5541,4863,4857
932,4122,5548,4873,4866
933,4132,5551,4882,4874
934,4139,5556,4891,4883
935,4147,5562,4900,4892
936,4161,5570,4908,4901
937,4169,5575,4916,4910
938,4177,5583,4925,4919
939,4194,5592,4932,4928
940,4202,5597,4940,4937
941,4209,5604,4948,4945
942,4222,5610,4958,4954
943,4233,5620,4967,4963
944,4247,5627,4977,4972
945,4250,5635,4986,4981
946,4259,5645,4995,4990
947,4272,5652,5003,4999
948,4287,5656,5012,5008
949,4296,5663,5021,5017
950,4302,5672,5033,5026
951,4316,5679,5043,5035
952,4326,5689,5050,5043
953,4333,5697,5059,5052
954,4341,5708,5068,5061
955,4352,5719,5078,5069
956,4365,5729,5087,5078
957,4370,5734,5097,5087
958,4379,5740,5106,5096
959,4394,5743,5116,5105
960,4409,5751,5125,5114
961,4417,5762,5134,5123
962,4430,5769,5141,5132
963,4439,5777,5150,5140
964,4448,5786,5160,5149
965,4456,5798,5169,5158
966,4470,5809,5178,5166
967,4478,5816,5187,5175
968,4492,5825,5196,5184
969,4505,5834,5205,5193
970,4515,5835,5213,5202
971,4526,5847,5221,5211
972,4531,5856,5230,5220
973,4537,5867,5239,5229
974,4547,5873,5246,5238
975,4561,5877,5253,5247
976,4568,5887,5264,5256
977,4581,5894,5274,5265
978,4589,5898,5283,5274
979,4600,5907,5292,5282
980,4604,5919,5300,5291
981,4612,5927,5309,5300
982,4623,5934,5317,5308
983,4633,5942,5327,5317
984,4637,5949,5338,5326
985,4649,5956,5348,5335
986,4660,5964,5355,5344
987,4670,5973,5364,5353
988,4681,5982,5373,5362
989,4693,5988,5381,5371
990,4701,6000,5390,5379
991,4707,6017,5398,5388
992,4720,6024,5406,5397
993,4730,6028,5416,5406
994,4744,6037,5425,5415
995,4759,6046,5433,5423
996,4768,6056,5442,5432
997,4779,6062,5452,5441
998,4788,6068,5461,5450
999,4795,6076,5469,5460
1000,4806,6085,5479,5469
1001,4816,6098,5489,5478
1002,4831,6102,5497,5487
1003,4847,6110,5504,5496
1004,4860,6115,5512,5505
1005,4869,6120,5521,5514
1006,4878,6131,5530,5523
1007,4886,6136,5539,5532
1008,4903,6144,5550,5540
1009,4914,6151,5557,5549
1010,4923,6163,5566,5558
1011,4935,6169,5574,5567
1012,4945,6178,5582,5575
1013,4956,6185,5591,5584
1014,4971,6195,5600,5593
1015,4982,6208,5608,5602
1016,4987,6212,5616,5610
1017,4996,6224,5625,5619
1018,5004,6235,5635,5628
1019,5012,6238,5643,5637
1020,5022,6246,5652,5646
1021,5034,6254,5658,5655
1022,5039,6256,5668,5664
1023,5047,6263,5677,5672
1024,5056,6275,5685,5681
1025,5063,6282,5696,5690
1026,5068,6294,5703,5699
1027,5081,6297,5712,5708
1028,5091,6307,5720,5717
1029,5104,6312,5731,5725
1030,5110,6318,5741,5734
1031,5120,6325,5750,5743
1032,5127,6334,5757,5752
1033,5137,6342,5766,5761
1034,5145,6351,5775,5770
1035,5153,6358,5783,5779
1036,5169,6367,5793,5788
1037,5179,6376,5801,5797
1038,5187,6388,5810,5806
1039,5197,6393,5820,5815
1040,5203,6399,5827,5823
1041,5212,6405,5835,5832
1042,5224,6410,5844,5841
1043,5231,6417,5854,5850
1044,5240,6425,5863,5858
1045,5247,6434,5872,5867
1046,5253,6443,5881,5876
1047,5262,6448,5889,5885
1048,5276,6454,5900,5894
1049,5291,6463,5911,5903
1050,5297,6467,5920,5912
1051,5313,6473,5928,5921
1052,5323,6484,5938,5930
1053,5333,6492,5946,5939
1054,5346,6496,5953,5949
1055,5357,6505,5962,5958
1056,5365,6513,5969,5967
1057,5378,6518,5978,5975
1058,5393,6522,5987,5984
1059,5401,6531,5996,5993
1060,5411,6542,6006,6002
1061,5424,6549,6015,6011
1062,5434,6555,6023,6019
1063,5441,6566,6032,6028
1064,5447,6575,6040,6037
1065,5452,6584,6048,6046
1066,5467,6592,6058,6055
1067,5478,6599,6066,6064
1068,5489,6608,6076,6072
1069,5500,6614,6084,6081
1070,5510,6624,6093,6090
1071,5531,6632,6102,6099
1072,5539,6643,6111,6107
1073,5547,6648,6118,6116
1074,5559,6658,6127,6124
1075,5567,6665,6134,6133
1076,5576,6673,6144,6141
1077,5589,6680,6151,6150
1078,5599,6690,6161,6159
1079,5608,6696,6170,6168
1080,5615,6704,6179,6176
1081,5618,6711,6187,6185
1082,5631,6725,6196,6194
1083,5642,6729,6204,6203
1084,5651,6736,6213,6212
1085,5663,6746,6222,6222
1086,5675,6753,6230,6231
1087,5690,6760,6239,6239
1088,5697,6766,6250,6248
1089,5708,6773,6258,6257
1090,5717,6782,6268,6266
1091,5729,6790,6278,6275
1092,5735,6796,6285,6284
1093,5749,6801,6292,6293
1094,5759,6812,6301,6302
1095,5766,6822,6311,6311
1096,5775,6832,6318,6320
1097,5784,6841,6327,6329
1098,5800,6843,6336,6338
1099,5816,6853,6343,6347
1100,5829,6861,6352,6355
1101,5838,6872,6363,6364
1102,5850,6873,6372,6373
1103,5860,6881,6382,6382
1104,5870,6888,6390,6392
1105,5878,6892,6398,6401
1106,5884,6899,6408,6410
1107,5897,6907,6418,6419
1108,5903,6916,6427,6428
1109,5913,6920,6436,6437
1110,5919,6929,6444,6445
1111,5926,6943,6455,6454
1112,5933,6947,6462,6463
1113,5941,6957,6471,6472
1114,5950,6966,6480,6481
1115,5960,6975,6489,6490
1116,5970,6984,6497,6499
1117,5978,6990,6506,6508
1118,5991,6995,6513,6516
1119,6003,7006,6521,6525
1120,6018,7014,6530,6534
1121,6023,7025,6537,6543
1122,6038,7033,6547,6552
1123,6052,7038,6556,6560
1124,6061,7045,6566,6569
1125,6073,7058,6576,6578
1126,6086,7062,6584,6587
1127,6095,7071,6594,6596
1128,6102,7084,6605,6605
1129,6119,7092,6616,6614
1130,6130,7099,6624,6623
1131,6139,7109,6636,6633
1132,6154,7113,6643,6641
1133,6162,7123,6651,6650
1134,6170,7131,6659,6659
1135,6177,7147,6665,6668
