Pollen_type_SM_morphological,African_coast,Madagascar,South_Africa,Eastern_Tropical_Africa,Zambezian,Guineo-Congolian,Sudanian,Sahel,Sahara,Mediterranean,Temperate,Asia,Arabia,America,Australia,Exotic_Introduced,Cosmopolitan,Widespread,Reference #1,Reference #2,Reference #3,Reference #4,Reference #5,Reference #6,Reference #7,Reference #8,Observations
Abies,,,,,,,,,,x,x,x,,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,According to White (1983) in Mediterranea regional centre of endemism
Abutilon t.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Alzahrani, D. A., Albokhari, E. J., & Khoj, A. (2021). Taxonomic studies on some members of the genus Abutilon Mill.(Malvaceae). American Journal of Plant Sciences, 12(02), 199.",,,,,,,,"Thulin et al. (2008): The circumscription of several of the species, particularly some of the more widespread ones, is uncertain and in need of further study. This account is therefore to be regarded as preliminary."
Acacia t.,,x,x,x,x,x,x,x,x,x,,,x,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,"According to White (1983) Acacias are found in the the western end of the Mediterranean/Sahara transition zone, sahara, sahel-eastern tropical Africa, guineo-congolian and south africa. According to Watrin (2009): Tropical-Sahelian"
Acalypha,,,,,,x,x,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Acanthaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,"Hély (2014) only encompasses Africa so it does not include the rest of the world. According to Shuler (2016): The distribution is Holarctic, Palaeotropical, Neotropical, Cape, and Australian, in temperate to tropical climate."
Acanthus,,,x,x,,x,x,,,x,x,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Timberlake, J. R., & Martins, E. S. (Eds.). (2013). Flora Zambesiaca (Vol. 8, Part 5). University of Chicago Press. ISBN: 978-1842464120","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,"About 25 species from S Europe to the Pacific and south through Africa to Angola, Zambia and Malawi (Timberlake and Martins 2013)"
Acer,,,,,,,,,,x,x,x,,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ",,,,,,,"In Watrin (2009) is just Temperate, in White (1983) in Mediterranean centre of endemism."
Acorus,,,,,,,,,,,,x,,x,,x,,,Feng et al. (2015) RSC adv.,,,,,,,,Naturalised in Europe
Adansonia digitata,,,,x,,x,x,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Adenia,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hearn, D. J. (2007). Novelties in Adenia (Passifloraceae): Four new species, a new combination, a vegetative key, and diagnostic characters for known Madagascan species. Brittonia, 59(4), 308-327.",,,,,,,"in Somalia-Massai, in Karoo-Namib, in Zanzibar-Inhambane scrub forest, in The West Malagasy regional centre ofendemism"
