"Depth (cm)","Sauvagesia","Abutilon t.","Acacia t.","Acalypha","Adansonia digitata","Aerva type","Afraegle","Alchornea","Allophylus t.","Alstonia","Amaranthaceae undif.","Anthoceros t.","Anthostema","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Blepharis","Blighia","Bridelia","Caesalpinia","Calpocalyx","Calpocalyx aubrevillei","Campylospermum","Canarium","Canthium","Cassia","Celastraceae undif.","Celosia type","Celtis","Chlorophora","Chrozophora","Chrysobalanus t.","Cichorieae","Cissus t.","Coccinia","Combretaceae","Commelina","Commiphora","Cyperaceae","Detarium","Diospyros/Euclea t.","Dodonaea","Ekebergia","Elaeis","Ephedra","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Galium t.","Grewioideae","Hygrophila","Hymenocardia","Hymenostegia","Hyphaene t.","Hypoestes t.","Indeterminable","Indigofera","Ipomoea","Jatropha/Croton","Justicia t.","Lamiaceae undif.","Lannea","Lepidagathis","Limnophyton","Lophira","Macaranga","Maerua","Mallotus","Maytenus","Mitracarpus","Mitragyna/Hallea","Monoletes","Morus","Musanga/Myrianthus","Nyctaginaceae","Nymphaea","Ocimum","Oldenlandia","Olea t.","Onagraceae","Pandanus","Parkinsonia","Pausinystalia","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Pinus undif.","Plagiostyles","Poaceae","Podocarpus","Polygala","Polygonum t.","Polyscias","Prosopis t.","Pycnanthus","Rhamnaceae undif.","Rhizophora","Rubiaceae undif.","Rumex t.","Rutaceae undif.","Sapotaceae undif.","Searsia","Spermacoce","Symphonia","Syzygium t.","Tamarix","Teclea","Tephrosia","Tessmannia","Tetracera alnifolia","Tetrorchidium","Tribulus","Triletes","Typha","Uapaca","Urtica t.","Vernonieae","Vigna","Zanthoxylum"
" 30",NA,"  0","  2","  0","  0","  1","  0","  7","  0","  0"," 22","  1","  0","  0","  1","  2","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  3","  0","  0","107","  1","  0","  0","  0","  0","  7","  0","  0","  2","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 25","  0","  0","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 19","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","183","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1","  9","  0","  0","  0","  0","  0"
" 40",NA,"  0","  1","  0","  0","  6","  0","  2","  0","  0"," 20","  1","  0","  0","  2","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","129","  0","  0","  0","  0","  0","  3","  0","  1","  1","  0","  1","  0","  5","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  2","  0","  0","  0","  0","  9","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  2","  0","150","  0","  0","  0","  0","  0","  0","  0"," 79","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  8","  0","  0","  0","  0","  0"
" 60",NA,"  0","  0","  0","  1","  6","  0","  3","  0","  0"," 13","  3","  0","  0","  1","  7","  0","  0","  0","  0","  1","  0","  0","  0","  1","  1","  0","  0","  1","  1","  0","  1","  1","  1","  1","  0","  4","  0","  0"," 69","  0","  0","  0","  0","  1","  2","  0","  2","  0","  0","  7","  0","  0","  2","  0","  1","  3","  0","  1","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0"," 18","  0","  0","  0","  0","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0","  5","  0","105","  0","  0","  0","  0","  0","  0","  0"," 30","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  3","  1","  1","  0","  0"
" 80",NA,"  0","  1","  0","  0","  2","  0","  3","  0","  0"," 20","  1","  0","  0","  0","  5","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","139","  1","  3","  0","  0","  0","  6","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 28","  0","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0"," 12","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","158","  0","  0","  0","  0","  0","  0","  0"," 30","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  9","  0","  0","  0","  0","  0"
"100",NA,"  0","  1","  0","  0"," 10","  0","  9","  0","  0"," 31","  2","  0","  0","  2","  7","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  2","  0","  1","107","  0","  0","  1","  1","  1","  2","  0","  1","  1","  0","  3","  1","  0","  0","  0","  0","  0","  0","  1","  0"," 35","  0","  0","  0","  0","  1","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  1","173","  0","  0","  1","  0","  0","  1","  0"," 58","  1","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  5","  0","  1","  0","  0","  0"
"120",NA,"  0","  6","  1","  0","  3","  0","  2","  0","  0"," 14","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0"," 74","  0","  1","  0","  0","  0","  6","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 29","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  2","  0","  0","  1","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  3","  0","100","  0","  0","  0","  0","  0","  0","  0","115","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  1","  0","  0","  0","  0"
"140",NA,"  0","  1","  0","  0","  4","  0","  3","  0","  0"," 18","  0","  0","  1","  2","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  2","  0","  0"," 84","  1","  0","  0","  0","  0","  3","  0","  0","  3","  0","  5","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 23","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  2","  0","124","  0","  0","  1","  0","  0","  0","  0"," 40","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  8","  0","  2","  0","  0","  0"
"160",NA,"  0","  0","  0","  0","  2","  0","  3","  0","  0"," 11","  1","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0","  2","  2","  0","  0","  1","  0","  1","  0","  0","  0","  0","  1","  1","  1","  0","  0","  0","105","  0","  1","  0","  0","  0","  6","  0","  0","  0","  0","  5","  0","  3","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  4","  0","  6","  5","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","141","  0","  0","  0","  0","  0","  4","  0"," 84","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  1","  0","  0"
"180",NA,"  2","  0","  0","  1","  1","  0","  6","  0","  0"," 29","  3","  0","  0","  2","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  3","  0","  1"," 82","  0","  0","  0","  0","  3","  2","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 34","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 20","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","204","  0","  0","  2","  0","  0","  0","  0"," 41","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  5","  0","  0","  1","  0","  0"
"200",NA,"  0","  0","  0","  0","  1","  0","  4","  0","  0"," 24","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  2","  0","  0","  4","  2","  1","125","  1","  2","  0","  0","  0","  3","  0","  0","  1","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0"," 32","  0","  0","  1","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","203","  0","  0","  0","  0","  0","  1","  0"," 37","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  2","  0","  0"
