"Sample Age (cal BP) [undefined]","Depth (cm) [cm]","Adenium","Amaranthaceae undif.","Asteroideae undif.","Bignoniaceae undif.","Bosqueia","CRETACEOUS FOSSIL","Canthium","Cassia","Cichorieae","Cocculus","Cocos nucifera","Combretaceae","Cucurbitaceae undif.","Cyperaceae","Diospyros/Euclea t.","Ephedra","Fagonia","Fern","Heliotropium","Indeterminable","Indigofera","Jatropha/Croton","LYCOPODIUM tablet","MIOCENE POLLEN GRAIN","Maerua","Mallotus","Malva undif.","Mangifera","Meliaceae undif.","Ocimum","Phyllanthus niruri","Poaceae","Podocarpus","Polygonum t.","Protist","Salvadora","Schizaceae (Anemia type)","TERTIARY POLLEN GRAIN","Tamarix","Tintinnid","Tribulus","Typha","Ziziphus/Paliurus","diatoms"
NA,"   3","   0","3133","   1","   1","   0","   7","   0","   1","   2","   0","   0","   0","   0","  13","   0","   0","   0","  12","   1","   2","   0","   0"," 241","   0","   1","   0","   0","   0","   0","   0","   0","   6","   0","   0","  22","   0","   1","   1","   1","   1","   0","  80","   0","   0"
NA," 12.5","  0.0","366.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0"," 15.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","139.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 14.0","  0.0","  0.0"," 27.0","  0.0","  0.0","  0.0","  4.0","  4.0","  0.0"," 55.0","  0.0","  4.0"
NA," 22.5","  0.0","501.0","  0.0"," 12.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0"," 15.0","  0.0","  0.0","  0.0","  0.0","  1.0","  7.0","  0.0","  0.0"," 69.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 22.0","  1.0","  0.0"," 24.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","155.0","  0.0"," 98.0"
NA," 30","  1","506","  0","  2","  0","  0","  0","  1","  0","  0"," 14","  3","  0"," 12","  0","  1","  0","  0","  0","  8","  0","  0"," 42","  0","  0","  0","  0","  0","  0","  1","  0"," 32","  0","  0"," 20","  0","  0","  1","  4","  2","  0"," 37","  1","  6"
NA," 40","  0","248","  1","  6","  0","  0","  0","  1","  1","  0"," 13","  1","  0"," 28","  0","  0","  0","  1","  1"," 10","  0","  0"," 45","  0","  0","  0","  0","  0","  0","  0","  0"," 45","  0","  0"," 14","  0","  0","  1","  1","  6","  0"," 29","  0"," 10"
NA," 50","  0","190","  0","  1","  0","  0","  0","  0","  0","  0"," 23","  2","  0"," 57","  0","  0","  1","  1","  0","  7","  0","  0"," 50","  0","  0","  1","  0","  0","  0","  0","  0"," 37","  0","  0"," 18","  0","  0","  1","  1","  1","  0"," 28","  0","113"
NA," 57","  0","143","  0","  0","  0","  0","  0","  2","  1","  0","  9","  1","  1"," 89","  0","  0","  0","  0","  0","  5","  1","  0"," 62","  0","  0","  0","  0","  0","  0","  0","  0"," 43","  0","  0"," 14","  0","  0","  3","  1","  3","  0"," 29","  0","200"
NA," 67","  0","183","  0","  1","  0","  0","  0","  0","  0","  0"," 16","  2","  0","100","  0","  0","  0","  1","  0","  5","  0","  0"," 61","  0","  1","  1","  0","  0","  0","  0","  1"," 34","  0","  0"," 26","  0","  0","  2","  2","  0","  0"," 23","  0"," 58"
NA,"135","  0"," 74","  0","  0","  2","  0","  0","  0","  1","  1","  0","  0","  0"," 19","  1","  0","  0","  1","  0","  1","  0","  3","342","  0","  1","  0","  1","  1","  0","  0","  0","106","  0","  4"," 30","  0","  0","  2","  0","  2","  0"," 91","  1","  8"
NA,"175","  0"," 50","  0","  1","  5","  0","  0","  0","  0","  0","  0","  6","  0"," 39","  1","  0","  0","  3","  0","  3","  0","  0"," 45","  3","  0","  0","  0","  0","  0","  0","  0"," 33","  0","  0","  3","  1","  0","  0","  0","  2","  0","161","  0","  3"
"2225"," 215","   0","  49","   0","   0","   0","   0","   0","   0","   1","   0","   1","   3","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0"," 199","   0","   0","   0","   0","   0","   0","   0","   0","  33","   0","   0","   0","   0","   0","   1","   0","  18","   1"," 264","   0","   3"
"1468"," 225","   0"," 130","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","  66","   0","   0","   0","   0","   0","   4","   0","   0"," 106","   6","   1","   0","   0","   0","   2","   0","   0","  47","   0","   3","   9","   3","   0","   6","   2","   2","   0","  56","   0","   9"
