"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Abutilon t.","Acacia t.","Aerva type","Aizoaceae t.","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Arecaceae undif.","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Bridelia","Calligonum","Caryophyllaceae undif.","Cassia","Celtis","Centaurea","Cichorieae","Combretaceae","Commiphora","Convolvulaceae","Crudia","Cupressaceae","Cyperaceae","Dipterygium glaucum","Dodonaea","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Faboideae Undif.","Fagonia","Fern","Galium t.","Gentianaceae undif.","Geraniaceae undif.","Heliotropium","Hibiscus","Hypoestes t.","Indeterminable","Ipomoea","Jacquemontia t.","Justicia t.","Lamiaceae undif.","Lotus t.","Maerua","Monoletes","Morella","Myriophyllum undif.","Ocimum","Olea t.","Paronychieae","Plantago","Poaceae","Podocarpus","Polygala","Polygonum t.","Psilotrichum t.","Resedaceae undiff.","Rubiaceae undif.","Rumex t.","Salix","Salvadora","Sapotaceae undif.","Scrophulariaceae undif.","Searsia","Solanum","Spergularia t.","Tamarix","Tribulus","Triletes","Typha","Unknown","Urtica t.","Ziziphus/Paliurus","Zygophyllum t."
"7747.744","  32.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   4.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 149.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","  30.000","   0.000","   0.000","   0.000","   0.000"
"7781.884","  46.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  29.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   2.000","   1.000","   0.000","   0.000","   0.000"
"7801.392","  54.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  17.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   4.000","   2.000","   0.000","   0.000","   0.000","   1.000"
"7813.585","  59.000","   0.000","   0.000","   0.000","   0.000","   5.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  36.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   8.000","  12.000","   2.000","   0.000","   0.000","   0.000","   1.000"
"7825.778","  64.000","   0.000","   0.000","   0.000","   0.000","   4.000","   2.000","  31.000","   0.000","   0.000","   0.000","   9.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   1.000","   1.000","   0.000","   0.000","  25.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  31.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","  16.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 644.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","  41.000"," 176.000","   5.000","   0.000","   0.000","   2.000"
"7850.163","  74.000","   0.000","   0.000","   0.000","   7.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  33.000","   0.000","   2.000","   2.000","   1.000","   0.000"," 456.000"
"8118.403"," 184.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  36.000","   0.000","   2.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","  14.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","  37.000","   5.000","   0.000","   0.000","   0.000"
"8145.227"," 195.000","   0.000","   0.000","   0.000","   1.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000"," 436.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"
"8167.174"," 204.000","   0.000","   1.000","   0.000","   0.000","   1.000","   1.000","  93.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","  20.000","   0.000","   0.000","   0.000","   0.000","   0.000","  10.000","   1.000","   0.000","   0.000","   0.000","   0.000","   5.000","   1.000","   0.000","   0.000","   0.000","   0.000","  74.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   1.000","   0.000","   0.000","   2.000","  34.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 184.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  91.000"," 142.000","   3.000","   0.000","   0.000","   0.000"
"8191.559"," 214.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 257.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000"
