"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alchemilla t.","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Chamaerops","Cicendia filiformis","Cichorieae","Cistaceae","Cistaceae undif.","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Frankenia","Fraxinus","Fumaria","Galium t.","Genisteae","Gentiana t.","Geranium","Gynandriris sisyrinchium","Halimium/Tuberaria","Hedera","Hypecoum","Ilex","Indeterminable","IsoÃ«tes","IsoÃ«tes undiff.","Lamiaceae undif.","Linum t.","Lotus t.","Lythrum","Mercurialis","Morella","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Ononis t.","Operculodinium centrocarpum","Operculodinium israelianum","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (>37 Âµm)","Polygonum t.","Polysphaeridium zoharyi","Potamogeton","Protist","Pseudoschizaea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhamnus","Riccia","Rosaceae undif.","Rumex t.","Salix","Sambucus","Samolus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Spergularia t.","Tamarix","Thymelaeaceae undif.","Trifolium t.","Triletes","Typha","Valerianella","Viburnum","Vitis"
"1561.6",NA,NA," 160.0","   0.0","   0.0","  10.0","   0.0","   9.0"," 158.0","   0.0","   0.0","  10.0","   2.0","   0.0","   4.0","   4.0","  50.0","   0.0","   0.0","  10.0","   1.0","   0.0","  10.0","   2.0","   0.0","   0.0","   0.0","   3.0"," 271.0","  31.0","   0.0","   0.0","   0.0","   0.0","   1.0","  68.0","   0.0","   1.0","   0.0"," 111.0","   0.0","   0.0","   0.0","   0.0","  28.0","   0.0","   2.0","   4.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 123.0","   0.0"," 781.0","   7.0","   1.0","   0.0","   0.0","   2.0","   0.0","  11.0","   0.0","  17.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  11.5","   2.0","  93.0","   0.0"," 196.0","   0.0","   3.0","   0.0","   3.0","  40.0","   0.0","   7.0","  35.0","   9.0","  25.0","  10.0","   1.0","   6.0","   1.0","  28.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   3.0","  14.0","   2.0","   0.0","  29.0","   8.0","   0.0","   0.0","   5.0"
"1756.8",NA,NA," 180.0","   0.0","   0.0","  21.0","   0.0","   4.0"," 137.0","   0.0","   0.0","   8.0","   0.0","   0.0","   6.0","   7.0","  46.0","   0.0","   0.0","   2.0","   0.0","   0.0","   6.0","   1.0","   2.0","   0.0","   0.0","   0.0"," 142.0","  34.0","   0.0","   0.0","   0.0","   0.0","   0.0","  46.0","   1.0","   1.0","   0.0"," 125.0","   0.0","   0.0","   1.0","   0.0","  17.0","   2.0","   0.0","   4.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  35.0","   1.0"," 473.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","  14.0","   0.0","  20.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   6.0","   7.5","   9.0","  53.0","   0.0","  42.0","   1.0","   8.0","   0.0","   0.0","  31.0","   0.0","  12.0","  33.0","   6.0","  15.0","  11.0","   0.0","   2.0","   0.0","  15.0","   2.0","   0.0","   1.0","   1.0","   0.0","   0.0","   1.0","  12.0","   0.0","   1.0","  40.0","   2.0","   0.0","   0.0","   3.0"
"2049.5",NA,NA," 210.0","   0.0","   0.0","   4.0","   0.0","   7.0","  59.0","   1.0","   0.0","   9.0","   0.0","   0.0","   2.0","   2.0","  32.0","   1.0","   0.0","   6.0","   1.0","   0.0","   6.0","   0.0","   1.0","   0.0","   0.0","   1.0"," 119.0","  23.0","   0.0","   0.0","   0.0","   0.0","   1.0","  43.0","   1.0","   1.0","   0.0","  93.0","   1.0","   0.0","   1.0","   0.0","  11.0","   0.0","   0.0","   7.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","  44.0","   0.0"," 457.0","   3.0","   4.0","   0.0","   0.0","   1.0","   4.0","   7.0","   0.0","  28.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   5.0","   7.0","   3.0","  46.0","   1.0"," 129.0","   3.0","   2.0","   0.0","   3.0","  33.0","   0.0","  10.0","  24.0","  11.0","  29.0","   7.0","   1.0","   4.0","   0.0","  25.0","   5.0","   0.0","   1.0","   0.0","   2.0","   0.0","   2.0","  14.0","   0.0","   2.0","  24.0","   3.0","   0.0","   0.0","  11.0"
"2732.7",NA,NA," 280.0","   0.0","   0.0","  11.0","   0.0","   5.0","  84.0","   0.0","   1.0","   8.0","   2.0","   0.0","   0.0","   3.0","  43.0","   0.0","   0.0","   4.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","   0.0","   4.0"," 113.0","  22.0","   0.0","   0.0","   0.0","   0.0","   2.0","  50.0","   0.0","   3.0","   0.0","  90.0","   1.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  46.0","   0.0"," 500.0","   0.0","   1.0","   2.0","   0.0","   2.0","   0.0","  11.0","   0.0","  29.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   8.0","   6.0","  11.0","  46.0","   0.0"," 130.0","   2.0","   1.0","   0.0","   6.0","  24.0","   0.0","  10.0","  32.0","  11.0","  20.0","   9.0","   1.0","   8.0","   0.0","  23.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","  11.0","   0.0","   0.0","  21.0","   5.0","   0.0","   0.0","  11.0"
"2927.9",NA,NA," 300.0","   0.0","   0.0","  27.0","   0.0","   1.0","  97.0","   0.0","   0.0","   7.0","   0.0","   0.0","   3.0","   2.0","  55.0","   0.0","   0.0","   6.0","   0.0","   0.0","   2.0","   1.0","   1.0","   0.0","   0.0","   1.0","  67.0","  29.0","   2.0","   0.0","   0.0","   0.0","   0.0","  32.0","   0.0","   1.0","   1.0","  86.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  31.0","   5.0"," 571.0","   2.0","   2.0","   0.0","   0.0","   1.0","   0.0","   3.0","   2.0","  14.0","   0.0","   0.0","   9.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   7.0","  14.5","  13.0","  32.0","   0.0","  40.0","   2.0","   4.0","   0.0","   0.0","  84.0","   0.0","  11.0","  32.0","  12.0","  16.0","  12.0","   0.0","   8.0","   0.0","   5.0","   3.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   8.0","   1.0","   0.0","  33.0","   0.0","   0.0","   0.0","  13.0"
"3123.1",NA,NA," 320.0","   0.0","   0.0","  32.0","   0.0","  10.0"," 105.0","   0.0","   0.0","  15.0","   0.0","   0.0","   9.0","   5.0","  27.0","   1.0","   0.0","   5.0","   0.0","   0.0","   3.0","   1.0","   0.0","   1.0","   0.0","   0.0","  77.0","  31.0","   1.0","   0.0","   0.0","   2.0","   0.0","  31.0","   0.0","   1.0","   0.0","  86.0","   0.0","   0.0","   1.0","   0.0","  17.0","   0.0","   0.0","  11.0","   4.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  40.0","   2.0"," 571.0","   4.0","   2.0","   0.0","   0.0","   0.0","   1.0","  13.0","   1.0","  18.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   8.0","  18.0","   6.0","  29.0","   0.0","  65.0","   0.0","   1.0","   0.0","   1.0"," 153.0","   0.0","  15.0","  40.0","   4.0","  18.0","   7.0","   0.0","   6.0","   0.0","  13.0","  11.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0","  10.0","   1.0","   0.0","  40.0","   0.0","   1.0","   0.0","  14.0"
"3283.3",NA,NA," 340.0","   0.0","   0.0","  13.0","   0.0","   4.0","  66.0","   0.0","   1.0","  12.0","   2.0","   1.0","   1.0","   1.0","  30.0","   0.0","   0.0","   6.0","   1.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0"," 104.0","  32.0","   3.0","   0.0","   0.0","   0.0","   2.0","  49.0","   0.0","   2.0","   0.0","  64.0","   0.0","   0.0","   1.0","   0.0","   6.0","   0.0","   0.0","  10.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  46.0","   0.0"," 584.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","  26.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","  11.0","  11.5","   7.0","  38.0","   0.0","  89.0","   1.0","   2.0","   0.0","   6.0","  83.0","   1.0","  12.0","  46.0","   5.0","  21.0","   2.0","   3.0","   9.0","   0.0","  13.0","  14.0","   0.0","   1.0","   1.0","   0.0","   0.0","   1.0","  10.0","   1.0","   0.0","  25.0","   2.0","   0.0","   0.0","  12.0"
"3592.4",NA,NA," 405.0","   0.0","   0.0","  10.0","   0.0","   5.0","  64.0","   0.0","   0.0","   4.0","   2.0","   0.0","   1.0","   3.0","  22.0","   0.0","   0.0","   5.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","  70.0","  28.0","   0.0","   0.0","   0.0","   0.0","   1.0","  38.0","   0.0","   2.0","   0.0","  73.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  36.0","   0.0"," 537.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   4.0","   1.0","  24.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","  14.0","  13.5","   6.0","  17.0","   0.0","  63.0","   2.0","   1.0","   0.0","   3.0","  25.0","   0.0","  11.0","  31.0","   5.0","  23.0","   5.0","   0.0","   8.0","   0.0","  10.0","   6.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0","   5.0","   1.0","   0.0","  25.0","   0.0","   0.0","   0.0","   2.0"
"3901.6",NA,NA," 470.0","   0.0","   0.0","   2.0","   0.0","   4.0"," 169.0","   0.0","   1.0","   8.0","   1.0","   0.0","   5.0","   1.0","  29.0","   0.0","   0.0","   4.0","   1.0","   0.0","   5.0","   1.0","   0.0","   0.0","   0.0","   1.0","  87.0","  40.0","   2.0","   0.0","   0.0","   0.0","   0.0","  30.0","   0.0","   1.0","   0.0","  95.0","   0.0","   0.0","   0.0","   0.0","  18.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  38.0","   0.0"," 552.0","   3.0","   1.0","   0.0","   0.0","   1.0","   0.0","   6.0","   0.0","  33.0","   0.0","   0.0","   6.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   6.0","  13.5","   6.0","  18.0","   1.0","  47.0","   2.0","   1.0","   0.0","   2.0","  61.0","   0.0","   7.0","  27.0","   6.0","  26.0","   3.0","   1.0","   4.0","   0.0","   9.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","  39.0","   1.0","   0.0","   0.0","   3.0"
"4187.0",NA,NA," 530.0","   0.0","   1.0","  22.0","   1.0","   7.0","  54.0","   1.0","   0.0","  11.0","   2.0","   0.0","   5.0","   0.0","  34.0","   1.0","   0.0","   0.0","   2.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","  83.0","  18.0","   0.0","   0.0","   0.0","   0.0","   1.0","  38.0","   0.0","   1.0","   1.0","  43.0","   0.0","   0.0","   0.0","   0.0","  13.0","   0.0","   0.0","  20.0","   0.0","   2.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  20.0","  14.0"," 813.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   1.0","  23.0","   0.0","   0.0","   9.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","  14.0","  12.5","   8.0","  15.0","   0.0","  52.0","   0.0","   2.0","   0.0","   0.0","  37.0","   0.0","  24.0","  59.0","  15.0","  24.0","   5.0","   0.0","   5.0","   0.0","  17.0","   5.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0","   6.0","   0.0","   0.0","  24.0","   0.0","   0.0","   0.0","   6.0"
"4377.2",NA,NA," 570.0","   0.0","   1.0","  21.0","   0.0","   1.0","  60.0","   0.0","   1.0","  13.0","   0.0","   0.0","   7.0","   2.0","  21.0","   0.0","   0.0","  10.0","   1.0","   0.0","   3.0","   1.0","   0.0","   0.0","   0.0","   2.0","  92.0","  13.0","   1.0","   0.0","   0.0","   0.0","   3.0","  50.0","   1.0","   6.0","   0.0","  51.0","   0.0","   0.0","   0.0","   0.0","  16.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  34.0","   0.0","1239.0","   2.0","   3.0","   0.0","   0.0","   1.0","   0.0","   4.0","   1.0","  18.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","  14.0","  13.5","   5.0","  23.0","   0.0","  96.0","   4.0","   3.0","   0.0","   2.0","  29.0","   1.0","  20.0","  62.0","   7.0","  56.0","   9.0","   1.0","   5.0","   0.0","  19.0","  14.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","  17.0","   0.0","   1.0","  35.0","   2.0","   0.0","   0.0","   6.0"
