"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acacia t.","Alchornea","Allophylus t.","Alstonia boonei","Amaranthaceae undif.","Annonaceae","Arecaceae undif.","Asteroideae undif.","Blighia","Bridelia","Calycobolus","Capparaceae undif.","Capparis","Ceiba","Celastraceae undif.","Celtis","Cercestis","Chytranthus macrobotrys","Cleistanthus","Combretaceae","Commelina","Convolvulaceae","Cynometra","Cyperaceae","Detarioideae","Diospyros/Euclea t.","Drypetes","Elaeis","Euphorbiaceae undif.","Fern-Lycopodiaceae","Ficus","Fungi","Gilbertiodendron","Grewioideae","Hannoa","Holoptelea grandis","Homalium","Hymenocardia","Hyphaene t.","Illigera","Indeterminable","Ipomoea","Leptaulus","Lophira","Macaranga","Mallotus","Meliaceae undif.","Melochia","Menispermaceae undif.","Moraceae undif.","Morelia","Nesogordonia","Palisota","Panda oleosa","Pandanus","Passifloraceae undif.","Peperomia","Phyllanthus undif.","Piptostigma","Poaceae","Podocarpus","Polygala","Premna","Psydrax","Pycnanthus","Quassia silvestris","Rinorea","Rubiaceae undif.","Salicaceae","Sapindaceae undif.","Scytopetalum","Securinega  t.","Sterculia undif.","Strombosia","Syzygium t.","Tabernaemontana","Tessmannia","Tetrorchidium","Thomandersia hensii","Tieghemella","Trilepisium","Triplochiton scleroxylon","Typha","Uncaria","Unknown","Unknown (monolete, type A)","Vepris","Verbena t.","Vigna","Xyris","Zanthoxylum","cf. Dasylepis"
"205",NA,NA,"  4","  0"," 52","  0","  6","  0","  0","  2","  2","  0","  0","  1","  0","  0","  0","  0"," 58","  0","  0","  0"," 27","  0","  5","  0","212","  1","  1","  0","  0","  2"," 61","  0","  0","  4","  5","  0","  0","  0","  0","  0","  2"," 10","  0","  0","  4"," 42","  0","  0","  0","  0","  0","  0","  1","  0","  0","  6","  0","  0","  0","  0"," 17","  0","  0","  0","  0"," 13","  1","  0","  0","  0","  4","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  1","  4","  0","  0","985","102","  0","  0","  0","  0","  0"," 38"
" 307",NA,NA,"   6","   0","  84","   0","   8","   4","   0","   2","   1","   1","   0","   0","   0","   0","   0","   0","  58","   0","   0","   0","  29","   0","   0","   0"," 126","   0","   0","   0","   0","   1"," 192","   0","   0","   3","   5","   2","   0","   0","   0","   0","   0","   2","   0","   0","   4","  36","   0","   0","   0","   0","   2","   1","   1","   1","   0","   0","   0","   3","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   9","   0","   1","1620"," 140","   0","   0","   0","   0","   2","  37"
" 410",NA,NA,"   8","   0"," 134","   0","  13","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","  19","   0","   1","   0","  40","   0","   0","   0","   4","   0"," 119","   1","   0","   4","   8","   0","   0","   0","   0","   0","   1","   1","   2","   0","   4","  51","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   1","   0","1567"," 102","   0","   0","   0","   0","   1","  15"
" 512",NA,NA,"  10","   0","  93","   1","  10","   3","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","  41","   0","   1","   0","  13","   0","   0","   0","  92","   1","   1","   0","   1","   0"," 159","   0","   0","   3","   4","   2","   0","   0","   0","   0","   0","  10","   6","   0","   3","  35","   0","   2","   0","   0","   1","   0","   5","   7","   1","   0","   0","   0","   0","   0","  16","   0","   0","   0","   1","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   7","   0","   1","1297"," 147","   0","   0","   0","   0","   0","  36"
"614",NA,NA," 12","  0","119","  0"," 10","  1","  3","  0","  3","  0","  0","  0","  0","  0","  1","  0"," 10","  0","  0","  0"," 27","  0","  0","  0"," 89","  0","  0","  0"," 13","  0"," 80","  0","  0","  1","  9","  0","  0","  3","  0","  0","  1","  4","  0","  0","  6"," 53","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  1","  0","  4","  0","  0","885"," 65","  0","  0","  0","  0","  1","  9"
" 717",NA,NA,"  14","   0","  91","   2","   6","   1","   0","   5","   3","   0","   0","   1","   0","   0","   0","   0","  22","   0","   0","   1","   7","   0","   0","   0"," 105","   2","   0","   0","   7","   1"," 152","   0","   0","   7","  20","   0","   0","   0","   1","   0","   3","  11","   3","   0","   2","  40","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","  10","   0","   0","   0","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   6","   0","   0","1563"," 118","   0","   5","   0","   0","   2","  45"
" 940",NA,NA,"  16","   0"," 123","   1","  12","   0","   2","   0","   2","   0","   0","   0","   1","   0","   2","   1","  15","   0","   0","   0","  17","   0","   3","   0","  59","   2","   0","   0","  10","   1","  95","   0","   1","   1","   7","   0","   0","   0","   1","   0","   0","   3","   5","   0","   3","  56","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","  10","   0","   0","   0","   1","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   4","   0","   0","1535","  64","   0","   0","   0","   0","   6","  15"
"1163",NA,NA,"  18","   0","  68","   0","  10","   0","   5","   0","   3","   0","   0","   0","   1","   0","   0","   0","  18","   0","   0","   0","  11","   0","   1","   0"," 104","   0","   0","   0","   7","   0","  88","   0","   0","   3","  19","   0","   0","   0","   0","   0","   4","  22","   8","   0","   3","  31","   0","   0","   0","   0","   1","   0","   1","   1","   0","   1","   0","   0","   0","  10","  22","   0","   0","   0","   0","   2","   0","   0","   0","   0","   2","   0","   2","   0","   2","   0","   0","   0","   1","   1","   0","   0","   2","   0","   0"," 865"," 148","   0","   1","   0","   7","   0","  41"
"1385",NA,NA,"  20","   0"," 131","   0","  11","   0","   0","   1","   2","   0","   0","   0","   2","   1","   7","   1","  21","   0","   0","   0","  13","   0","   0","   0","  86","   1","   0","   0","   5","   3"," 114","   0","   0","   4","   6","   0","   3","   1","   0","   0","   1","  13","   7","   0","   2","  44","   1","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","   1"," 840","  53","   0","   0","   0","   0","   1","  12"
"1608",NA,NA,"  22","   0","  69","   0","   4","   0","  14","   3","   1","   0","   0","   0","   0","   0","   3","   0","  35","   0","   0","   0","  13","   0","   0","   1"," 119","   3","   1","   0","  10","   0"," 119","   0","   0","   6","  13","   0","   0","   0","   0","   0","   5","  12","   5","   0","   5","  24","   1","   2","   0","   0","   0","   0","   2","   0","   0","   1","   0","   1","   0","   9","  21","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   2","   1","   0","   0","   0","   7","   4","   1","   0","   5","   0","   1"," 962"," 125","   0","   0","   1","   0","   2","  19"
