"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Butomus","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Cercis","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fagopyrum","Fern-Equisetophyta","Fraxinus","Fumaria","Galium t.","Humulus","Hydrocharitaceae","Hypericum undif.","Juglans","Lamiaceae undif.","Lemnaceae","Ligustrum","Malva undif.","Matthiola","Myriophyllum undif.","Nymphaea","Olea t.","Papaver t.","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Potamogeton","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae t.","Scrophulariaceae undif.","Thalictrum","Tilia","Typha","Ulmus t.","Urtica t.","Valerianaceae undif.","Vitis"
"  5",NA,NA," 11","  1","  0","  0","  5","  0","  0","  0","  1"," 16","  0","  0"," 10","  0","  0","  0"," 18","  4","  3","  0"," 28","  0","  7","  0","  4","  5","  4","  1","  0"," 18","  0","  0","  8","  0","  0","  0","  0","  0","  5","  5","  1","  0","  0","  4","  0","  0","  0","  1","  0","  0","132","  0"," 12","  0","112","  8","  0","  6","  0","  0","  7"," 18","  6","  0","  0","  6","  0","  0","  7","  0","  0","  0","  4","  0","  0","  3","  0","  0","  0"
" 10",NA,NA," 21","  1","  0","  0","  7","  0","  0","  0","  1"," 12","  0","  0","  8","  0","  0","  0"," 16","  5","  4","  0"," 16","  0","  8","  0","  5","  6","  2","  9","  0"," 15","  0","  0","  4","  0","  0","  0","  0","  1","  3","  6","  0","  0","  0","  1","  0","  0","  0","  1","  0","  1","155","  0"," 14","  0"," 51","  6","  0","  5","  1","  2","  8"," 19","  6","  0","  0","  3","  0","  0","  5","  1","  0","  0","  0","  0","  2","  3","  0","  0","  0"
" 15",NA,NA," 31","  1","  0","  0","  7","  0","  0","  0","  4","  5","  0","  0","  2","  0","  0","  0"," 10","  6","  3","  0"," 18","  0","  5","  0","  6","  5"," 12"," 10","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  5","  7","  2","  4","  0","  2","  0","  0","  0","  1","  0","  6","122","  0"," 10","  0"," 41"," 10","  0","  7","  1","  0","  9"," 17","  8","  0","  0","  4","  0","  0","  7","  0","  0","  0","  0","  0","  4","  5","  0","  4","  0"
" 20",NA,NA," 42","  0","  0","  0","  8","  2","  0","  0","  4","  4","  0","  0","  0","  0","  0","  0"," 11","  5","  0","  0"," 23","  0","  5","  0","  5","  3"," 11"," 11","  1","  6","  0","  0","  0","  0","  0","  0","  0","  0","  3","  6","  4"," 10","  0","  6","  0","  0","  0","  0","  0"," 10","135","  0"," 11","  0"," 42","  8","  0","  6","  1","  0","  7"," 17"," 10","  0","  0","  3","  0","  0","  7","  0","  0","  0","  0","  0"," 12","  6","  0","  5","  0"
" 25",NA,NA," 52","  1","  0","  2","  8","  0","  0","  0","  5","  2","  0","  0","  0","  0","  0","  0","  6","  3","  1","  0"," 20","  0","  1","  0","  6","  1"," 22","  2","  0","  7","  0","  0","  0","  3","  0","  0","  0","  0","  3","  7","  3","  8","  0","  2","  0","  0","  0","  0","  0"," 12","119","  0"," 10","  0"," 60","  4","  0","  3","  0","  0","  5"," 18","  9","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 41","  8","  0","  2","  0"
" 30",NA,NA," 62","  1","  0","  3"," 10","  0","  0","  0","  4","  1","  0","  0","  0","  0","  0","  0","  6","  0","  3","  0"," 18","  0","  0","  0","  4","  0"," 25","  1","  0","  5","  0","  0","  0","  7","  0","  0","  0","  0","  3","  5","  2"," 14","  0","  0","  0","  0","  0","  0","  0"," 12","123","  0"," 12","  0"," 59","  4","  0","  3","  0","  0","  5"," 16","  8","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 81","  8","  0","  1","  0"
" 35",NA,NA," 72","  1","  0","  0","  2"," 36","  2","  0"," 42"," 16","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0"," 12","  0","  9","  9","  1","  1","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  8","  0","  0","  0","  0","  0","  0","  0","  0","  2","188","  0","  6","  0"," 68","  0","  0","  0","  0","  0","  3","  7","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0"," 10","  0"
" 40",NA,NA," 86","  3","  0","  0","  3"," 22","  3","  0"," 36"," 14","  0","  0","  0","  0","  0","  0","  4","  0","  1","  0"," 20","  0","  8","  9","  1","  1","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  9","  0","  0","  0","  0","  0","  0","  0","  0","  3","192","  0","  7","  0"," 73","  0","  0","  0","  0","  0","  3","  8","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  6","  0"
" 45",NA,NA," 99","  1","  0","  0","  2"," 11","  0","  0"," 24"," 20","  0","  0","  0","  0","  0","  0","  4","  0","  1","  0"," 15","  0","  9"," 10","  3","  4","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  3","170","  0"," 10","  0"," 49","  0","  0","  0","  0","  0","  4"," 12","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  7","  0"
" 50",NA,NA,"103","  1","  0","  0","  2"," 11","  0","  0"," 27"," 16","  0","  0","  0","  0","  0","  0","  3","  0","  1","  0"," 18","  0","  8","  9","  3","  1","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2"," 21","  0","  0","  0","  0","  0","  0","  0","  0","  4","175","  0","  9","  0"," 51","  0","  0","  0","  0","  0","  3"," 10","  3","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  1","  0","  6","  0"
