"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Centranthus t.","Ceratonia","Chamaerops","Cichorieae","Cistaceae","Citrus","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Ficus","Filipendula t.","Fraxinus","Fungi","Genisteae","Gentiana t.","Geranium","Hedera","Heliotropium","HippophaÃ« rhamnoides","Humulus","Hydrocotyle","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Ligustrum","Linum t.","Lotus t.","Lycium","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Malva undif.","Matthiola","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nerium","Nymphaea","Olea t.","Papaver t.","Paronychieae","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Potamogeton","Potentilla t.","Protist","Prunus t.","Psoralea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Ribes","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Secale","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valeriana","Viburnum","Viola","Vitis","Zea","charcoal"
" -53.000",NA,NA,"  0.00","1","0","0","0","0","0","17","2","7","0","7","0","0","7","0","7","0","0","0","37","0","0","1","0","0","1","2","0","0","0","1","0","25","1","0","0","0","0","33","2","12","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","862","0","0","0","0","0","3","0","0","0","0","0","0","65","0","0","0","2","0","0","0","0","12","0","0","0","0","24","3","0","0","0","0","0","0","2","0","0","4","2","1","0","0","0","0","0","0","0","8","2","2","1","0","0","0","1","0","10","1","9","0","0","0","0","0","0","0","0","8","0","0","0","0","3","0","0"
" -42.043",NA,NA,"  8.00","1","0","0","0","1","1","11","0","1","0","4","0","0","2","0","4","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","1","15","3","0","0","0","0","13","0","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","827","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","7","2","2","0","0","6","2","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1","0"
" -31.087",NA,NA," 16.00","1","0","0","0","0","0","21","1","8","0","0","0","0","21","0","19","0","1","0","55","0","0","1","0","0","0","1","0","0","0","0","1","34","3","0","0","1","0","18","0","9","0","0","4","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1585","0","0","2","0","0","3","0","1","0","0","0","0","48","0","1","0","0","1","0","0","0","9","2","0","0","0","20","6","0","0","0","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","2","0","0"
" -20.130",NA,NA," 24.00","1","0","0","0","0","1","45","3","0","0","0","0","0","1","0","8","0","0","0","111","0","0","0","0","0","1","0","0","0","0","0","1","44","3","0","0","0","0","11","2","9","0","0","0","0","3","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1249","0","0","0","0","0","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","14","0","5","0","0","31","4","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","14","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","4","0","0","0","0","1","0","0"
"  -9.174",NA,NA," 32.00","1","0","0","0","0","0","23","1","2","0","1","0","0","0","0","20","0","0","0","86","0","0","0","0","0","1","1","0","0","0","0","0","24","12","0","0","0","0","4","0","26","0","0","3","0","6","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","910","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","6","0","10","0","0","21","5","0","0","0","0","0","0","0","0","0","5","13","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"   1.783",NA,NA," 40.00","1","0","0","0","1","0","31","0","2","0","10","0","0","1","1","10","0","1","1","20","0","0","0","0","0","1","2","0","0","0","0","2","38","2","0","1","0","0","10","3","6","0","1","4","1","6","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","485","0","0","2","0","0","1","0","0","0","0","0","0","89","0","0","1","0","0","0","0","0","14","4","4","0","0","25","2","0","1","0","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","8","0","1","0","0","0","0","0","0","2","1","2","0","0","0","0","0","0","0","0","10","0","0","0","0","3","0","0"
"  12.739",NA,NA," 48.00","1","0","0","0","0","1","41","4","2","0","6","0","0","21","0","18","0","0","1","91","0","0","0","0","0","0","3","3","0","0","0","4","68","4","0","0","0","0","20","4","3","0","0","4","1","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2386","0","0","0","0","0","7","0","0","0","0","0","0","23","0","1","0","1","4","0","0","0","8","0","0","0","0","46","11","0","0","0","0","0","0","0","0","2","3","4","0","0","0","0","0","0","0","0","16","1","5","0","0","0","0","0","0","16","0","39","0","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0"
"  23.696",NA,NA," 56.00","1","0","0","0","0","0","23","1","0","0","0","0","0","3","0","17","0","1","0","83","0","0","0","0","0","1","1","0","0","0","0","0","27","3","0","0","0","0","11","0","5","0","0","4","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1337","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","8","0","3","0","0","25","11","0","0","0","0","0","0","0","0","2","6","1","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","2","1","7","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"  34.652",NA,NA," 64.00","1","0","0","0","0","0","40","2","0","0","4","0","0","2","0","25","0","0","0","109","0","0","0","0","0","0","1","0","0","0","0","1","86","5","0","0","0","0","6","1","6","0","0","4","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2008","0","0","0","0","0","4","0","0","0","0","0","0","70","0","0","0","0","4","0","0","0","12","4","0","0","0","40","13","0","0","0","0","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0","24","0","1","0","0","0","0","0","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  45.609",NA,NA," 72.00","1","0","0","0","0","0","29","2","1","0","5","0","0","3","0","32","0","0","0","103","0","0","0","0","0","1","1","0","0","0","0","0","62","10","0","0","0","0","2","1","3","0","0","3","1","3","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1622","0","0","0","0","0","4","0","0","0","0","0","0","14","2","1","0","0","2","0","0","0","13","0","1","0","0","69","14","0","0","0","0","0","0","0","0","3","0","4","1","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0"
