"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Artemisia","Asteroideae undif.","Atraphaxis","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Casuarina","Cedrus","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Echium t.","Elaeagnus","Ephedra","Erica t.","Erodium","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Frankenia","Fraxinus","Galium t.","Gentianaceae undif.","Geranium","Haplophyllum","Heliotropium","HippophaÃ«","Hypericum undif.","Juglans","Lamiaceae undif.","Leontice","Lotus t.","Malva","Matthiola","Mercurialis","Moltkia","Morus","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phaseolus","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Prosopis t.","Pteropyrum","Punica granatum","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Roemeria","Rosaceae undif.","Rumex t.","Ruta","Salix","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Sparganium","Spergularia t.","Tamarix","Thymelaeaceae undif.","Tribulus","Trifolium t.","Ulmus t.","Unknown","Urtica t.","Valerianella","Vitis","Zea","Zygophyllum t."
"166",NA,NA," 10","  0","  0","  2","357","  3"," 23","  0","  9","234"," 15","  0","  0","  1","  1"," 20","  1","  0","  0"," 12","  0","  0","  0","  0","  6","  6","  0","  0","  0","  0","  0","  0","  4","  7","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  4","  0","  0","  0","  2","  2","  0","  0","  1","  4","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0"," 53","  0"," 80","  0","  1"," 58","  6","  0","  1","  1","  0","  0","  7","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  2","  0","  1","  0","  0","  1","  0"," 10","  0","  0","  0","  0","  0"
" 332",NA,NA,"  20","   0","   0","   0","1457","   0","  47","   0","  22"," 247","  16","   0","   1","   1","   0","   3","   0","   0","   1","   5","   0","   0","   0","   0","  11","   4","   2","   0","   0","   0","   0","   0","   2","  11","   0","   0","   2","   5","   0","   0","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   3","   1","   1","   0","   0","   0","   9","   0","   0","  47","   0","  49","   0","   6"," 140","   2","   0","   0","   0","   1","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0"
" 498",NA,NA,"  30","   0","   0","   0","1243","   0"," 125","   0","  17"," 367","  56","   0","   0","   0","   0","   9","   0","   0","   0","   3","   1","  10","   0","   0","  26","   6","   0","   0","   0","   0","   0","   0","   0","  22","   3","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   5","   0","   0","   0","   9","   0","   1","   0","   1","   0","   1","  49","   3","  31","   1","   4"," 231","  13","   0","   0","   0","   0","   0","   9","   1","   0","   0","   0","   1","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0"
"664",NA,NA," 40","  0","  0","  1","501","  0"," 97","  0"," 12","286"," 35","  0","  0","  0","  0"," 10","  0","  0","  0","  8","  0","  4","  0","  0"," 11"," 19","  1","  0","  0","  0","  0","  1","  1"," 17","  0","  0","  0","  3","  1","  1","  4","  0","  0","  0","  0","  0","  1","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0"," 10","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 73","  4"," 58","  2"," 10","202","  1","  0","  0","  0","  0","  0"," 20","  4","  0","  2","  0","  1","  0","  0","  2","  0","  2","  1","  0","  0","  0","  0","  0","  0"," 23","  0","  0","  0","  0","  0"
"830",NA,NA," 50","  0","  0","  0","493","  0"," 53","  0"," 30","369"," 26","  0","  0","  0","  1","  7","  0","  0","  1","  7","  0","  3","  0","  0","296","  6","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  2","  5","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  1","  0","  1","  0","  0","  0","  2","  0","  0"," 28","  0","152","  0","  2","120","  4","  0","  0","  0","  0","  0"," 10","  2","  0","  0","  5","  1","  0","  0","  2","  0","  5","  3","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0"
"997",NA,NA," 60","  0","  0","  1","422","  0"," 59","  1"," 11","432"," 14","  0","  0","  2","  2"," 15","  0","  0","  0","  3","  0","  0","  0","  0","  5","  6"," 10","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  2","  0","  7","  1","  1"," 64","  2"," 59","  1","  3","103","  0","  0","  0","  0","  0","  1"," 10","  0","  0","  0","  1","  4","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  0"
"1163",NA,NA,"  70","   1","   0","   7"," 553","   0"," 176","   0","  22"," 897","  85","   0","   0","   2","   2","   8","   0","   0","   1","  10","   2","   0","   0","   0","  20","  23","   1","   0","   0","   1","   0","   0","   4","  29","   0","   0","   1","   8","   0","   1","   2","   0","   0","   0","   0","   0","   3","   1","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   1","   0","   1","   0","   3","   0","   0","   0","   0"," 176","   1"," 143","   3","  14"," 424","   1","   0","   0","   0","   0","   0","  11","   1","   0","   0","   0","   9","   0","   1","   1","   0","   3","   1","   0","   0","   0","   0","   0","   0","  29","   0","   0","   0","   0","   0"
"1329",NA,NA,"  80","   0","   0","   0"," 438","   0","  73","   0","  42"," 619","  35","   0","   0","   1","   0","   8","   0","   1","   0","   2","   0","  14","   0","   0","  12","   5","   1","   0","   0","   0","   0","   0","   2","  29","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   5","   0","   5","   0","   2","   0","   0","   0","   1","   9","   0","   0","   1","   3","   0","   0","   0","   2","   0","   0","  47","   5","  44","   0","  16"," 116","   2","   0","   1","   0","   0","   0","  20","   1","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","   0","   0","   0","   1","   0"
"1495",NA,NA,"  90","   0","   0","   0","2067","   3"," 187","   0","  71"," 944","  71","   1","   0","   2","   7","  47","   0","   0","   1","  11","   0","  10","   0","   0","  39","  24","  26","   0","   0","   1","   0","   0","   3","  26","   2","   0","   0","  39","   0","   7","   1","   0","   0","   0","   0","   0","   0","   2","   0","   1","   6","   0","   0","   5","   0","   3","   0","   0","   1","  25","   0","   1","   0","   0","   0","   3","   0","   2","   0","   0"," 138","   4","  72","   1","   5"," 249","   6","   0","   4","   0","   0","   0","  19","   7","   0","   0","   1","   0","  11","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   0","  20","   0","   1","   0","   0","   0"
"1661",NA,NA," 100","   0","   0","   0"," 767","   0","  74","   0","  22"," 473","  21","   0","   0","   0","   0","  24","   0","   0","   0","   1","   0","   1","   0","   0","   9","   7","   0","   0","   0","   1","   1","   0","   0","   8","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   1","   2","   0","   3","   0","   1","   2","   0","   2","   0","   4","   0","   0","   0","   0","   1","   1","   0","   3","   0","   1","  82","   0","  62","   0","   1"," 128","   5","   0","   0","   0","   0","   0","  13","   1","   0","   0","   0","   0","   0","   2","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","  14","   0","   0","   1","   0","   0"
