"Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Adansonia digitata","Aerva type","Alchornea","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Anacardiaceae undiff.","Anthoceros t.","Anthostema","Apiaceae undif.","Artemisia","Asteroideae undif.","Asystasia","Brassicaceae","Bridelia","Caesalpinioideae","Caryophyllaceae undif.","Cassia","Cayratia","Ceiba","Celastraceae undif.","Celtis","Centaurea","Chrysobalanus t.","Cichorieae","Coccinia","Combretaceae","Commelina","Commiphora","Cyperaceae","Detarium","Dichrostachys","Diospyros/Euclea t.","Elaeis","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Grewioideae","Indeterminable","Ipomoea","Kohautia","Lamiaceae undif.","Lannea","Lophira","Macaranga","Mallotus","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Myriophyllum alterniflorum t.","Nymphaea","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Poaceae","Polygala","Portulacaceae t.","Resedaceae undiff.","Rhizophora","Rubiaceae undif.","Rutaceae undif.","Salvadora","Sapotaceae undif.","Schrebera","Scrophulariaceae undif.","Searsia","Securinega  t.","Spergularia t.","Spermacoce","Spores","Syzygium t.","Tamarix","Tapinanthus","Tetracera alnifolia","Tilia","Treculia","Triletes","Typha","Uapaca","Verbena t.","Vitaceae undif.","Ximenia","Zanthoxylum","thickness [cm]"
"  2","  0","  0","  0","  0"," 71","  0","  5","  7","  0","  0","  0"," 11","  1","  0","  3","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  1","  0","  2","  1","  0","206","  3","  0","  0"," 19","  1","  5","  0","  1"," 43","  0","  4","  0"," 37","  0","  0","  0","  0","  0"," 34","  0","  0","  8","  1","413","  0","  0","  1","  0"," 17","  4"," 59","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 63","219","  2","  0","  2","  0","  0","  4"," 50"," 10","  0","  0","  0","  5","  2"
" 50","  0","  0","  0","  0","  0","  0","  8","  3","  0","  0","  0","  2","  0","  0"," 19","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","241","  0","  0","  0","  6","  0","  1","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 65","  0","  0","  0","  0","  0","  0"," 82","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8"," 32","  0","  0","  0","  0","  0","  0","  0","194","  0","  0","  0","  0","  0","  2"
"100","  1","  0","  0","  0","  8","  0","  3"," 10","  0","  0","  0","  0","  0","  0"," 24","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  3","  0","  1","  0","  4","  0","  0","303","  0","  0","  0"," 19","  0","  1","  0","  0","  2","  0","  0","  0"," 19","  0","  0","  1","  0","  0","  0","  0","  0"," 10","  1","359","  0","  1","  1","  0","  1","  0"," 85","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","101","  5","  0","  0","  0","  0","  0","  1","155","  0","  0","  0","  0","  3","  2"
"150","  0","  0","  0","  1","  7","  0","  0","  1","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","449","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  3","  0","  3","  0","  0","  2","  4","398","  0","  0","  1","  0","  0","  6","125","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  3","  0","  1","  0","  2","  2"
"200","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","134","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0"," 39","  0","  0","  0","  4","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2"
"250","  0","  0","  0","  1","  6","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 89","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0"," 58","  0","  0","  0","  0","  0","  0"," 39","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  1","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  2"
"300","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 38","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 85","  0","  0","  9","  0","  0","  0"," 34","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  2"
"350","  1","  0","  0","  2"," 24","  1","  0","  1","  1","  0","  0","  1","  0","  0","  4","  0","  1","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 72","  2","  0","  2"," 13","  1","  0","  0","  0","  5","  0","  1","  0"," 17","  0","  1","  0","  9","  2"," 13","  0","  0"," 10","  2"," 78","  0","  0","  2","  0","  0","  8","110","  0","  0","  0","  2","  1","  0","  0","  0","  1","  0","  0","  0","  0","  1","  3"," 85","  0","  1","  8","  0","  1","  0","  4"," 10","  0","  0","  0","  8","  2"
"400","  0","  0","  0","  2"," 26","  1","  0","  3","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  3","  0","  0"," 24","  5","  1","  0"," 57","  0","  1","  0","  0"," 12","  0","  1","  0"," 21","  0","  0","  0","  3","  0","  7","  0","  0","  5","  3"," 88","  0","  0"," 28","  0","  1","  5","139","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3"," 44","  0","  0","  8","  1","  7","  1","  4"," 16","  0","  0","  0","  3","  2"
"450","  0","  0","  0","  0"," 27","  1","  0","  2","  0","  0","  2","  3","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0"," 81","  3","  0","  0"," 11","  0","  0","  0","  0"," 17","  0","  5","  0"," 11","  0","  1","  0","  0","  2"," 11","  0","  0","  3","  4","240","  0","  0","  6","  0","  0","  2","114","  0","  0","  1","  4","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0"," 17"," 79","  1","  0"," 10","  0","  4","  0","  3"," 13","  0","  0","  0","  5","  2"
