"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Algae","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Campanulaceae","Capparaceae undif.","Caryophyllaceae undif.","Celtis","Centaurea","Cichorieae","Combretaceae","Convolvulaceae","Cyperaceae","Ephedra","Erica t.","Fabaceae Undif.","Fern","Fern-Equisetophyta","Fungi","Geranium","Grewioideae","Hyphaene t.","Indeterminable","Mitracarpus","Myriophyllum undif.","Piliostigma","Pinus undif.","Plantago","Poaceae","Quercus undif.","Ranunculaceae undif.","Rubiaceae undif.","Rumex t.","Sesbania","Spike tablets","Tamarix","Tilia","Typha","Viola","charcoal"
"5811.0","  15.5","   0.0"," 375.0","   0.0","   0.0","   0.0","   5.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0"," 465.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.5","   0.0","  90.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 599.0","   0.0","   0.0","   6.0","   0.0","1997.0"
" 5908.0","   17.5","    0.0","  605.0","    0.0","    1.0","    0.0","  101.0","    9.0","    0.0","    1.0","    2.0","    1.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","   10.0","    2.0","    0.0","    0.0","   45.0","    0.0","  303.0","    1.0","    1.0","    0.0","   15.0","    0.0","   19.0","    0.0","    6.5","    0.0","  717.0","    2.0","    0.0","    1.0","    0.0","    0.0"," 1969.0","    1.0","    0.0","   22.0","    0.0","13345.0"
"6238.0","  24.5","   0.0"," 330.0","   0.0","   0.0","   0.0","  11.0","   5.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  11.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","  61.0","   0.0","   0.5","   0.0"," 131.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 578.0","   0.0","   0.0","   2.0","   0.0","4046.0"
"6382.0","  27.5","   0.0","  38.0","   3.0","   0.0","   0.0"," 142.0","   7.0","   2.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","  50.0","   0.0","   0.0","   1.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","  55.0","   0.0","   1.0","   0.0"," 163.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 145.0","   3.0","   0.0","   4.0","   0.0","1740.0"
"6521.0","  30.5","   0.0"," 179.0","   0.0","   0.0","   0.0","   1.0","   3.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   2.0","   0.0","  16.0","   0.0","  11.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  12.0","   0.0","   1.0","   1.0"," 148.0","   0.0","   0.0","   0.0","   0.0","   0.0","1718.0","   0.0","   1.0","   7.0","   0.0","3436.0"
"6760.0","  36.5","   0.0","  49.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","  12.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","  44.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 247.0","   0.0","   0.0","   3.0","   0.0","1564.0"
"6820.0","  38.5","   0.0"," 308.0","   0.0","   0.0","   0.0","  32.0","   1.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","  14.0","   1.0","   0.0","   1.0","   0.0","   0.0","   5.0","   0.0","  33.0","   0.0","   0.5","   0.0"," 278.0","   0.0","   0.0","   0.0","   0.0","   3.0"," 706.0","   0.0","   2.0","   6.0","   0.0","9178.0"
" 7198.0","   51.0","    0.0","  374.0","    0.0","    0.0","    0.0","   86.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   21.0","    0.0","    0.0","    0.0","    0.0","    0.0","    8.0","    0.0","  106.0","    0.0","    0.5","    0.0","   34.0","    0.0","    0.0","    0.0","    0.0","    0.0","  316.0","    0.0","    0.0","    4.0","    0.0","13588.0"
" 8104.0","   81.5","    0.0","   82.0","    0.0","    0.0","    0.0","  232.0","    6.0","    2.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    2.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","   25.0","    0.0","    4.0","    0.0","    4.0","    0.0","   10.0","    0.0","  246.0","    0.0","    2.0","    0.0","  308.0","    0.0","    0.0","    0.0","    0.0","    0.0"," 1527.0","    0.0","    0.0","    2.0","    0.0","16033.0"
"8213","  85","   0"," 148","   0","   0","   0"," 129","   1","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   1","   0","  12","   0","   0","   0","   0","   0","   3","   0"," 143","   0","   0","   0","  23","   0","   0","   0","   0","   0"," 823","   0","   0","   2","   0","3704"
