"sample_name","depth","Acacia t.","Acanthaceae undif.","Amaranthaceae undif.","Apiaceae undif.","Arecaceae undif.","Artemisia","Asclepiadaceae undif.","Asteroideae undif.","Brassicaceae","Calligonum","Capparaceae undif.","Caryophyllaceae undif.","Cassia","Combretaceae","Cyperaceae","Ephedra","Faboideae Undif.","Fern","Indeterminable","Lamiaceae undif.","Maerua","Monoletes","Monsonia","Nyctaginaceae","Petaloid monocot","Pinus undif.","Plantago","Poaceae","Salvadora","Tamarix","Tribulus","Typha"
"1477.5",NA,"   0.0","   0.0","  23.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0"," 275.0","   0.0","   0.0"
"1417.5",NA,"   0.0","   0.0","  26.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","  13.0","   0.0","   1.0","   0.0","   5.0","   1.0","  11.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","  60.0","   0.0"," 571.0","   0.0","   0.0"
"1317.5",NA,"   3.0","   0.0","   8.0","   0.0","   1.0","   1.0","   1.0","   2.0","   0.0","   1.0","  10.0","   0.0","   0.0","   0.0","   3.0","   0.0","   5.0","   0.0","   5.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  29.0","   1.0"," 258.0","   0.0","   1.0"
"1277.5",NA,"   0.0","   1.0","  16.0","   1.0","   0.0","   4.0","   0.0","   2.0","   2.0","   0.0","  11.0","   1.0","   1.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   2.0","   0.0","   0.0","   3.0","   1.0","   0.0","   1.0","  51.0","   0.0"," 627.0","   1.0","   3.0"
"1247.5",NA,"   0.0","   0.0","  14.0","   0.0","   0.0","   2.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   7.0","   0.0","  50.0","   0.0","   0.0"
"1197.5",NA,"   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 255.0","   0.0","   0.0"
"1147.5",NA,"   0.0","   0.0"," 453.0","   0.0","   0.0","   2.0","   0.0","   2.0","   1.0","   0.0","  10.0","   1.0","   7.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   3.0","   0.0"," 290.0","   0.0","   0.0"
"1067.5",NA,"   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0"
"957.5",NA,"  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0"," 53.0","  0.0","  0.0"
"742.5",NA,"  0.0","  0.0"," 45.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  1.0"," 18.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0"," 85.0","  0.0","  0.0"
