"Depth (cm)","Acacia t.","Algae","Amaranthaceae undif.","Artemisia","Asteroideae undif.","Balanites","Borreria t.","Boscia","Caryophyllaceae undif.","Celtis","Clematis-type","Cuticles","Cyperaceae","Ephedra","Euphorbia t.","Fraxinus","Galium t.","Indeterminable","Lycopod added","Lycopod counted","Mass [g] Weight","Mitracarpus","Olea t.","Pinus undif.","Poaceae","Psydrax","Rhamnaceae undif.","Rhizophora","Rubiaceae undif.","Sedimentation rate [cm/ka]","Spores","Typha","Uapaca","Vernonieae","Volume [cm**3]","Ziziphus/Paliurus"
"  133.5000","    1.0000","    0.0000","   70.0000","    3.0000","    2.0000","    0.0000","    1.0000","    8.0000","   15.0000","    0.0000","    0.0000","  269.0000","  217.0000","    4.0000","    5.0000","    0.0000","    0.0000","    0.0000","18583.0000","  850.0000","    1.1016","    1.0000","    1.0000","    1.0000","   14.0000","    0.0000","    0.0000","   28.0000","    0.0000","   35.8744","    6.0000","    7.0000","    0.0000","    0.0000","    2.0000","    2.0000"
"  138.5000","    0.0000","    1.0000","   38.0000","    1.0000","    1.0000","    0.0000","    0.0000","    6.0000","   23.0000","    0.0000","    0.0000","  280.0000","  194.0000","    4.0000","    7.0000","    0.0000","    0.0000","    0.0000","18583.0000","  783.0000","    1.0969","    3.0000","    0.0000","    0.0000","   16.0000","    0.0000","    0.0000","   35.0000","    0.0000","   35.8744","    9.0000","    4.0000","    1.0000","    0.0000","    2.0000","    0.0000"
"  143.5000","    2.0000","    4.0000","   79.0000","    0.0000","    5.0000","    0.0000","    0.0000","    3.0000","   27.0000","    0.0000","    0.0000","  372.0000","  171.0000","    5.0000","    9.0000","    0.0000","    0.0000","    0.0000","18583.0000"," 1069.0000","    1.3877","    0.0000","    0.0000","    2.0000","   10.0000","    0.0000","    0.0000","   31.0000","    0.0000","   35.8744","   11.0000","    6.0000","    0.0000","    0.0000","    2.0000","    0.0000"
"  148.5000","    0.0000","    5.0000","   44.0000","    0.0000","    4.0000","    0.0000","    0.0000","    4.0000","   10.0000","    0.0000","    0.0000","  604.0000","  186.0000","    0.0000","    5.0000","    0.0000","    0.0000","    0.0000","18583.0000"," 2246.0000","    1.2228","    1.0000","    1.0000","    0.0000","   25.0000","    0.0000","    0.0000","   22.0000","    0.0000","   35.8744","   14.0000","    9.0000","    1.0000","    0.0000","    2.0000","    0.0000"
"  153.5000","    0.0000","    3.0000","   59.0000","    0.0000","    2.0000","    0.0000","    0.0000","    2.0000","   14.0000","    0.0000","    0.0000","  340.0000","  170.0000","    5.0000","    5.0000","    0.0000","    0.0000","    0.0000","18583.0000"," 1395.0000","    1.4987","    0.0000","    0.0000","    0.0000","   22.0000","    1.0000","    0.0000","   19.0000","    2.0000","   35.8744","   12.0000","    7.0000","    0.0000","    0.0000","    2.0000","    0.0000"
"  158.5000","    0.0000","    9.0000","   57.0000","    0.0000","    4.0000","    0.0000","    2.0000","    5.0000","    5.0000","    0.0000","    1.0000","  337.0000","  176.0000","    3.0000","    4.0000","    0.0000","    0.0000","    0.0000","18583.0000"," 2351.0000","    1.5548","    0.0000","    0.0000","    2.0000","   47.0000","    0.0000","    0.0000","   30.0000","    0.0000","   35.8744","   17.0000","    7.0000","    1.0000","    0.0000","    2.0000","    2.0000"
"  163.5000","    0.0000","    4.0000","   85.0000","    0.0000","   11.0000","    0.0000","    2.0000","    2.0000","   12.0000","    0.0000","    0.0000","  124.0000","  121.0000","    3.0000","    2.0000","    0.0000","    0.0000","    0.0000","18583.0000"," 2057.0000","    1.4462","    1.0000","    3.0000","    1.0000","   38.0000","    0.0000","    0.0000","   10.0000","    0.0000","   35.8744","    7.0000","    5.0000","    0.0000","    0.0000","    2.0000","    2.0000"
"  168.5000","    1.0000","    3.0000","   28.0000","    0.0000","    2.0000","    0.0000","    0.0000","    6.0000","    5.0000","    0.0000","    0.0000","  344.0000","   68.0000","    4.0000","    4.0000","    0.0000","    0.0000","    0.0000","18583.0000"," 1305.0000","    1.4245","    2.0000","    0.0000","    1.0000","   18.0000","    0.0000","    0.0000","    6.0000","    0.0000","    5.4250","   11.0000","    8.0000","    0.0000","    0.0000","    2.0000","    0.0000"
"  173.5000","    1.0000","    1.0000","   50.0000","    2.0000","    6.0000","    0.0000","    1.0000","    5.0000","    0.0000","    0.0000","    0.0000","  157.0000","   73.0000","    0.0000","    1.0000","    0.0000","    0.0000","    0.0000","18583.0000"," 2700.0000","    1.3763","    5.0000","    5.0000","    1.0000","   10.0000","    0.0000","    0.0000","   10.0000","    0.0000","   53.0000","    0.0000","    9.0000","    0.0000","    0.0000","    2.0000","    1.0000"
"  178.5000","    0.0000","    3.0000","   54.0000","    0.0000","    6.0000","    0.0000","    0.0000","    2.0000","    8.0000","    0.0000","    0.0000","  566.0000","   84.0000","    0.0000","    1.0000","    0.0000","    0.0000","    0.0000","18583.0000","  932.0000","    1.0877","    1.0000","    0.0000","    0.0000","   19.0000","    0.0000","    0.0000","   17.0000","    1.0000","   53.0000","    6.0000","    3.0000","    0.0000","    0.0000","    2.0000","    0.0000"
"  183.5000","    0.0000","    2.0000","   20.0000","    0.0000","    2.0000","    0.0000","    0.0000","    3.0000","    0.0000","    0.0000","    0.0000","  117.0000","   43.0000","    2.0000","    2.0000","    0.0000","    0.0000","    0.0000","18583.0000"," 2546.0000","    1.1504","    3.0000","    0.0000","    0.0000","   13.0000","    0.0000","    0.0000","   11.0000","    0.0000","   53.0000","    2.0000","    2.0000","    0.0000","    0.0000","    2.0000","    0.0000"
"  188.5000","    0.0000","    2.0000","   43.0000","    0.0000","    5.0000","    0.0000","    0.0000","    3.0000","   18.0000","    1.0000","    0.0000","  255.0000","   94.0000","    2.0000","   10.0000","    0.0000","    0.0000","    0.0000","18583.0000"," 1654.0000","    1.2027","    2.0000","    1.0000","    2.0000","   42.0000","    1.0000","    0.0000","   13.0000","    0.0000","   53.0000","    7.0000","    5.0000","    1.0000","    0.0000","    2.0000","    1.0000"
