"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acalypha","Acanthaceae undif.","Adenia","Aerva type","Albizia","Alchornea","Amaranthaceae undif.","Annonaceae","Antidesma t.","Apiaceae undif.","Apocynaceae undif.","Artemisia","Asteraceae","Bombax","Borreria t.","Brassicaceae","Bridelia","Caesalpinioideae","Capparaceae undif.","Capparis","Caryophyllaceae undif.","Cassia","Celtis","Chrozophora","Chrysobalanus t.","Cissampelos","Cissus t.","Cleome","Combretaceae","Commelina","Commiphora","Cyperaceae","Detarium","Diospyros/Euclea t.","Elaeis","Ephedra","Euphorbiaceae undif.","Faboideae Undif.","Ficus","Heliotropium","Hymenocardia","Hyphaene t.","Indeterminable","Indigofera","Ipomoea","Irvingia","Kohautia","Lamiaceae undif.","Lannea","Macaranga","Malva undif.","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Morelia","Myriophyllum alterniflorum t.","Nymphaea","Oldenlandia","Olea t.","Onagraceae","Periploca","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Piliostigma","Poaceae","Polygala","Polygonum t.","Potamogeton","Rubiaceae undif.","Salvadora","Sapindaceae undif.","Scrophulariaceae undif.","Securinega  t.","Sesbania","Sideroxylon t.","Solanum","Spergularia t.","Syzygium t.","Tephrosia","Triletes","Typha","Uapaca","Vernonieae","Ximenia","Ziziphus/Paliurus"
"3567.385"," 109.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 395.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3687.11"," 114.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   7.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   8.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 953.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00"
"3830.78"," 120.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  11.00","   1.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   1.00","   0.00","   1.00","   0.00","   0.00","   1.00","   0.00","   0.00","  50.00","   0.00","   0.00","   0.00","   0.00","   1.00","   0.00","   0.00","   0.00","   6.00","   3.00","   9.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","  15.00","   0.00","   0.00","   0.00","   2.00","   1.00","   1.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00"," 398.00","   0.00","   0.00","   0.00","   0.00","   2.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   0.00","   3.00","   5.00","   0.00","   0.00","   0.00","   0.00"
"3950.505"," 125.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","  68.000","   0.000","   1.000","   0.000","   1.000","   1.000","   2.000","   2.000","   0.000","   0.000","   0.000","   9.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   1.000"," 429.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000"
"4070.229"," 130.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","  74.000","   2.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   4.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 464.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000"
"4189.954"," 135.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","  10.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000"," 110.000","   0.000","   0.000","   0.000","   1.000","   1.000","   1.000","   0.000","   0.000","   1.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 432.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000"
"4309.679"," 140.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","  59.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 324.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000"
"4381.514"," 143.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 467.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000"
"4453.349"," 146.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 285.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"4597.019"," 152.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  19.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000"," 101.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000","   1.000","   0.000","   0.000","   0.000","  10.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   1.000","   0.000"," 474.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   4.000","   0.000","   0.000","   0.000","   1.000"
