"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Centaurea","Cercis","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagus","Fallopia","Fern","Filipendula t.","Fraxinus","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Humulus","Ilex","Indeterminable","Jasminum","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lonicera","Loranthus","Lycopodium spike","Lythrum","Malva undif.","Mercurialis","Myriophyllum spicatum/verticillatum t.","Myriophyllum undif.","Myrtus","Olea t.","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sarcopoterium","Saxifraga t.","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Staphylea","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Triletes","Typha","Ulmus t.","Urtica t.","Valeriana t.","Viburnum","Viola","Vitis"
" -28",NA,NA,"  3","1.8","17","0","0","0","3","28","3","0","0","0","2","0","92","0","9","1","0","1","1","1","1","1","26","1","0","0","3","0","0","25","0","0","0","17","0","0","0","0","1","0","0","0","0","1","0","0","0","0","9","0","2","0","0","0","0","0","0","1","0","3","0","0","0","4","0","0","0","1","0","75","0","32.5","10","1","2","1","194","1","1","0","0","0","152","81","0","31","2","0","1","0","0","15","0","1","0","1","0","0","4","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0"
"  -2",NA,NA," 10","2.2","15","0","0","0","1","15","3","2","0","0","2","2","42","1","14","0","0","0","0","15","8","0","108","6","0","0","1","0","0","13","1","0","0","20","0","1","2","0","21","0","5","0","0","5","0","0","0","0","6","0","0","0","0","0","2","0","0","0","2","1","0","0","0","5","0","0","0","0","1","43","0","7.5","25","13","0","0","228","2","5","0","0","0","256","78","3","33","0","0","4","0","1","1","0","0","0","0","0","1","8","0","0","0","0","0","0","0","14","1","0","0","0","0","0","1"
"  28",NA,NA," 18","2.9","21","0","0","0","1","13","0","2","1","2","13","1","14","0","2","6","0","0","0","6","5","0","26","3","0","0","1","0","1","74","0","0","2","28","1","0","0","0","9","0","1","0","0","1","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","2","0","0","0","18","0","0","0","0","0","36","0","16.5","12","3","5","0","41","2","16","0","0","0","270","59","0","33","0","0","5","1","0","0","0","1","0","1","0","0","10","0","0","0","1","0","0","0","4","0","0","0","0","0","1","1"
"  58",NA,NA," 26","1.4","14","0","0","0","1","4","0","0","1","0","12","0","14","0","8","4","0","3","0","9","6","0","9","1","0","0","3","0","1","562","0","0","1","24","1","0","1","0","7","0","1","0","0","1","0","0","0","0","10","0","1","4","0","0","0","0","0","3","0","4","0","0","0","14","0","0","0","0","0","34","0","8.5","42","4","6","0","88","5","1","0","0","0","297","37","1","123","0","0","1","2","0","0","0","2","0","6","1","0","71","0","0","0","1","0","0","4","0","0","1","0","0","0","1","1"
"  88",NA,NA," 34","2.4","37","0","0","0","4","13","0","0","0","0","14","1","20","1","7","2","0","0","0","68","3","0","12","0","0","0","3","0","1","790","0","0","1","19","1","1","2","0","8","0","0","0","0","1","0","0","0","0","23","0","1","58","0","0","0","0","0","3","0","2","0","0","0","4","0","0","0","0","1","39","0","10.5","14","7","1","0","33","1","3","0","0","0","284","16","0","122","0","0","0","2","0","0","0","3","0","2","1","0","161","0","0","0","0","0","0","0","0","1","5","0","0","0","0","5"
" 119",NA,NA," 42","1.8","12","0","0","0","3","3","0","0","0","0","4","1","17","0","17","0","0","0","1","11","0","0","12","2","0","0","2","0","0","31","0","0","0","18","0","0","0","0","5","0","1","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","19","0","5.5","16","0","1","0","37","5","9","0","0","0","345","25","1","51","0","0","1","0","0","0","0","0","0","1","0","0","114","0","0","0","0","0","0","0","0","1","6","0","0","0","0","3"
" 161",NA,NA," 50","1.8","6","0","0","0","4","4","0","1","0","0","5","1","13","0","27","0","0","0","1","6","0","0","32","0","0","0","8","0","0","21","0","0","0","25","0","1","1","0","26","0","6","0","0","0","0","0","0","0","14","0","0","4","0","0","1","0","0","2","0","0","0","0","0","4","0","0","0","0","0","20","0","9","17","5","0","0","55","6","6","0","0","0","292","27","0","13","0","0","0","2","0","0","0","0","0","1","0","1","112","0","0","0","1","0","0","0","2","0","8","0","0","0","0","9"
" 214",NA,NA," 58","2, 1.8","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","2","0","0","0","0","2","0","0","36","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" 268",NA,NA," 66","1.7","3","0","0","0","3","9","0","0","1","0","13","0","3","4","20","0","0","0","0","7","1","0","0","1","0","0","3","1","0","8","0","0","0","15","0","1","2","0","0","0","9","1","0","0","0","0","0","0","5","0","2","2","0","0","0","0","0","6","1","2","0","0","0","1","0","0","0","0","0","15","1","3.5","49","7","14","0","74","3","4","0","0","0","306","44","0","11","0","0","1","1","1","1","0","1","0","0","0","0","47","0","0","0","0","0","0","0","0","0","4","0","0","0","0","2"
" 322",NA,NA," 74","1.4","0","0","0","0","12","10","1","0","0","0","11","0","12","0","30","4","0","0","1","2","2","0","6","0","0","1","1","1","0","66","0","0","1","19","0","0","1","0","5","0","6","1","0","2","0","0","0","0","4","0","2","5","0","1","0","0","0","7","0","5","0","0","0","3","0","0","0","0","0","11","0","7.5","41","6","3","0","56","1","11","0","0","0","302","30","1","23","0","0","4","4","0","0","0","1","0","4","2","0","75","0","0","0","0","0","1","0","1","0","12","0","0","0","0","7"
