"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acalypha","Alchornea","Allophylus t.","Amaranthaceae undif.","Annonaceae","Antidesma t.","Apocynaceae undif.","Artemisia","Asteraceae","Bombax","Borreria t.","Brassicaceae","Bridelia","Burkea","Caesalpinioideae","Capparaceae undif.","Cassia","Celtis","Chrozophora","Cichorieae","Cissampelos","Cissus t.","Combretaceae","Commelina","Commiphora","Cordia","Cyperaceae","Detarium","Elaeis","Entada","Ephedra","Euphorbiaceae undif.","Faboideae Undif.","Ficus","Gardenia","Heliotropium","Hydrocharitaceae","Hymenocardia","Hyphaene t.","Indeterminable","Indigofera","Irvingia","Kohautia","Lamiaceae undif.","Lannea","Lythraceae undif.","Macaranga","Maerua","Malva undif.","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Morelia","Myriophyllum alterniflorum t.","Nymphaea","Oldenlandia","Olea t.","Ormocarpum t.","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Poaceae","Podocarpus","Polygala","Polygonum t.","Prosopis t.","Rubiaceae undif.","Salvadora","Scrophulariaceae undif.","Securinega  t.","Sesbania","Sideroxylon t.","Solanum","Spergularia t.","Syzygium t.","Triletes","Typha","Uapaca","Urtica t.","Ziziphus/Paliurus"
"4703.335"," 158.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 107.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"4822.751"," 162.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  98.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"5061.583"," 170.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 124.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"5151.146"," 173.000","   0.000","   0.000","  36.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   5.000","   0.000","   0.000","   0.000","  69.000","   3.000","   5.000","   0.000","   0.000","   1.000","   2.000","   3.000","   1.000","   0.000","   0.000","   1.000","   0.000","  15.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"," 346.000","   1.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   2.000","   0.000","   1.000","   1.000","   0.000","   4.000","   0.000","   3.000","   4.000","   0.000","   0.000"
"5240.708"," 176.000","   0.000","   1.000","  22.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   1.000","   1.000","   4.000","   0.000","   0.000","   1.000","  58.000","   5.000","   9.000","   0.000","   0.000","   0.000","   2.000","   3.000","   0.000","   0.000","   0.000","   3.000","   0.000","  12.000","   0.000","   2.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","   2.000","   2.000","   0.000","   1.000","   6.000","   2.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"," 364.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","  12.000","   0.000","   7.000","   4.000","   0.000","   0.000"
"5569.103"," 187.000","   0.000","   0.000","  14.000","   0.000","   3.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","  54.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   2.000","   0.000","   2.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   3.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 427.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   2.000","  12.000","   0.000","   0.000"
"5897.498"," 198.000","   0.000","   0.000","   8.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   1.000","   1.000","  51.000","   1.000","   2.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   2.000","   0.000","   1.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   4.000","   1.000","   1.000","   0.000","   1.000","   1.000","   0.000","   1.000","   0.000"," 330.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   2.000","  14.000","   0.000","   0.000"
"6225.893"," 209.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","  64.000","   0.000","   9.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   1.000","   3.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000"," 436.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","  20.000","   0.000","   0.000"
"6375.163"," 214.000","   0.000","   0.000","  19.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","  64.000","   0.000","  22.000","   0.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   2.000","   4.000","   0.000","   0.000"," 493.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","  36.000","   0.000","   0.000"
"6673.703"," 224.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","  56.000","   0.000","   5.000","   0.000","   0.000","   1.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000"," 418.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   4.000","   1.000","   0.000","  29.000","   0.000","   0.000"
