"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alnus","Amaranthaceae undif.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Eucalyptus spike","Eucalyptus tablets","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","HippophaÃ«","Indeterminable","Lamiaceae undif.","Menyanthes","Mercurialis","Myriophyllum spicatum/verticillatum t.","Olea t.","Ostrya","Oxyria","Petaloid monocot","Pinus subg. Strobus","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Polypodiophyta (monolete) undiff.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus deciduous","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Vitis"
"35478.0",NA,NA,"48.35","1.2","0","1","4","16","2","22","92","0","4","42","5","3","1","0","0","4","2","1","15","15","0","2","0","636","0","0","11","0","0","0","0","6","7","10","1","0","0","1","0","8","0","0","0","83","0","0","199","0","0","1","1","0","80","3","3","8","2","3","1","0","5","1","0","2","2","4","1","0"
"35494.0",NA,NA,"49.15","0.8","2","2","5","22","1","10","105","0","5","28","15","2","14","0","0","2","4","3","33","16","0","5","1","933","0","0","35","0","5","1","1","21","3","18","1","1","4","0","0","3","1","1","1","147","8","0","399","0","1","0","0","0","79","2","0","15","2","4","2","5","4","0","0","1","6","0","2","1"
"35502.0",NA,NA,"49.55","1.0","1","0","0","1","1","0","8","0","0","4","0","0","4","0","0","2","0","0","2","3","0","0","0","300","0","0","2","1","0","0","0","2","0","10","0","0","0","0","0","0","0","0","0","19","0","1","33","0","1","0","0","0","18","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0"
"35510.0",NA,NA,"49.95","0.7","0","0","3","9","1","3","24","9","2","6","1","0","5","0","0","19","1","1","4","5","0","0","0","1089","0","0","2","0","0","2","0","0","0","25","0","0","0","0","1","2","1","0","0","22","1","0","159","0","0","0","1","0","17","1","0","0","0","0","0","0","3","0","1","0","2","0","0","0"
"35514.0",NA,NA,"50.15","0.7","0","0","1","6","0","3","17","0","1","1","3","1","11","0","0","11","0","0","6","0","1","2","0","850","0","1","0","0","0","2","0","4","0","24","1","0","0","0","0","0","1","1","0","13","0","0","72","1","0","1","1","0","9","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"35516.0",NA,NA,"50.25","0.8","0","0","0","7","0","0","13","0","7","2","1","1","9","0","0","13","2","0","3","0","0","1","0","962","0","1","0","0","0","0","0","3","0","21","1","0","0","0","0","0","0","1","0","13","2","0","107","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35518.0",NA,NA,"50.35","1.0","0","0","1","8","0","2","1","0","1","0","1","1","6","0","0","12","0","1","3","1","0","0","0","802","0","0","0","0","0","0","0","5","0","16","4","0","0","0","0","0","0","3","0","18","0","0","73","0","0","0","0","0","15","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"35520.0",NA,NA,"50.45","0.9","1","0","0","1","1","1","12","0","0","0","0","1","7","0","1","10","0","0","0","2","0","0","0","822","0","0","2","0","0","0","0","4","0","13","1","0","0","0","0","1","0","1","0","11","0","0","62","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"35522.0",NA,NA,"50.55","0.8","1","0","2","1","0","1","6","0","5","3","0","0","6","0","1","4","0","0","1","0","0","1","0","468","0","0","0","0","2","0","0","1","0","20","0","0","0","0","0","1","0","0","0","5","0","0","39","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"35524.0",NA,NA,"50.65","0.9","1","0","0","4","1","1","14","0","1","2","0","0","8","0","0","15","0","0","1","0","0","0","0","652","0","0","2","0","0","0","0","6","0","15","3","0","0","0","0","0","0","1","0","13","2","0","103","0","0","0","0","0","16","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35526.0",NA,NA,"50.75","1.0","0","0","0","8","1","2","16","0","4","6","0","0","5","0","0","15","0","0","2","1","0","2","0","776","0","0","0","0","1","0","1","4","0","12","0","0","0","1","1","1","0","1","0","13","1","0","83","0","0","0","0","1","6","0","0","2","0","0","0","2","1","0","0","0","0","0","0","0"
"35528.0",NA,NA,"50.85","0.7","0","0","0","13","0","1","13","0","2","2","3","0","4","1","0","2","0","0","5","4","1","0","0","845","0","0","4","0","0","2","0","9","1","22","3","0","0","0","0","2","0","0","0","16","2","0","143","0","0","0","0","0","22","0","0","1","0","1","1","0","0","0","0","0","1","2","0","0"
"35536.7",NA,NA,"55.00","1.0","0","0","2","13","5","4","41","0","1","2","0","3","4","0","0","0","0","0","28","11","0","0","0","31","0","0","5","0","0","1","0","2","3","1","0","0","0","0","0","6","0","1","0","57","6","0","126","0","0","0","0","0","26","0","0","0","0","0","0","0","4","0","0","2","2","2","0","0"
