"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Angelica palustris-type","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Berula erecta","Betula","Brassicaceae","Calluna","Campanulaceae","Cardueae undif.","Carum verticillatum","Caryophyllaceae undif.","Castanea","Centaurea","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Echium t.","Ephedra","Erica t.","Faboideae Undif.","Fagus","Fern","Filipendula t.","Frangula","Fraxinus","Fumaria","Galium t.","Genisteae","Gentiana t.","Halimium/Tuberaria","Hepaticae","Hypericum undif.","Ilex","Juglans","Lamiaceae undif.","Lemnaceae","Lotus t.","Lycopodium spike","Lycopodium tablets","Lysimachia","Lythrum","Menyanthes","Musci","Myriophyllum alterniflorum t.","Myrtus","Nymphaea","Olea t.","Paronychieae","Petaloid monocot","Phillyrea","Physospermum cornubiense","Pinus nigra/sylvestris t.","Pinus pinaster","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Reseda/Sesamoides","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Sparganium","Spergularia t.","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Ulmus t.","Viburnum","Viola","Vitis"
" 569.86",NA,NA,"  1","0.282","0","0","2","1","0","2","1","1","0","0","0","9","0","4","0","0","0","0","2","0","4","1","0","2","6","0","0","112","0","0","3","0","0","1","0","0","3","0","0","0","0","0","1","0","0","0","193","0","0","0","0","2","0","0","0","58","0","0","0","0","3","206","1","3","0","189","3","0","0","1","53","2","13","0","0","0","20","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
" 663.26",NA,NA,"  5","0.282","0","0","9","0","0","1","0","4","0","0","0","14","0","13","0","0","0","1","2","0","1","0","1","5","3","0","0","190","0","0","10","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","144","0","0","0","1","3","0","0","0","111","0","1","2","0","1","193","3","6","0","291","18","0","0","0","94","18","132","0","0","0","33","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2"
" 780.00",NA,NA," 10","0.282","0","0","14","1","0","4","0","2","0","2","0","16","0","27","0","0","0","2","6","0","0","0","1","3","3","0","0","369","0","0","7","0","0","0","0","1","11","1","0","0","0","0","0","0","0","0","127","0","0","0","2","4","0","0","0","139","0","1","3","0","1","126","1","9","0","360","23","0","0","2","117","27","16","0","0","0","36","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1"
"1013.49",NA,NA," 20","0.282","0","0","9","1","0","1","2","8","0","1","0","34","0","16","1","1","0","4","5","0","1","0","1","0","3","0","0","301","0","0","2","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0","186","0","0","0","2","2","0","0","0","13","0","0","5","0","0","4","1","8","0","238","19","0","0","2","160","28","7","0","0","0","22","0","0","0","0","0","5","2","0","0","0","0","0","0","0","0"
"1261.37",NA,NA," 30","0.282","0","0","21","0","0","1","1","4","2","1","0","72","0","13","1","0","0","0","7","0","0","1","4","0","10","0","0","129","0","0","8","0","0","1","0","0","12","0","1","0","0","0","0","0","0","0","215","0","0","0","6","3","0","0","0","6","0","0","4","0","1","1","0","10","0","432","23","0","0","0","207","17","19","0","0","0","31","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"1509.26",NA,NA," 40","0.282","0","0","12","2","0","2","2","11","1","1","0","22","0","14","0","0","0","0","7","0","2","3","2","1","10","0","0","157","0","0","7","0","0","0","0","0","6","1","0","0","0","0","0","0","0","0","273","0","0","0","3","2","0","0","0","5","0","0","3","0","0","2","1","4","0","300","17","0","0","2","116","19","9","0","0","0","27","1","0","0","0","0","2","0","0","0","0","0","1","1","0","0"
"1665.19",NA,NA," 50","0.282","0","0","17","0","0","0","1","1","0","1","0","4","0","11","1","0","0","1","6","0","0","1","3","2","7","0","0","111","0","0","10","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","214","0","0","0","7","4","0","0","0","6","0","0","4","0","1","5","3","5","0","351","11","0","0","1","158","32","8","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1821.13",NA,NA," 60","0.282","0","0","4","0","0","5","1","4","0","0","0","5","0","8","0","0","0","0","1","0","0","2","2","0","11","0","0","150","0","0","6","1","0","0","0","0","15","2","0","0","0","0","0","0","0","0","401","0","0","0","12","5","0","0","0","4","0","0","1","0","1","8","8","8","0","250","5","0","0","0","200","47","20","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"1939.37",NA,NA," 70","0.282","0","0","15","2","0","0","3","4","0","0","0","26","0","2","0","0","0","2","0","0","0","6","3","1","25","2","0","245","0","0","8","0","0","0","0","0","30","15","0","0","0","0","0","0","0","0","331","0","0","0","8","2","0","0","0","4","0","4","7","0","4","31","7","5","0","571","11","0","0","0","179","17","11","0","0","0","57","2","0","0","0","0","3","0","0","0","0","0","2","0","0","3"
"2057.62",NA,NA," 80","0.282","0","0","7","0","0","0","1","3","0","0","0","12","0","5","0","0","0","0","1","0","0","3","3","0","14","0","0","144","0","0","16","0","0","1","0","0","17","1","0","0","0","0","0","0","0","0","188","0","0","0","9","9","0","0","0","0","0","2","4","0","3","15","1","1","0","162","3","0","0","0","167","18","7","0","0","0","11","1","0","0","0","0","2","0","0","0","0","0","2","0","0","0"
