"sample_name","depth","Hagenia","Abutilon t.","Acacia t.","Acalypha","Acanthaceae undif.","Acanthus","Aerva type","Alismataceae","Allophylus t.","Amaranthaceae undif.","Ambrosieae","Anthospermum","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Blighia","Brassicaceae","Buddleia","Canthium","Capparaceae undif.","Capparis","Cardiospermum","Caucanthus","Celosia type","Celtis","Cichorieae","Cissampelos","Cissus t.","Clematis-type","Clerodendrum","Combretaceae","Commelina","Commiphora","Cupressaceae","Cyperaceae","Dichrostachys","Digera-type muricata","Diospyros/Euclea t.","Dodonaea","Erica t.","Erythrococca/Micrococca","Eucalyptus","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Ficus","Grewioideae","Hypoestes t.","Ilex","Impatiens","Indeterminable","Jatropha/Croton","Justicia t.","Kohautia","Lamiaceae undif.","Lannea","Macaranga","Maerva-type","Malva undif.","Maytenus","Mitragyna/Hallea","Morella","Musci","Nuxia t.","Nyctaginaceae","Olea t.","Phoenix t.","Phyllanthus undif.","Pilea-type bambuseti","Plantago","Poaceae","Podocarpus","Polyscias","Potamogeton","Prunus t.","Psilotrichum t.","Ranunculaceae undif.","Rhamnaceae undif.","Ricinus","Rubia-type","Rubiaceae undif.","Rumex t.","Salix","Salvadora","Sapotaceae undif.","Schefflera","Searsia","Securinega  t.","Sericocomopsis-type","Solanaceae undif.","Solanum","Tapinanthus","Tribulus","Typha","Urtica t.","Vahlia","Vernonieae","Ximenia"
NA,"  1","  5","  0","  2","  2","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  1","  0"," 15"," 18","  0","  0","  1","  9","  2","  0","  1","  1","  0","  0","  3","  0","  1","  1","  0","  0"," 12","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  1","  0","  1","  0","  8","  0","  0","  0","  3","155"," 55","  0","  0","  1","  0","  0","  0","  3","  0","  0","  3","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  5"," 13","  0","  0","  0"
NA," 22.5","  5.0","  0.0","  1.0","  2.0","  0.0","  0.0","  5.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0","  0.0","  0.0","  2.0","  0.0","  3.0","  0.0","  0.0"," 35.0"," 49.0","  0.0","  0.0","  0.0","  8.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 22.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 15.0","  0.0","  0.0","  0.0","  1.0","266.0","100.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  2.0"," 10.0","  0.0","  1.0","  0.0"
NA," 52.5","  8.0","  0.0","  4.0","  5.0","  0.0","  0.0","  1.0","  0.0","  1.0","  6.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  5.0","  1.0","  0.0","  0.0","  1.0","  0.0","  1.0","  1.0","  0.0"," 38.0"," 73.0","  0.0","  1.0","  2.0","  6.0","  3.0","  0.0","  0.0","  1.0","  0.0","  0.0","  4.0","  0.0","  0.0","  2.0","  0.0","  1.0"," 17.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 22.0","  1.0","  0.0","  0.0","  0.0","311.0","124.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  2.0","  1.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"," 14.0","  0.0","  0.0","  0.0"
NA," 72.5","  7.0","  0.0","  3.0","  1.0","  0.0","  0.0","  6.0","  0.0","  0.0","  7.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  1.0","  0.0","  4.0","  0.0","  0.0"," 26.0"," 38.0","  0.0","  0.0","  0.0","  8.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 20.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 24.0","  0.0","  0.0","  0.0","  1.0","165.0"," 99.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  4.0","  0.0","  1.0","  0.0"
NA,"102.5","  8.0","  0.0","  2.0","  2.0","  0.0","  0.0","  2.0","  0.0","  2.0","  3.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  5.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0"," 29.0"," 21.0","  2.0","  0.0","  3.0","  3.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"," 14.0","  0.0","  1.0","  2.0","  3.0","167.0"," 78.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0"," 20.0","  0.0","  0.0","  0.0"
NA,"122.5","  5.0","  0.0","  2.0","  5.0","  0.0","  0.0","  1.0","  0.0","  0.0","  8.0","  0.0","  1.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0"," 31.0"," 76.0","  0.0","  0.0","  3.0","  1.0","  3.0","  1.0","  0.0","  2.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 14.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0"," 28.0","  0.0","  0.0","  0.0","  0.0","259.0"," 91.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0"," 15.0","  0.0","  0.0","  0.0"
NA,"150","  5","  0","  4","  0","  0","  0","  3","  0","  0","  1","  0","  0","  0","  1","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  5","  2","  0","  1","  2","  1","  2","  0","  0"," 24","120","  0","  0","  0","  1","  4","  0","  0","  0","  0","  0","  7","  0","  0","  0","  2","  0"," 15","  0","  1","  1","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 17","  0","  2","  0","  0","372"," 92","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  1","  2","  0","  0","  2","  0","  0","  0","  0","  0","  0","  2","  2","  2","  0","  0"
NA,"170","  1","  0","  0","  0","  0","  0","  4","  0","  1","  6","  0","  0","  0","  4","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  1","  0","  0"," 10","160","  0","  0","  0","  0","  2","  0","  0","  1","  0","  1","  6","  0","  0","  1","  0","  0"," 15","  0","  2","  0","  1","  1","  0","  0","  0","  0","  1","  0","  0","  2","  0"," 15","  1","  0","  0","  0","294"," 88","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  3","  3","  0","  0","  0"
NA,"180","  6","  0","  2","  2","  1","  0","  4","  0","  0","  6","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  8","  1","  0","  0","  2","  0","  0","  0","  1","  9","185","  0","  0","  4"," 12","  1","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  8","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  1","  1","  3","  0"," 27","  0","  0","  0","  6","285"," 47","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  8","  4","  0","  0","  0"
NA,"200","  3","  0","  2","  0","  0","  0","  5","  0","  0","  2","  0","  0","  0","  1","  3","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  1","  0","  3","  0","  0","  7","119","  0","  0","  1"," 10","  1","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0"," 14","  0","  1","  1","  1","  1","  1","  1","  1","  0","  0","  1","  0","  0","  0"," 31","  2","  0","  0","  5","189"," 38","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  1","  0","  0","  1","  0","  0","  0","  1","  0","  0"," 21","  3","  0","  0","  0"
