"depth","Hagenia","Acacia t.","Acalypha","Acanthaceae undif.","Alchemilla t.","Algae","Allophylus t.","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Artemisia","Asteroideae undif.","Bersama","Blepharis","Brassicaceae","Canthium","Capparaceae undif.","Carissa","Caryophyllaceae undif.","Celtis","Chascanum","Cichorieae","Clematis-type","Combretaceae","Commelina","Commiphora","Cupressaceae","Cyperaceae","Diospyros/Euclea t.","Dodonaea","Dombeya","Ekebergia","Erica t.","Eucalyptus","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Ficus","Hypoestes t.","Indeterminable","Indigofera","Jasminum","Jatropha/Croton","Justicia t.","Kedrostis","Kohautia","Lamiaceae undif.","Maesa","Maytenus","Monoletes","Morella","Myriophyllum undif.","Nuxia t.","Nymphaea","Olea t.","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Plantago","Poaceae","Podocarpus","Polygonum t.","Polyscias","Potamogeton","Prunus t.","Pterolobium","Ranunculaceae undif.","Rapanea","Ricinus","Rosa t.","Rubiaceae undif.","Rumex t.","Sapotaceae undif.","Schefflera","Searsia","Senna","Solanum","Tapithus","Teclea","Tilia","Tribulus","Trilepisium","Triletes","Typha","Unknown","Urtica t.","Zanthoxylum","Zea","Ziziphus/Paliurus"
"    0.25","    2.00","    5.00","    0.00","    0.00","    0.00","15545.00","    0.00","   22.00","    0.00","    2.00","    1.00","   11.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","    0.00","    3.00","    0.00","    0.00","    2.00","    0.00","    0.00","    0.00","  155.00","   78.00","    2.00","   24.00","    0.00","    0.00","    0.00","    4.00","    0.00","    0.00","    2.00","    0.00","    1.00","   24.00","    2.00","    0.00","    1.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.00","    3.00","    0.00","    1.00","    9.00","   29.00","    1.00","    0.00","    0.00","    4.00","  195.00","   18.00","    0.00","    0.00","   12.00","    1.00","    1.00","    0.00","    0.00","    8.00","    0.00","    0.00","   46.00","    0.00","    0.00","    1.00","    0.00","    1.00","    0.00","    1.00","    1.00","    0.00","    0.00","    0.00","    2.00","    8.00","    2.00","    1.00","    4.00","    0.00"
"   4",NA,"   3","   1","   1","   1","9203","   0","  26","   0","   0","   1","  12","   0","   0","   0","   0","   0","   1","   1","  10","   0","   0","   3","   3","   0","   0"," 721","  41","   2","   9","   0","   0","   0","   0","   1","   0","   0","   0","   1","  24","   0","   0","   0","   0","   0","   0","   1","   0","   0","  12","   4","   0","   2","  22","  69","   0","   0","   0","   2"," 159","  23","   0","   0","   2","   0","   0","   1","   1","   0","   1","   2","  12","   0","   0","   2","   1","   0","   1","   1","   0","   1","   0","   1","   5","   9","   4","   0","   0","   0"
"    7","    2","    2","    0","    0","    0","25576","    2","   17","    0","    0","    0","    4","    2","    1","    1","    0","    1","    0","    0","    8","    0","    0","    1","    2","    0","    1","  659","   35","    1","    8","    0","    0","    0","    0","    0","    2","    1","    0","    1","   12","    0","    0","    0","    0","    0","    0","    1","    1","    0","    6","    9","    0","    3","    2","   66","    0","    0","    2","    1","  157","   42","    0","    0","    1","    1","    1","    0","    2","    0","    0","    1","    6","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    2","   10","    1","    0","    0","    0"
"   12",NA,"    2","    3","    0","    0","33440","    1","   17","    0","    1","    0","    1","    0","    0","    0","    0","    3","    0","    0","   21","    0","    0","    1","    2","    0","    0","   79","   29","    1","   71","    0","    0","    1","    0","    0","    1","    1","    0","    1","   11","    0","    0","    0","    0","    0","    1","    0","    0","    1","    3","   30","    0","    1","    3","   49","    0","    0","    0","    3","  128","   54","    1","    0","    1","    0","    2","    2","    0","    0","    0","    4","   18","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    2","    1","    7","    3","    0","    0","    0"
"   16","    4","    4","    1","    0","    0","50285","    0","   16","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","   10","    0","    1","    5","    1","    0","    0","   60","   53","    1","    9","    0","    0","    1","    0","    0","    1","    1","    1","    0","   12","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    5","    0","    4","    0","   26","    0","    0","    0","    0","  212","  109","    1","    1","    1","    0","    1","    0","    0","    0","    0","    2","    9","    0","    0","    2","    0","    2","    0","    1","    2","    1","    0","    1","    1","    4","    4","    0","    0","    0"
"    20","     8","     2","     0","     0","     0","100698","     0","    15","     0","     0","     0","     8","     0","     0","     0","     0","     0","     0","     0","     8","     0","     0","     6","     3","     0","     0","    84","    56","     0","     5","     0","     1","     0","     0","     2","     1","     0","     1","     0","    13","     0","     1","     1","     0","     2","     0","     0","     0","     0","     5","     3","     0","     1","     1","    29","     0","     0","     0","     0","   164","   150","     0","     0","     0","     0","     0","     0","     0","     0","     0","     2","     0","     1","     0","     0","     0","     3","     0","     0","     2","     0","     1","     1","     1","     3","     1","     0","     0","     0"
"   24","    4","    4","    1","    0","    0","18899","    0","   11","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    8","    0","    0","    2","    1","    0","    0","   77","   65","    2","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","   12","    0","    1","    0","    0","    0","    0","    0","    0","    0","    9","    3","    0","    3","    0","   17","    0","    0","    0","    0","  107","  162","    0","    0","    0","    0","    0","    1","    1","    1","    0","    0","    1","    1","    0","    1","    0","    2","    0","    1","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0"
"   26","    4","    1","    1","    0","    0","25702","    0","   11","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    1","    2","    5","    0","    1","   75","   48","    0","    4","    0","    1","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    1","    1","    1","    0","    5","    2","    0","    3","    0","   29","    0","    0","    0","    1","  147","  194","    1","    0","    0","    1","    0","    0","    1","    0","    0","    0","    4","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    4","    0","    0","    0"
"   36","    5","    5","    1","    0","    0","55263","    0","    4","    1","    1","    0","    8","    0","    0","    0","    0","    0","    0","    0","   17","    0","    0","    3","    5","    0","    0","   80","   69","    2","    5","    1","    1","    0","    0","    1","    0","    2","    0","    2","    9","    0","    0","    1","    0","    1","    0","    0","    0","    0","    7","    4","    0","    4","    2","   36","    0","    0","    0","    0","  126","  161","    1","    0","    3","    0","    0","    1","    2","    0","    0","    2","    2","    1","    0","    1","    0","    2","    0","    0","    0","    0","    0","    2","    0","    4","   17","    0","    0","    0"
"   49","    2","    5","    3","    0","    0","51468","    1","    9","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","   20","    0","    1","    5","    4","    0","    0","   78","   47","    0","    5","    0","    1","    0","    0","    1","    0","    1","    0","    2","   10","    0","    0","    0","    0","    1","    0","    0","    0","    1","    4","    2","    0","    7","    1","   30","    1","    0","    0","    0","  143","  158","    0","    0","    2","    0","    0","    0","    1","    0","    0","    2","    2","    0","    0","    3","    0","    3","    0","    2","    0","    0","    0","    3","    0","   10","   10","    0","    0","    1"
"   62","    8","    4","    0","    0","    0","77834","    2","   14","    0","    0","    0","    6","    1","    1","    0","    0","    0","    0","    0","   12","    0","    6","    3","    6","    0","    1","   68","   38","    0","    5","    0","    5","    2","    0","    2","    0","    1","    0","    1","   10","    0","    0","    0","    0","    0","    0","    1","    0","    0","    4","    2","    0","    4","    2","   23","    0","    0","    0","    0","  153","  157","    1","    0","    0","    0","    1","    1","    1","    0","    0","    1","    1","    0","    0","    3","    0","    4","    0","    0","    0","    0","    0","    2","    1","    4","    4","    0","    0","    0"
