"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Hagenia","Acacia t.","Acalypha","Acanthaceae undif.","Adenia","Alchemilla t.","Algae","Allophylus t.","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Apodytes","Artemisia","Asteroideae undif.","Blepharis","Brassicaceae","Canthium","Capparaceae undif.","Carissa","Caryophyllaceae undif.","Casuarina","Celtis","Cichorieae","Cissampelos","Clematis-type","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cordia","Cucurbitaceae undif.","Cupressaceae","Cyperaceae","Diospyros/Euclea t.","Dodonaea","Dombeya","Ekebergia","Erica t.","Eucalyptus","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Ficus","Gentianaceae undif.","Hypoestes t.","Indeterminable","Indigofera","Jatropha/Croton","Justicia t.","Lamiaceae undif.","Lemnaceae","Maesa","Malva undif.","Maytenus","Monoletes","Morella","Myriophyllum undif.","Nuxia t.","Nymphaea","Olea t.","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Plantago","Poaceae","Podocarpus","Polygala","Polygonum t.","Potamogeton","Prunus t.","Pterolobium","Ranunculaceae undif.","Rapanea","Ricinus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sapotaceae undif.","Schefflera","Scrophulariaceae undif.","Searsia","Senna","Solanum","Tapinanthus","Teclea","Tilia","Tribulus","Trilepisium","Triletes","Typha","Unknown","Urtica t.","Vitaceae undif.","Ximenia","Zanthoxylum","Ziziphus/Paliurus"
" -45","   0",NA,"   6","   0","   0","   0","   0","3564","   0","  22","   0","   0","   0","   0","  13","   0","   1","   0","   2","   1","   0","   1","  10","   1","   0","   0","   3","   0","   0","   1","   0","   0","  65","  53","   1","  22","   0","   0","   0","   5","   2","   1","   3","   1","   0","   2","  22","   0","   1","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  19","   0","   0","   0","  10"," 265","  32","   0","   1","  14","   0","   1","   1","   0","   3","   0","   1","  48","   0","   0","   0","   0","   4","   0","   1","   0","   0","   0","   1","   0","   2","   3","   2","   3","   0","   0","   1","   1"
"  14","   4","   3","   5","   2","   0","   0","   0","1815","   0","  27","   0","   2","   0","   0","   9","   0","   0","   0","   2","   0","   0","   1","  14","   1","   0","   0","   4","   0","   0","   0","   0","   1"," 180","  35","   6","  21","   0","   0","   1","   0","   2","   1","   4","   0","   0","   1","  21","   0","   0","   0","   0","   0","   0","   0","   0","   2","   2","   0","   2","   1","  15","   1","   0","   0","   4"," 202","  14","   0","   0","   1","   0","   2","   0","   0","   3","   0","   2","  40","   0","   0","   0","   0","   5","   0","   2","   1","   1","   1","   1","   0","   0","   2","  11","   2","   0","   0","   0","   1"
"   66","    8","    1","    1","    1","    1","    0","    0","15809","    1","   38","    0","    1","    0","    0","   13","    0","    0","    0","    2","    0","    1","    0","   14","    0","    0","    1","    5","    0","    0","    0","    0","    0","  156","   55","    2","   16","    0","    0","    1","    0","    4","    1","    6","    0","    0","    3","   21","    0","    1","    0","    0","    1","    0","    1","    0","    4","    6","    0","    0","    1","   22","    1","    0","    0","    0","  185","   25","    0","    1","   10","    0","    0","    2","    0","    4","    0","    2","   27","    0","    0","    0","    0","    8","    0","    5","    0","    0","    0","    0","    0","    1","    8","    9","    4","    0","    0","    0","    0"
" 121.4","  12.0","   1.0","   4.0","   0.0","   0.0","   0.0","   0.0","1807.0","   0.0","  34.0","   0.0","   0.0","   0.0","   0.0","  19.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   3.0","   0.0","   1.0","   6.0","   1.0","   0.0","   0.0","   0.0","   0.0"," 176.0","  77.0","   1.0","   8.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   4.0","   1.0","   0.0","   5.0","  25.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","  10.0","   1.0","   0.0","   1.0","  37.0","   2.0","   0.0","   0.0","   1.0"," 203.0","  14.0","   0.0","   0.0","  20.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","  16.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   3.0","   4.0","   2.0","   1.0","   0.0","   3.0","   0.0"
" 172.5","  16.0","   1.0","   3.0","   0.0","   0.0","   0.0","   0.0","5662.0","   0.0","  21.0","   0.0","   0.0","   0.0","   0.0","  15.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","  22.0","   2.0","   0.0","   1.0","   5.0","   2.0","   0.0","   0.0","   0.0","   0.0"," 301.0","  56.0","   1.0","  16.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   1.0","   2.0","   0.0","   3.0","  23.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   3.0","   6.0","   0.0","   3.0","   1.0","  44.0","   0.0","   1.0","   0.0","   1.0"," 214.0","  14.0","   0.0","   0.0","   4.0","   1.0","   1.0","   0.0","   0.0","   3.0","   0.0","   2.0","   9.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","   1.0","   1.0","   0.0","   1.0","   3.0","   4.0","   3.0","   0.0","   0.0","   0.0","   0.0"
"223.6"," 20.0","  2.0","  2.0","  0.0","  0.0","  0.0","  0.0","703.0","  0.0"," 30.0","  0.0","  1.0","  0.0","  0.0"," 13.0","  0.0","  1.0","  1.0","  0.0","  2.0","  0.0","  0.0"," 40.0","  0.0","  0.0","  7.0"," 12.0","  0.0","  0.0","  0.0","  0.0","  0.0","548.0"," 97.0","  3.0","  7.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  2.0"," 19.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  4.0","  0.0","  0.0","  0.0"," 74.0","  0.0","  0.0","  0.0","  0.0","157.0"," 17.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  1.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  1.0","  0.0","  0.0","  1.0","  1.0","  0.0","  1.0","  2.0","  6.0","  4.0","  0.0","  0.0","  0.0","  0.0"
" 274.8","  24.0","   1.0","   3.0","   0.0","   0.0","   0.0","   0.0","1927.0","   1.0","  24.0","   0.0","   0.0","   0.0","   2.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  61.0","   1.0","   1.0","   1.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 508.0","  69.0","   1.0","  12.0","   1.0","   0.0","   1.0","   0.0","   1.0","   4.0","   1.0","   0.0","   0.0","   0.0","  20.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   3.0","   4.0","   0.0","   1.0","   0.0","  51.0","   1.0","   0.0","   0.0","   0.0"," 190.0","   9.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   1.0","   8.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   9.0","   3.0","   0.0","   0.0","   0.0","   0.0"
" 325.9","  28.0",NA,"   3.0","   0.0","   0.0","   0.0","   0.0","7128.0","   1.0","  15.0","   0.0","   1.0","   1.0","   0.0","   5.0","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   0.0","  38.0","   0.0","   0.0","   4.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 289.0","  46.0","   0.0","  10.0","   1.0","   0.0","   1.0","   0.0","   3.0","   2.0","   1.0","   0.0","   0.0","   1.0","  15.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   3.0","  11.0","   0.0","   3.0","   1.0","  82.0","   0.0","   1.0","   0.0","   0.0"," 204.0","   7.0","   0.0","   0.0","   7.0","   0.0","   1.0","   1.0","   1.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   2.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","  12.0","   4.0","   1.0","   0.0","   0.0","   1.0"
" 377","  32",NA,"   4","   0","   0","   1","   0","2181","   0","  13","   0","   0","   0","   2","   1","   0","   0","   0","   1","   1","   0","   0","  51","   1","   0","   0","   1","   0","   0","   0","   0","   0"," 242","  27","   1","  10","   1","   1","   1","   0","   2","   1","   1","   0","   0","   0","  12","   0","   1","   0","   0","   0","   0","   0","   0","   3","  13","   1","   0","   1","  59","   0","   0","   0","   2"," 215","   6","   0","   0","   1","   0","   0","   1","   0","   0","   0","   1","   7","   0","   0","   1","   0","   2","   0","   0","   0","   1","   1","   1","   0","   2","   1","   6","   0","   0","   0","   0","   0"
"  428.2","   36.0",NA,"    6.0","    1.0","    1.0","    0.0","    1.0","14690.0","    0.0","   23.0","    0.0","    0.0","    0.0","    0.0","    6.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   19.0","    3.0","    0.0","    3.0","    6.0","    0.0","    0.0","    0.0","    0.0","    0.0","   94.0","  132.0","    2.0","   16.0","    0.0","    0.0","    3.0","    0.0","    2.0","    0.0","    6.0","    0.0","    0.0","    2.0","   21.0","    0.0","    0.0","    0.0","    1.0","    0.0","    2.0","    0.0","    0.0","    2.0","   12.0","    0.0","    0.0","    4.0","   45.0","    2.0","    0.0","    0.0","    0.0","  309.0","    7.0","    0.0","    1.0","    6.0","    0.0","    1.0","    0.0","    0.0","    1.0","    1.0","    3.0","   10.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    1.0","    0.0","    0.0","    1.0","    0.0","    0.0","    1.0","    5.0","    9.0","    1.0","    0.0","    0.0","    0.0","    0.0"
