"Depth cm","EPD chron cal BP","orig chron uncal BP","Turner et al chron cal BP","Acer","Aellenia-type","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Artemisia...43","Artemisia...44","Asphodelus t.","Aster-type...60","Aster-type...61","Aster-type...62","Aster-type...63","Asteroideae undif.","Betula","Betulaceae undif.","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Centaurea nigra-type...72","Centaurea nigra-type...73","Chenopodiaceae/Amaranthaceae...45","Chenopodiaceae/Amaranthaceae...46","Chenopodiaceae/Amaranthaceae...47","Chenopodiaceae/Amaranthaceae...48","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cruciferae...83","Cruciferae...84","Cruciferae...85","Cruciferae...86","Cupressaceae","Cuscuta","Cyperaceae","Datisca cannabina","Dipsacaceae","Dipsacaceae...89","Dipsacaceae...90","Echinops","Ephedra","Euphorbia t.","Fern","Filipendula t.","Fraxinus","Genisteae","Geranium","Hedera","Heliotropium","Hippophae","Hypericum undif.","Indeterminable","Lamiaceae undif.","Leguminosae...101","Leguminosae...102","Leontice","Liliaceae-type...104","Liliaceae-type...105","Linum t.","Lonicera","Loranthus","Lysimachia","Lythrum","Malva undif.","Matthiola","Mercurialis","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nitraria","Nuphar","Nymphaea","Olea t.","Onagraceae","Papaver t.","Periploca","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Ranunculus acris-type...132","Ranunculus acris-type...133","Rhamnus","Rheum","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Serratula-type...146","Serratula-type...147","Solanum","Sparganium","TLP","Tamarix","Thalictrum","Theligonum","Thesium","Thymelaeaceae undif.","Trifolium t.","Typha","Ulmus t.","Umbelliferae...155","Umbelliferae...156","Umbelliferae...157","Umbelliferae...158","Umbelliferae...159","Umbelliferae...160","Urtica t.","Viola","Viscum","Vitis","Ziziphus/Paliurus","Zygophyllum t."
"1010",NA,"9275",NA,"   0","   0","2230","   0","   0","   0","   0","   0","  12","   2","   0","   4","   0","   3","   5","   0","   0","   6","   0","   0","   0","   1","   0","   0","   4","   0","   0","   0","   0","   0","   2","  20","   3","   0","   2","   2","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   9","   1","   0","   0","   0","   1","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","  21","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   2","  13","   0","   0","   0","   0","   0","   5","   1","   0","   0","   0","   1","   0","   3","   3","   6","   1"," 127","  19","   4","   1","   0","   0","   0","  84","  24","   4","   2","   2","   0","   0","   0","   1","   6","   8","   0","   0","   0","   0","   0","   0","   0","  11"," 432","   3","   1","   2","   0","   0","   0","   0","   1","   2","  10","   1","   0","   7","   0","   0","   0","   0","   2","   1","   0"
" 1205.0"," 7721.0","11222.0"," 9206.5","    0.0","    0.0"," 3146.0","    1.0","    1.0","    0.0","    0.0","    0.0","    5.0","    5.0","    1.0","    2.0","    0.0","    0.0","    3.0","    2.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    1.0","    0.0","    1.0","   15.0","    0.0","    0.0","    0.0","   12.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    2.0","    0.0","    0.0","   12.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    4.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    5.0","    2.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   12.0","    0.0","    0.0","   10.0","    0.0","    0.0","    3.0","    0.0","    2.0","   11.0","   19.0","    0.0","    0.0","    0.0","    0.0","    1.0","   13.0","    6.0","    1.0","    0.0","  128.0","   15.0","    2.0","    0.0","    2.0","    1.0","    0.0","  208.0","   20.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    5.0","    2.0","    0.0","    0.0","    1.0","    0.0","    0.0","    1.0","    4.0","  542.0","    0.0","    0.0","    3.0","    0.0","    0.0","    0.0","    4.0","    0.0","    0.0","   10.0","    0.0","    3.0","    2.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0"
" 1210"," 7765","11268"," 9253","    0","    0"," 3381","    0","    0","    0","    0","    0","    6","    5","    0","    8","    1","    0","    2","    0","    0","    3","    2","    1","    0","    0","    1","    0","    4","    5","    0","    1","    0","    1","    5","   30","    0","    0","    2","   12","    2","    1","    1","    0","    0","    0","    4","    1","    1","    0","   16","    0","    0","    0","    0","    0","    2","    0","   14","    2","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","   11","    0","    0","   27","    0","    0","    1","    0","    0","   19","   12","    1","    0","    0","    0","    5","   15","    3","    3","    0","  133","   24","    5","    0","    1","    0","    0","  352","   21","    9","    0","    0","    0","    0","    1","    3","    1","    7","    2","    0","    0","    0","    0","    0","    0","    6","  786","    0","    1","    5","    0","    0","    0","    0","    0","    0","   16","    1","    6","    0","    0","    0","    0","    0","    5","    0","    0"
" 1215.0"," 7809.0","11314.0"," 9299.5","    0.0","    0.0"," 1152.0","    0.0","    1.0","    0.0","    0.0","    0.0","    3.0","    2.0","    0.0","   13.0","    1.0","    0.0","    2.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    2.0","   10.0","    0.0","    0.0","    0.0","    0.0","    3.0","   27.0","    1.0","    0.0","    0.0","    6.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    7.0","    0.0","    1.0","    0.0","   26.0","    0.0","    0.0","    0.0","    0.0","    0.0","    4.0","    1.0","   12.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","   11.0","    0.0","    2.0","    0.0","    1.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","   21.0","    0.0","    1.0","   26.0","    0.0","    0.0","    0.0","    0.0","    1.0","    8.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","   22.0","    4.0","    1.0","    0.0","  265.0","   22.0","    2.0","    0.0","    0.0","    1.0","    0.0","  375.0","    9.0","    5.0","    2.0","    1.0","    0.0","    1.0","    0.0","    3.0","    1.0","   15.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    8.0","  936.0","    1.0","    0.0","    6.0","    0.0","    0.0","    0.0","    5.0","    0.0","    0.0","   16.0","    1.0","    7.0","    0.0","    0.0","    0.0","    0.0","    0.0","    8.0","    0.0","    0.0"
" 1220"," 7853","11361"," 9346","    0","    0","  770","    0","    1","    0","    0","    0","    2","    0","    0","    7","    2","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    2","    1","    0","    1","   10","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    2","    5","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","    6","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","   17","    2","    1","    0","   83","    6","    1","    0","    0","    0","    0","  247","    9","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","  450","    0","    0","    3","    0","    0","    0","    1","    0","    0","   10","    0","    4","    0","    0","    0","    0","    0","    5","    0","    0"
" 1225.0"," 7897.0","11407.0"," 9392.5","    0.0","    0.0"," 8769.0","    0.0","    0.0","    1.0","    0.0","    1.0","    4.0","    0.0","    0.0","    4.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    2.0","    0.0","    2.0","    0.0","    0.0","    5.0","   15.0","    2.0","    0.0","    0.0","    8.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    7.0","    0.0","    1.0","    0.0","   31.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    5.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    8.0","    0.0","    0.0","    2.0","    0.0","    0.0","    4.0","   34.0","    0.0","    0.0","    0.0","    0.0","    6.0","    8.0","    7.0","    1.0","    0.0","  122.0","   19.0","    0.0","    0.0","    1.0","    0.0","    0.0","  207.0","   28.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    1.0","    4.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    6.0","  558.0","    1.0","    0.0","    4.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","   10.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0"
" 1230"," 7941","11453"," 9439","    0","    0","10003","    0","    0","    3","    1","    0","    3","    2","    0","    7","    1","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    3","    1","    0","    3","   12","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    3","    0","    1","    0","    8","    0","    0","    0","    1","    0","    0","    1","    3","    0","    1","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    4","    1","    0","    0","    0","    0","    0","   26","    0","    2","    0","    0","    2","    5","    2","    1","    0","  107","   11","    0","    0","    0","    0","    0","  357","   22","    1","    0","    0","    0","    0","    0","    0","    0","    3","    1","    0","    0","    2","    0","    0","    0","    3","  621","    0","    1","    4","    0","    0","    0","    3","    0","    0","    4","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0"
" 1235.0"," 7985.0","11499.0"," 9485.5","    0.0","    0.0"," 1378.0","    0.0","    0.0","    0.0","    0.0","    0.0","    3.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    0.0","    1.0","    0.0","    1.0","    0.0","    0.0","    0.0","   19.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","  135.0","    5.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","  190.0","    0.0","    0.0","    2.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    2.0","    0.0","    3.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0"
" 1250"," 8118","11697"," 9625","    0","    2"," 2184","    0","    0","    0","    0","    0","    0","    3","    0","   21","    0","    0","    1","    0","    0","    4","    0","    0","    0","    0","    0","    0","    2","    5","    0","    0","    1","    0","    2","   32","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","   16","    5","    0","    0","    0","    0","    1","    1","    7","    0","    1","    0","    0","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    1","    0","    0","    2","    1","    0","    1","    0","    1","    0","    1","    0","    1","    1","    1","    3","    0","  155","    2","    2","    0","    0","    0","    0","  308","   15","    5","    0","    0","    0","    0","    0","    0","    1","    9","   15","    0","    0","    0","    0","    0","    0","    6","  649","    0","    0","    1","    0","    0","    0","    0","    0","    0","   17","    0","    3","    0","    0","    0","    0","    0","    5","    0","    0"
" 1265.0"," 8250.0","11920.0"," 9764.5","    0.0","    0.0"," 1780.0","    0.0","    0.0","    0.0","    0.0","    0.0","    4.0","    2.0","    0.0","   22.0","    0.0","    1.0","    1.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    0.0","    1.0","   23.0","    1.0","    1.0","    5.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    4.0","    3.0","    0.0","    0.0","   21.0","    2.0","    0.0","    0.0","    1.0","    0.0","    1.0","    0.0","    7.0","    0.0","    6.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   11.0","    0.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    4.0","    1.0","    1.0","    0.0","    0.0","    1.0","    1.0","    0.0","    0.0","    5.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    9.0","    4.0","    7.0","    0.0","  159.0","    9.0","    0.0","    0.0","    0.0","    0.0","    0.0","  394.0","    9.0","    7.0","    0.0","    0.0","    0.0","    0.0","    0.0","    1.0","    0.0","    2.0","   10.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","   14.0","  733.0","    1.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    0.0","    8.0","    0.0","    2.0","    0.0","    0.0","    0.0","    0.0","    0.0","    2.0","    0.0","    0.0"
