"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Arum","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Carya","Caryophyllaceae undif.","Celtis","Centaurea","Centranthus t.","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echinops","Ephedra","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Genisteae","Gentiana t.","Hedera","HippophaÃ« rhamnoides","Hypericum undif.","Indeterminable","Indeterminable (immature)","Juglans","Lamiaceae undif.","Lemnaceae","Ligustrum","Linum t.","Loranthus","Lycopodiella-type","Lycopodium spike","Lythrum","Menyanthes","Mercurialis","Myriophyllum undif.","Olea t.","Ononis t.","Papaver t.","Paronychieae","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pterocarya","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Selaginella willdenowii","Solanaceae undif.","Sparganium","Spiniferites cruciformis","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Vaccinium","Valeriana t.","Vitis"
"554.0",NA,NA," 50.8","  2.0","  0.0","  0.0","183.0"," 21.0","  4.0","  1.0"," 10.0","  0.0","  0.0","  1.0"," 22.0","  0.0"," 13.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 20.0","  2.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 26.0","  1.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  9.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 37.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0"," 86.0","  2.0","  7.0","  5.0","  0.0"," 14.0","  5.0","  0.0","  0.0","  1.0","  0.0","  0.0","225.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0"," 16.0","  0.0","  5.0"
"645.0",NA,NA," 62.8","  1.0","  0.0","  0.0","393.0"," 29.0","  5.0","  0.0","  6.0","  0.0","  3.0","  0.0"," 17.0","  0.0","  9.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0"," 19.0","  4.0","  8.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 30.0","  7.0","  3.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 18.0","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 59.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","126.0","  3.0","  7.0","  8.0","  0.0"," 26.0","  9.0","  0.0","  0.0","  5.0","  0.0","  0.0","156.0"," 15.0","  2.0","  1.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0","  5.0","  0.0","  0.0"," 16.0","  0.0","  3.0"
"736.0",NA,NA," 74.8","  0.0","  0.0","  0.0","204.0"," 15.0","  1.0","  0.0","  7.0","  0.0","  3.0","  0.0"," 13.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 10.0","  3.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 25.0"," 15.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 49.0","  0.0","  0.0","  0.0","  0.0"," 17.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","176.0","  0.0","  3.0","  1.0","  0.0"," 17.0","  5.0","  2.0","  0.0","  0.0","  0.0","  0.0","152.0","  9.0","  2.0","  2.0","  0.0","  0.0","  3.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  4.0","  0.0","  0.0","  9.0","  0.0","  1.0"
"827.0",NA,NA," 86.8","  0.0","  0.0","  0.0"," 74.0"," 42.0","  4.0","  0.0"," 11.0","  0.0","  4.0","  1.0"," 14.0","  0.0"," 14.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 28.0"," 12.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 16.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 65.0","  0.0","  0.0","  0.0","  0.0"," 20.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0"," 96.0","  0.0","  2.0","  4.0","  0.0"," 27.0"," 10.0","  0.0","  0.0","  6.0","  0.0","  0.0","209.0","  9.0","  1.0","  0.0","  0.0","  1.0","  6.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  4.0","  0.0","  1.0"," 22.0","  0.0","  3.0"
"917.0",NA,NA," 98.8","  1.0","  0.0","  0.0","159.0","  9.0","  2.0","  0.0","  7.0","  0.0","  6.0","  0.0"," 13.0","  0.0"," 13.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  2.0","  2.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 19.0"," 16.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 31.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 66.0","  0.0","  0.0","  0.0","  0.0"," 40.0","  0.0","  0.0","  0.0","  0.0"," 14.0","  1.0"," 69.0","  0.0","  8.0","  4.0","  0.0"," 25.0"," 23.0","  0.0","  0.0","  5.0","  0.0","  0.0","219.0","  4.0","  2.0","  0.0","  0.0","  2.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  3.0"," 16.0","  0.0","  1.0"
"1008.0",NA,NA," 110.8","   0.0","   0.0","   0.0","  97.0","   8.0","   3.0","   0.0","   5.0","   0.0","   3.0","   0.0","  19.0","   0.0","   3.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","  17.0","   9.0","   2.0","   0.0","   0.0","   2.0","   0.0","   0.0","  17.0","   9.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  60.0","   0.0","   0.0","   0.0","   1.0","  41.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","  45.0","   0.0","   5.0","   4.0","   0.0","  40.0","  22.0","   0.0","   0.0","   1.0","   0.0","   0.0"," 207.0","   9.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   1.0","  10.0","   0.0","   1.0"
"1099.0",NA,NA," 122.8","   1.0","   0.0","   0.0"," 108.0","   8.0","   3.0","   0.0","  10.0","   0.0","   4.0","   0.0","  22.0","   0.0","   4.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","  11.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  25.0","  17.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  21.0","   0.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  72.0","   0.0","   0.0","   0.0","   0.0","  42.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","  97.0","   0.0","   8.0","   4.0","   0.0","  31.0","  21.0","   0.0","   0.0","   2.0","   0.0","   0.0"," 263.0","   6.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   2.0","  16.0","   0.0","   2.0"
"1190.0",NA,NA," 134.8","   0.0","   0.0","   0.0"," 238.0","  13.0","   6.0","   0.0","   6.0","   0.0","   0.0","   0.0","  23.0","   0.0","   4.0","   0.0","   0.0","   4.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  29.0","   9.0","   4.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   7.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  23.0","   0.0","   0.0","   0.0","   0.0","  19.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0"," 172.0","   4.0","   3.0","   3.0","   0.0","  12.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0"," 187.0","  13.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   4.0","   0.0","   1.0","  13.0","   0.0","   1.0"
"1405.0",NA,NA," 161.8","   0.0","   0.0","   0.0"," 199.0","  26.0","   8.0","   2.0","  12.0","   0.0","  10.0","   0.0","   8.0","   0.0","   5.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   2.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   9.0","  11.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","  15.0","  19.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  84.0","   0.0","   0.0","   0.0","   0.0","  88.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","  46.0","   3.0","   8.0","   3.0","   0.0","  14.0","  21.0","   0.0","   0.0","   6.0","   0.0","   0.0"," 163.0","   5.0","   1.0","   8.0","   0.0","   2.0","   1.0","   2.0","   0.0","   3.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   1.0","  11.0","   0.0","   3.0"
"1502.0",NA,NA," 173.8","   0.0","   0.0","   0.0","  98.0","   9.0","   4.0","   2.0","   8.0","   0.0","   3.0","   0.0","  18.0","   0.0","  21.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   9.0","  18.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","  10.0","  25.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  25.0","   0.0","  15.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  76.0","   0.0","   0.0","   0.0","   0.0","  77.0","   0.0","   0.0","   0.0","   0.0","  24.0","   0.0","  32.0","   1.0","  12.0","   2.0","   0.0","  27.0","  13.0","   0.0","   0.0","   3.0","   0.0","   0.0"," 147.0","   6.0","   0.0","   0.0","   1.0","   0.0","   2.0","   1.0","   0.0","   3.0","   3.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   3.0","   0.0","   0.0","  20.0","   0.0","   0.0"
