"sample_name","depth","Hagenia","Acalypha","Aerva type","Aidia-type micrantha","Alchemilla t.","Allophylus t.","Amaranthaceae undif.","Ambrosieae","Aningeria-type","Anthospermum","Apiaceae undif.","Apodytes dimidiata","Artemisia","Asteroideae undif.","Boscia","Brassicaceae","Canthium","Celastraceae undif.","Celosia type","Celtis","Cichorieae","Clematis-type","Combretaceae","Commiphora","Convolvulaceae","Corbichonia-type decumbens","Cupressaceae","Cussonia","Cyperaceae","Digera-type muricata","Diospyros/Euclea t.","Dodonaea","Ekebergia","Erica t.","Euphorbia t.","Faboideae Undif.","Hypoestes t.","Ilex","Indeterminable","Jatropha/Croton","Justicia t.","Lannea","Lepisanthes","Macaranga","Monoletes","Morella","Oldenlandia","Olea t.","Poaceae","Podocarpus","Prunus t.","Psilotrichum t.","Pterolobium","Rapanea","Ricinus","Rubiaceae undif.","Rumex t.","Salvadora","Schefflera","Searsia","Solanum","Spiniluma-type oxyacantha","Syzygium t.","Teclea","Trema","Trichodesma","Triletes","Typha","Urtica t.","Vernonieae","Zanthoxylum","thickness"
NA," 2"," 6"," 0"," 1"," 0"," 0"," 0"," 3"," 1"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 1"," 0"," 0"," 0","30"," 0","29"," 0"," 3"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 7"," 2"," 0"," 0"," 0"," 1"," 4"," 0"," 0"," 4","27","66"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 2"
NA,"25"," 7"," 1"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0","12"," 0","34"," 0"," 3"," 1"," 0"," 7"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","13","84","80"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"
NA," 50","  7","  5","  1","  0","  0","  0","  2","  0","  0","  1","  3","  0","  0","  1","  0","  0","  0","  0","  0"," 14","  0","  0","  3","  5","  0","  0","  9","  0"," 15","  0","  3","  5","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"," 15"," 96","122","  0","  0","  0","  0","  0","  0","  2","  0","  1","  3","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  2"
NA," 75"," 11","  1","  0","  0","  0","  0","  7","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  1","  0","  0","  0","  3","  0"," 57","  0","  1","  0","  0","  1","  2","  0","  2","  0","  1","  0","  0","  0","  0","  0","  5","  2","  0"," 13","110","118","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0","  1","  0","  1","  9","  0","  0","  0","  2"
NA,"100","  9","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  4","  0","  0","  2","  0","  0","  0"," 24","  0"," 70","  0","  1","  0","  0","  0","  0","  0","  1","  0","  8","  0","  0","  0","  0","  0","  7","  0","  0"," 24","170","274","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  2"
NA,"125","  7","  4","  5","  0","  0","  0","  5","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  2","  0","  0","  3","  0","  0","  0","  8","  0","153","  0","  7","  4","  0","  2","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0"," 11","  1","  0"," 11","168","114","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  1","  0","  0","  0","  1","  8","  0","  0","  0","  2"
NA,"150"," 12","  0","  0","  0","  0","  0","  9","  0","  0","  0","  3","  0","  0","  6","  0","  0","  0","  0","  0","  3","  0","  0","  1","  0","  0","  0","  9","  0"," 56","  0","  3","  6","  0","  3","  3","  0","  2","  1","  2","  0","  0","  0","  0","  0","  8","  0","  0"," 13"," 83"," 71","  0","  0","  0","  0","  2","  0","  1","  0","  0","  1","  0","  0","  1","  0","  0","  0","  1","  3","  0","  0","  0","  2"
NA,"175","  4","  2","  0","  0","  1","  1","  5","  0","  1","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  5","  0","  1","  5","  0","  0","  0","  8","  0"," 96","  0","  4","  2","  0","  6","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  4","  1","  0"," 23","146"," 66","  0","  0","  0","  0","  0","  0","  3","  0","  2","  1","  0","  0","  1","  0","  0","  0","  3","  3","  0","  2","  0","  2"
NA,"200","  3","  1","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  1","  0","  1","  0","  0","  0","  2","  0"," 23","  0","  6","  2","  0","  2","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  1","  0","  0"," 32","110"," 75","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  1","  1","  0","  0","  1","  3","  0","  0","  0","  2"
NA,"225","  3","  2","  0","  0","  0","  0"," 10","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  1","  0","  6","  0","  1","  2","  2","  1","  0","  2","  0"," 41","  0"," 12","  0","  0","  3","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  3","  1","  0"," 40","121"," 85","  0","  0","  0","  0","  0","  0","  1","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  2"
NA,"250","  1","  0","  1","  0","  0","  0","  6","  0","  0","  1","  0","  0","  0","  4","  0","  0","  0","  0","  1","  6","  0","  0","  1","  0","  0","  0","  4","  0"," 31","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0"," 36"," 99","133","  0","  0","  0","  0","  1","  1","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2"
NA,"275",NA,"  4","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  5","  0","  2","  0","  0","  0","  0","  1","  0"," 65","  0","  9","  1","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0"," 20","128","123","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  2"
NA,"300","  5","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  1","  0","  1","  1","  0","  0"," 12","  0"," 24","  0","  3","  3","  0","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0"," 15"," 82"," 71","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  4","  0","  0","  0","  2"
NA,"325","  2","  0","  0","  0","  0","  0","  5","  0","  0","  0","  2","  0","  0","  9","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0"," 21","  0"," 38","  0","  1","  4","  0","  8","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  8","  1","  0"," 14","116","132","  0","  0","  0","  0","  0","  3","  1","  0","  2","  4","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  1","  2"
