"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calluna","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Filipendula t.","Fraxinus","Gentianaceae undif.","Hedera","HippophaÃ«","Hydrocotyle","Juglans","Lamiaceae undif.","Lotus t.","Lysimachia","Lythrum","Mercurialis","Myriophyllum alterniflorum t.","Nuphar","Nymphaea","Olea t.","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potentilla t.","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Secale","Solanaceae undif.","Sparganium","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianaceae undif.","Vitis"
"374",NA,NA," 35","  4","  0","  0","  0"," 13","  4","  0","  4","  0","  5","  2","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  6","  2"," 77","  0","  0","  1","  0","  0","  0"," 10","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  7","  1","  1","  0","  0","114","  0","  2","  0"," 13","  2","  8","  0","  0"," 41","  0","  0","  0","  0","  0","  1"," 55","  0","  0","  0","  0","  0","  0"," 17","  2","  0","  0","  1","984","  0","  0","  0","  0"
"495",NA,NA," 45","  6","  0"," 12","  0"," 12","  3","  0","  3","  0","  0","  3"," 11","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  3","  0","221","  0","  0","  0","  0","  0","  0"," 17","  0","  7","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  2","  0","  0","  0","  0"," 88","  1","  0","  0"," 10","  2","  0","  0","  0","112","  2","  1","  0","  0","  2","  2","  6","  0","  0","  0","  0","  0","  0"," 36","  0","  1","  0","  2","340","  0","  0","  0","  0"
"555",NA,NA," 50","  3","  1","  0","  0"," 23","  1","  0","  4","  0","  0","  0"," 16","  0","  1","  0","  0","  0","  4","  0","  0","  0","  0","  1","  0","  1","  0","298","  0","  0","  0","  0","  0","  0"," 21","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 65","  0","  2","  1","  8","  0","  0","  0","  0","143","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0"," 40","  1","  0","  0","  0","110","  0","  0","  0","  1"
"615",NA,NA," 55"," 13","  2","  2","  1"," 23","  2","  0","  3","  0","  1","  2"," 12","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  7","  0","121","  0","  0","  0","  0","  3","  0"," 27","  0","  8","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  8","  0","  0","  0","  0"," 63","  0","  1","  0","  6","  1","  0","  0","  0","119","  2","  0","  0","  0","  0","  1","  2","  0","  1","  0","  0","  0","  0"," 23","  0","  1","  0","  0","541","  0","  0","  0","  0"
"676",NA,NA," 60"," 12","  1","  0","  0"," 24","  2","  0","  2","  0","  1","  0"," 22","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 10","  0","290","  0","  0","  2","  0","  0","  0"," 20","  1","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0"," 79","  1","  1","  0","  6","  0","  0","  0","  0","108","  4","  0","  0","  0","  2","  0","  5","  0","  0","  0","  0","  0","  0"," 37","  0","  0","  0","  3","448","  0","  0","  0","  0"
"796",NA,NA," 70"," 18","  1","  0","  0","  5","  4","  1","  5","  0","  5","  0","  1","  0","  3","  0","  0","  0","  2","  0","  0","  0","  0","  2","  0","  1","  3","161","  0","  0","  0","  0","  1","  0"," 10","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","128","  0","  0","  2","  4","  1","  2","  0","  0"," 56","  2","  1","  0","  0","  1","  0"," 26","  0","  0","  0","  0","  0","  0"," 22","  0","  0","  3","  1","954","  0","  0","  0","  0"
"857",NA,NA," 75","  6","  0","  0","  0","  5","  3","  1","  3","  0","  2","  4","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","119","  0","  0","  2","  0","  0","  0"," 21","  2","  1","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0"," 20","  2","  0","  0","  0"," 84","  1","  1","  0","  6","  0","  4","  0","  0"," 92","  2","  0","  0","  0","  1","  0"," 23","  0","  0","  0","  0","  0","  0"," 48","  0","  2","  1","  1","633","  0","  0","  0","  0"
" 953",NA,NA,"  83","  11","   1","   8","   0","  14","   0","   1","   0","   0","   2","   5","  21","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   8","   1","  35","   0","   0","   0","   0","   0","   0","  21","   0","   4","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   2","  63","   1","   3","   0","   8","   3","   1","   0","   0"," 114","   1","   0","   0","   0","   1","   0","   4","   0","   1","   0","   0","   0","   0","  43","   0","   0","   0","   0","1532","   0","   0","   0","   0"
"1037",NA,NA,"  90","   7","   0","   2","   0","  12","   3","   0","   2","   0","   1","   2","   5","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   7","   0"," 235","   0","   0","   0","   0","   0","   0","  14","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   5","   0","   0","   0","   0","  75","   0","   1","   0","  10","   4","   0","   0","   0","  87","   1","   0","   0","   0","   0","   2","  32","   0","   0","   0","   0","   0","   0","  39","   0","   1","   2","   0"," 435","   0","   0","   0","   1"
"1158",NA,NA," 100","   7","   0","   2","   0","   9","   5","   0","   4","   0","   0","   5","  33","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","  13","   0","  50","   0","   0","   2","   0","   0","   0","  25","   0","   4","   0","   0","   0","   0","   0","   0","   0","   3","   3","   0","   0","   0","  15","   0","   0","   0","   0","  65","   0","   3","   0","   8","   1","   0","   0","   0"," 116","   1","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","  69","   0","   0","   0","   0"," 560","   0","   0","   0","   0"
"1279",NA,NA," 110","   8","   0","  10","   0","   8","   4","   0","   5","   0","   0","   1","  16","   0","   4","   1","   1","   0","   4","   0","   1","   0","   0","   1","   1","  14","   0","  18","   0","   0","   0","   0","   0","   0","  32","   0","   7","   0","   0","   0","   0","   0","   2","   0","   4","   4","   0","   0","   0","  27","   0","   0","   0","   0","  60","   0","   1","   0","   9","   0","   0","   0","   0"," 106","   1","  10","   0","   0","   1","   0","  11","   0","   0","   0","   0","   0","   0","  56","   0","   1","   2","   0"," 279","   1","   0","   0","   0"
"1339",NA,NA," 115","  10","   1","  26","   1","   5","   0","   0","   1","   0","   0","   3","  28","   0","   1","   0","   0","   0","   4","   0","   1","   0","   0","   1","   0","  10","   2","  44","   0","   0","   1","   0","   1","   0","  52","   0","   8","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   5","   0","  30","   1","   0","   0","   0","  88","   1","   0","   0","   8","   1","   0","   0","   0","  97","   3","   0","   0","   0","   2","   0","  12","   0","   0","   0","   0","   0","   0","  58","   1","   0","   0","   0","  83","   0","   0","   0","   1"
"1399",NA,NA," 120","  10","   0","  30","   0","   0","   3","   0","   2","   0","   0","   3","   7","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   1","   0","  10","   1"," 113","   0","   0","   1","   0","   0","   0","  38","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  27","   1","   0","   0","   0","  76","   2","   1","   0","   5","   0","   0","   0","   0"," 116","   0","   0","   0","   0","   0","   1","   8","   0","   1","   0","   0","   0","   0","  28","   0","   0","   0","   0","  89","   0","   0","   0","   0"
"1580",NA,NA," 135","   5","   1","  30","   0","   6","   3","   0","   3","   0","   1","   2","  20","   0","   1","   1","   0","   0","   8","   0","   0","   0","   0","   0","   1","   3","   2"," 129","   0","   2","   1","   0","   0","   0","  39","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  17","   1","   0","   0","   0","  46","   0","   1","   0","   8","   1","   1","   0","   0"," 118","   4","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","  24","   0","   0","   0","   2"," 232","   0","   0","   0","   0"
"1761",NA,NA," 150","  26","   1","   0","   0","   1","   4","   0","   1","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","  26","   0","   0","   1","   0","   1","   0","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 114","   0","   0","   0","  11","   0","   3","   0","   0","  40","   0","   1","   0","   0","   1","   2","   5","   0","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0"," 171","   0","   0","   0","   0"
"1882",NA,NA," 160","  14","   0","  10","   0","   1","   5","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   1","   3"," 127","   0","   1","   2","   0","   0","   1","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"," 157","   0","   1","   0","  12","   1","   2","   0","   0","  59","   1","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 635","   0","   0","   0","   0"
"2002",NA,NA," 170","  15","   0","   4","   0","   2","   0","   1","   3","   0","   1","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   3"," 123","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"," 120","   0","   0","   0","   8","   0","   2","   0","   0","  42","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 287","   0","   0","   0","   0"
"2123",NA,NA," 180","   6","   0","  38","   1","  14","   6","   0","   6","   0","   0","   1","   9","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   4","  69","   0","   0","   1","   0","   0","   0","  20","   1","   7","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2","   0","   5","   0","   0","   0","   0","  75","   0","   0","   0","   6","   0","   0","   0","   0","  80","   2","   0","   0","   0","   2","   2","   7","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0"," 318","   0","   0","   0","   0"
"2244",NA,NA," 190","   3","   0","  10","   2","   8","   4","   0","   5","   0","   2","   1","   8","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","   2","   0","   4","   5","  84","   0","   0","   0","   0","   0","   0","  21","   0","  10","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1"," 102","   2","   1","   0","  12","   0","   0","   0","   0","  99","   0","   0","   0","   1","   2","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 190","   0","   0","   0","   0"
