"Depth (cm) [cm]","Acacia t.","Aerva type","Aizoaceae t.","Amaranthaceae undif.","Anthospermum","Apiaceae undif.","Artemisia","Asteroideae undif.","Avicennia","Blepharis","Boraginaceae undif.","Brassicaceae","Calligonum","Cardueae undif.","Caryophyllaceae undif.","Cassia","Cedrus","Celastraceae undif.","Celosia type","Centaurea","Cichorieae","Cissus t.","Coccinia","Cocculus","Combretaceae","Commiphora","Convolvulaceae","Cupressaceae","Cynomorium","Cyperaceae","Dipterygium glaucum","Dodonaea","Echium t.","Ephedra","Erica t.","Eriocaulon","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fagonia","Fern","Galium t.","Heliotropium","Hygrophila","Indeterminable","Indigofera","Justicia t.","Kohautia","Lamiaceae undif.","Linum t.","Lotus t.","Maerua","Moltkiopsis","Monoletes","Monsonia","Morella","Nyctaginaceae","Petaloid monocot","Phyllanthus undif.","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Polygala","Psilotrichum t.","Resedaceae undiff.","Rhizophora","Ricinus","Rubiaceae undif.","Rumex t.","Salix","Salvadora","Sapotaceae undif.","Searsia","Securinega  t.","Solanum","Spergularia t.","Tamarix","Tribulus","Triletes","Typha","Unknown","Urtica t.","Verbena t.","Vernonieae","Ziziphus/Paliurus","Zygophyllum t."
"170","  0"," 16","  1","215","  0","  0"," 43"," 39","  0","  8","  0","  4"," 13","  0","  0","  6","  0","  0","  9","  2","  0","  0","  0","  0","  1","  0","  5","  1","  0","273","  5"," 10","  0","  3","  0","  1"," 34","  1","  0","  3","  0","  0","  6","  0","  5","  0","  0","  0","  1","  0","  0","  1","  1","  0","  0","  0","  2","  3","  0","  0","  0","  0","202","  1","  1","  0","  1","  4","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  9","  1","  8","  6","  0","  0","  8","  1","  1"
"180","  2","  5","  0","159","  0","  0"," 18"," 32","  0","  0","  0","  6","  2","  0","  0","  2","  0","  0","  2","  1","  2","  0","  0","  0","  3","  0","  4","  0","  0","153","  6","  5","  0","  2","  2","  0"," 28","  0","  1","  1","  0","  0","  4","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","255","  1","  0","  0","  0","  2","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  9","  1"," 13","  7","  1","  0","  6","  1","  0"
"190","  2","  8","  0","228","  0","  0"," 32"," 45","  3","  0","  0","  3"," 11","  2","  0","  1","  0","  0","  5","  0","  1","  0","  1","  0","  2","  0","  1","  0","  0","192","  2","  8","  0","  4","  0","  0"," 23","  0","  3","  1","  0","  1","  1","  0"," 10","  0","  0","  0","  2","  0","  0","  0","  0","  1","  1","  0","  1","  2","  0","  2","  0","  0","198","  2","  0","  0","  0","  2","  0","  0","  5","  0","  0","  0","  1","  1","  0","  0","  0","  4","  0"," 12","  2","  0","  0","  4","  0","  0"
"200","  2","  3","  0","192","  0","  0"," 23"," 18","  5","  3","  0","  6","  6","  1","  0","  1","  0","  0","  0","  0","  6","  0","  0","  0","  1","  0","  1","  0","  0"," 89","  3"," 11","  1","  3","  1","  0"," 13","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  3","  0","  1","  0","  0"," 90","  1","  0","  0","  0","  4","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  8","  0","  9","  5","  1","  0","  2","  0","  1"
"210","  1","  4","  0","124","  0","  0"," 15"," 15","  3","  1","  2","  4","  9","  1","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  2","  0","  0","121","  3","  4","  0","  3","  0","  0"," 22","  2","  0","  0","  0","  0","  2","  0","  5","  0","  0","  1","  2","  0","  0","  0","  0","  0","  2","  1","  2","  1","  0","  0","  0","  0","106","  0","  0","  0","  0","  4","  0","  0","  5","  2","  0","  0","  0","  0","  0","  0","  0","  7","  0","  9","  2","  0","  0","  0","  0","  0"
"220","  0","  0","  0","113","  0","  1"," 11"," 12","  9","  5","  0","  3","  8","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  1","  4","  0","  0","105","  0","  3","  0","  1","  0","  0"," 14","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 83","  0","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  5","  5","  0","  0","  1","  0","  1"
"230","  1","  4","  1","132","  0","  0"," 26"," 14","  6","  0","  2","  1","  9","  0","  1","  0","  0","  0","  0","  0","  3","  0","  0","  0","  3","  0","  2","  0","  0"," 65","  1","  5","  0","  4","  0","  0"," 21","  0","  0","  0","  0","  0","  0","  0","  9","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 74","  1","  1","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  7","  0"," 10","  3","  0","  1","  0","  0","  1"
"240","  0","  0","  4","121","  0","  0"," 18"," 18"," 10","  4","  0","  1","  7","  0","  1","  2","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  1","  0","  0"," 72","  0","  7","  0","  0","  0","  0"," 16","  0","  1","  1","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 63","  1","  0","  0","  0","  5","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  5","  0","  9","  5","  0","  0","  0","  0","  1"
"250","  1"," 18","  3","159","  0","  0"," 29"," 11"," 13","  7","  1","  2","  5","  1","  0","  1","  1","  0","  0","  0","  3","  0","  0","  0","  6","  0","  1","  0","  0"," 93","  1","  5","  0","  3","  0","  0"," 17","  0","  0","  0","  1","  0","  2","  1","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0"," 44","  0","  0","  0","  3","  7","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0","  8","  5","  0","  0","  0","  1","  0"
"260","  1","  1","  2","107","  0","  1"," 39"," 16"," 18","  6","  2","  1","  6","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  2","  0","  0"," 51","  0","  0","  0","  1","  0","  0","  1","  0","  0","  1","  0","  0","  1","  0","  9","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0"," 46","  0","  0","  0","  0","  6","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  6","  0","  8","  5","  2","  0","  1","  0","  0"
