"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Aerva type","Aizoaceae t.","Allophylus t.","Amaranthaceae undif.","Annonaceae","Arecaceae undif.","Asteroideae undif.","Balanites","Barleria","Blepharis","Borreria t.","Boscia","Capparis","Cassia","Celosia type","Celtis","Cichorieae","Clematis-type","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Convolvulaceae","Cordia","Crossopteryx","Cucumis","Cucurbitaceae undif.","Cyperaceae","Dichrostachys","Diospyros/Euclea t.","Euphorbia t.","Faboideae Undif.","Fern","Ficus","Grewioideae","Hydrocharitaceae","Hyphaene t.","Indeterminable","Indigofera","Ipomoea","Justicia t.","Lamiaceae undif.","Lannea","Lythraceae undif.","Maerua","Malva undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Nyctaginaceae","Nymphaea","Onagraceae","Petaloid monocot","Phyllanthus undif.","Piliostigma","Poaceae","Polygala","Polygonum t.","Portulacaceae t.","Salvadora","Sapindaceae undif.","Sida","Solanaceae undif.","Spergularia t.","Tephrosia","Tribulus","Triletes","Typha","Vernonieae","Ziziphus/Paliurus"
"  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  3","  0","  0","  1","  0","  0","  0","  2","  0","  0","  1","  1","  2","  0"," 10","  0","  0","  1","  0","  1","  0","  2","131","  0","  0","  2","  2","  0","  1","  0","  0","  0"," 12","  1","  0","  0","  4","  0","  0","  0","  0","  5","  0","  0","  1"," 27","  0","  3","  0","  1","271","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0"
" 51.76724","  5.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  3.00000","  0.00000","  0.00000","  1.00000","  1.00000","  0.00000","  0.00000","  0.00000","  0.00000","  2.00000","  1.00000","  0.00000","  0.00000","  0.00000","  0.00000","  1.00000","  1.00000","  8.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 32.00000","  0.00000","  0.00000","  0.00000","  3.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 18.00000","  1.00000","  0.00000","  0.00000","  2.00000","  0.00000","  0.00000","  2.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 12.00000","  0.00000","  4.00000","  0.00000","  0.00000","221.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","  3.00000","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"
"113.8879"," 11.0000","  0.0000","  2.0000","  0.0000","  1.0000","  0.0000","  5.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000","  9.0000","  1.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000"," 12.0000","  1.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  1.0000"," 47.0000","  0.0000","  0.0000","  1.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 14.0000","  1.0000","  0.0000","  0.0000","  4.0000","  0.0000","  0.0000","  1.0000","  0.0000","  4.0000","  1.0000","  0.0000","  0.0000"," 14.0000","  0.0000","  3.0000","  1.0000","  1.0000","181.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  1.0000","  1.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  1.0000"
"155.3017"," 15.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  3.0000","  0.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  8.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000"," 40.0000","  0.0000","  0.0000","  2.0000","  2.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000"," 12.0000","  2.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  0.0000","  1.0000","  8.0000","  0.0000","  5.0000","  0.0000","  0.0000","155.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  2.0000","  0.0000","  0.0000"
"217.4224"," 21.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000"," 11.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 28.0000","  0.0000","  0.0000","  0.0000","  4.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000"," 22.0000","  0.0000","  0.0000","  0.0000","  4.0000","  0.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  0.0000","  1.0000","  6.0000","  0.0000","  4.0000","  0.0000","  0.0000","139.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"258.8362"," 25.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  7.0000","  1.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  1.0000"," 26.0000","  0.0000","  0.0000","  1.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 20.0000","  0.0000","  0.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  5.0000","  0.0000","  2.0000","  0.0000","  0.0000","148.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"300.25"," 29.00","  1.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  3.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  5.00","  0.00","  0.00","  0.00","  0.00","  1.00","  1.00","  1.00"," 41.00","  0.00","  0.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  1.00"," 20.00","  2.00","  0.00","  1.00","  2.00","  0.00","  0.00","  0.00","  0.00","  2.00","  1.00","  0.00","  0.00","  4.00","  0.00","  1.00","  0.00","  0.00","140.00","  1.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00","  0.00","  1.00","  0.00","  0.00","  0.00","  0.00","  0.00"
"362.3707"," 35.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  2.0000"," 57.0000","  0.0000","  0.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 14.0000","  2.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  3.0000","  0.0000","  0.0000","156.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"424.4914"," 41.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  3.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  5.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 29.0000","  0.0000","  0.0000","  0.0000","  4.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 12.0000","  1.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  1.0000","  0.0000","  3.0000","  0.0000","  0.0000","  1.0000","  2.0000","  0.0000","  1.0000","  0.0000","  0.0000","120.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"
"465.9052"," 45.0000","  2.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  7.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 23.0000","  0.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  6.0000","  0.0000","  0.0000","  0.0000","  2.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  0.0000","  3.0000","  0.0000","  2.0000","  1.0000","  0.0000","134.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  0.0000","  1.0000","  0.0000","  1.0000","  0.0000","  0.0000"
