"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Aizoaceae t.","Amaranthaceae undif.","Asteroideae undif.","Balanites","Blepharis","Borreria t.","Boscia","Capparis","Cassia","Celtis","Cichorieae","Cleome","Cocculus","Combretaceae","Commiphora","Convolvulaceae","Crossopteryx","Cucurbitaceae undif.","Cyperaceae","Euphorbia t.","Faboideae Undif.","Fern","Ficus","Hyphaene t.","Indeterminable","Indigofera","Ipomoea","Lamiaceae undif.","Lannea","Maerua","Mitracarpus","Mitragyna/Hallea","Nyctaginaceae","Nymphaea","Petaloid monocot","Piliostigma","Poaceae","Polygonum t.","Sapotaceae undif.","Solanaceae undif.","Spergularia t.","Tephrosia","Tribulus","Typha","Utricularia","Ziziphus/Paliurus"
NA,"  0","  0","  1","  0","  5","  8","  1","  0","  0","  0","  1","  2","  0","  1","  1","  1","  3","  0","  1","  0","  1"," 94","  1","  3","  0","  0","  0","  5","  4","  0","  1","  0","  0","  3","  0","  0","102","  3","  1","168","  0","  0","  1","  0","  1","  0","  0","  0","  0"
NA," 5"," 0"," 0"," 0"," 1"," 2"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 1","29"," 0"," 1"," 0"," 0"," 0"," 2"," 3"," 1"," 2"," 0"," 0"," 1"," 1"," 1","28"," 1"," 1","71"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,"10"," 1"," 1"," 0"," 2"," 2"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 1"," 0"," 0","35"," 0"," 1"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0","25"," 1"," 0","55"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
NA,"15"," 0"," 0"," 0"," 1"," 2"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 1"," 0"," 1"," 1"," 1"," 0"," 0"," 0","30"," 1"," 2"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 0"," 1"," 1"," 0"," 0","29"," 2"," 0","69"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"
NA,"20"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 1","22"," 0"," 2"," 0"," 0"," 0"," 2"," 1"," 0"," 1"," 0"," 0"," 1"," 1"," 1","23"," 0"," 1","66"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 1"
NA,"25"," 0"," 0"," 0"," 1"," 4"," 1"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","28"," 0"," 4"," 0"," 0"," 0"," 3"," 3"," 1"," 2"," 0"," 1"," 2"," 1"," 0","32"," 3"," 0","69"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"
NA,"30"," 0"," 1"," 1"," 1"," 1"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 1"," 0"," 0","25"," 0"," 1"," 1"," 0"," 0"," 3"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 1","32"," 1"," 0","72"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"
NA,"35"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 1"," 1"," 0"," 1"," 0"," 2"," 1"," 0"," 2"," 0"," 0"," 0"," 1","22"," 0"," 3"," 0"," 0"," 0"," 3"," 1"," 0"," 1"," 0"," 0"," 2"," 1"," 0","27"," 0"," 0","67"," 1"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"
NA,"40"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 1"," 0"," 0"," 3"," 0"," 0"," 0"," 0","28"," 1"," 1"," 0"," 0"," 0"," 2"," 1"," 0"," 1"," 0"," 1"," 0"," 2"," 1","26"," 1"," 0","44"," 0"," 0"," 0"," 0"," 0"," 2"," 1"," 0"," 0"
NA,"45"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0","31"," 0"," 3"," 0"," 0"," 0"," 4"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 0","50"," 0"," 0","67"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 1"," 0"
