"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Buxus","Calligonum","Calluna","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Centranthus t.","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corydalis","Corylus","Cotinus coggygria","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Datisca cannabina","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fontanesia","Frangula","Fraxinus","Galium t.","Gentiana t.","Geranium","Hedera","HippophaÃ«","Hippuris","Hydrocharitaceae","Hypecoum","Hypericum undif.","Ilex","Juglans","Juncaceae","Lamiaceae undif.","Lemnaceae","Linum t.","Liquidambar","Loranthus","Lysimachia","Lythrum","Menyanthes","Mercurialis","Morella","Morus","Musci","Myriophyllum spicatum/verticillatum t.","Nuphar","Nymphaea","Nymphoides","Olea t.","Onagraceae","Ononis t.","Papaver t.","Periploca","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Pterocarya","Punica granatum","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhododendron","Roemeria","Rosa t.","Rosaceae undif.","Rumex t.","Ruta","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae t.","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Theligonum","Tilia","Trapa natans","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Verbena t.","Viburnum","Viscum","Vitis","Zea"
NA,NA,NA,"1430","  63","   0"," 999","   0","  42","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1"," 151","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0"," 469","  22","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0"," 185","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","  53","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  27","   0","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0"
NA,NA,NA,"1450"," 110","   0"," 999","   0","  12","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  78","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  11","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 344","   8","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 265","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   5","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0"
NA,NA,NA,"1465","  79","   0"," 999","   0","  15","   2","   0","   0","   1","   0","  19","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  48","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 158","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0"," 156","   0","   0","   0","  16","   1","   0","   0","   0","   0","   0","   0","   0","   0","  50","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  18","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0"
NA,NA,NA,"1440","  17","   0"," 999","   0"," 108","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 142","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  29","   0","   0","   3","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0"," 192","  37","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 107","   0","   0","   1","   6","   0","   0","   0","   0","   0","   1","   0","   0","   0","  66","   1","   0","   0","   0","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","  21","   0","   0","   0","   0","   0","   5","   0"
NA,NA,NA,"880","  9","  0","  0","  0","149","  1","  0","  0","  1","  0","  0","  0","  2","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 26","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  3","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0"," 82"," 37","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","242","  0","  7"," 20"," 16","  2","  0","  0","  0","  0","  0","  0","  0","  0"," 91","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  9","  0"
NA,NA,NA,"900"," 10","  0","  0","  0","119","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 88","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  6","  0","  0","  8","  0","  0","  0","  1","  0","  0","  0"," 69"," 11","  0","  0","  0","  0","  0","  7","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","224","  0","  2"," 22"," 19","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 63","  0","  1","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  7","  0","  0","  0"," 14","  2","  0","  1","  0","  0","  9","  0"
NA,NA,NA,"640"," 11","  0","  0","  0","171","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 50","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 18","  0","  0","  7","  0","  0","  4","  0","  0","  0","  2","  0","  1","  0"," 33","  7","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","146","  0","  0","  5","  9","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 53","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 22","  2","  0","  0","  0","  0"," 10","  0"
NA,NA,NA,"940"," 10","  1","  0","  0","152","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","102","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  2","  0","  0"," 11","  0","  0","  0","  1","  0","  0","  0"," 85"," 20","  0","  0","  0","  0","  0","  6","  0","  0","  1","  4","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","353","  0","  2"," 17","  8","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 95","  1","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  1","  0","  5","  0"
NA,NA,NA,"920","  7","  1","  0","  0"," 68","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 97","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  1","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0"," 58","  7","  1","  0","  0","  0","  0","  4","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","315","  1","  0"," 14"," 22","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 54","  3","  0","  0","  0","  0","  1","  0","  6","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  2","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  3","  0"
NA,NA,NA,"620","  5","  0","  0","  0","252","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0"," 97","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 34","  0","  0","  8","  0","  0","  9","  0","  0","  0","  2","  0","  0","  0"," 42"," 12","  0","  0","  0","  0","  0"," 37","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","251","  0","  1"," 14"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 93","  0","  0","  0","  1","  0","  1","  0"," 15","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0"," 19","  0","  0","  0","  1","  0","  5","  0"
