"Depth (cm)","Sample code","Abies","Acacia t.","Acalypha","Acanthaceae undif.","Afzelia","Agavaceae","Aizoaceae t.","Alchornea","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Amphimas","Anthoceros t.","Antidesma t.","Apiaceae undif.","Araliaceae undif.","Arecaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Balanites","Barleria","Betula","Bignoniaceae undif.","Blepharis","Blighia","Bombax","Boraginaceae undif.","Borreria t.","Boscia","Bosqueia","Brassicaceae","Bridelia","Burkea","Cadaba","Calligonum","Calycobolus-type","Canthium","Capparaceae undif.","Carpinus","Caryophyllaceae undif.","Cassia","Cathaya","Caylusea","Celastraceae/Hippocrateaceae","Celtis","Centaurea","Chrozophora","Chrysobalanus t.","Cichorieae","Cissus t.","Cistaceae","Cleome","Combretaceae","Commiphora","Connaraceae","Convolvulaceae","Corylus","Crossopteryx","Crudia","Cuviera","Cyperaceae","Detarium","Dichrostachys","Diodia","Diospyros/Euclea t.","Dodonaea","Drypetes molunduana","Elaeis","Entada","Ephedra","Erica t.","Erodium","Eucommia","Eugenia/Syzygium","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fungi","Gaertnera","Geraniaceae undif.","Grewioideae","Gymnocarpos","Heliotropium","Hygrophila","Hymenocardia","Hyphaene t.","Hypoestes t.","Ilex","Indeterminable","Indigofera","Isoberlinia","Ixora","Jasminum","Jatropha/Croton","Justicia/Monechma","Kedrostis","Lamiaceae undif.","Lannea","Leea","Lophira","Macaranga","Maerua","Mallotus","Malva undif.","Manilkara","Marker, added","Marker, found","Mitracarpus","Monoletes","Morelia","Morella","Musci","Mussaenda","Myriophyllum undif.","Nauclea/Mitragyna","Neurada","Nitraria","Nyctaginaceae","Nymphaea","Olea t.","Paramacrolobium","Pavetta","Petaloid monocot","Phillyrea","Phoenix t.","Phyllanthus undif.","Phytolacaceae","Picea","Piliostigma","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Polygala","Polygonum t.","Ponteridaceae","Potamogeton","Proteaceae","Pterocarya","Pycnanthus","Quercus undif.","Ranunculaceae undif.","Rauvolfia","Rhamnaceae undif.","Rhizophora","Riccia","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Rutaceae undif.","Sabicea","Salix","Salvadora","Sanguisorba t.","Sapotaceae/Meliaceae","Schrebera","Searsia","Securinega  t.","Sesbania","Sherbournia","Sideroxylon t.","Solanum","Spergularia t.","Sterculia","Tamarindus/Cryptosepalum","Tamarix","Tetrorchidium","Thymelaeaceae undif.","Tilia","Tribulus","Triletes","Typha","Uapaca","Ulmus t.","Vigna","Virectaria","Volume","Zanthoxylum","Zygophyllum t."
"15982","108-658A-19-2, 12-16","0","3","0","1","0","0","0","3","0","0","0","95","0","0","0","0","0","0","2","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","0","0","0","2","0","0","16","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128","27000","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0"
"16033","108-658A-19-2, 64-66","0","0","0","0","0","0","0","1","1","0","0","94","0","0","0","0","0","0","6","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","111","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","50","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","0","0"
"16089","108-658A-19-3, 12-16","0","0","0","1","0","0","0","2","0","0","0","56","0","0","0","0","0","0","7","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","48","0","0","0","0","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0","43","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","57","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","123","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0"
"16139","108-658A-19-3, 90-92","0","0","0","0","0","0","0","0","1","0","0","44","0","0","0","1","0","0","3","0","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","21","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","68","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","150","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","12","0","0"
"16192","108-658A-19-4, 12-16","0","1","0","0","0","0","0","1","1","0","0","51","0","0","0","0","0","0","5","0","4","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","23","0","0","0","0","0","0","0","0","3","0","0","1","2","0","0","0","0","0","0","0","56","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","162","27000","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0","1","0","0","236","1","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","12","0","0"
"16231","108-658A-19-4, 52-54","0","0","0","0","0","0","0","1","0","0","0","40","0","1","0","0","0","0","7","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","1","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","49","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","22","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","100","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","143","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","9","0","0"
"16271","108-658A-19-4, 108-110","0","0","0","0","0","0","0","0","1","0","0","42","0","0","0","1","0","0","12","0","8","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","4","0","0","0","1","0","0","0","0","0","0","0","57","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","199","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","2","0","0","0","0","0","0","0","0","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0","0","12","0","0"
"16316","108-658A-19-5, 12-16","0","3","0","0","0","0","0","0","23","0","1","48","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","10","1","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","49","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","1","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","224","21700","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","1","1","159","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","17","0","0"
"16355","108-658A-19-5, 56-58","0","1","0","0","0","0","0","1","0","0","0","29","0","0","0","0","0","0","6","0","6","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","6","0","0","0","1","0","0","0","0","0","0","0","74","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","80","27000","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","140","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","14","0","0"
"16393","108-658A-19-5, 94-96","0","1","0","1","0","0","0","1","0","0","0","63","0","0","0","0","0","0","12","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","14","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","96","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","27000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","13","0","0"
