"Depth","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Calligonum","Caryophyllaceae undif.","Centaurea","Cyperaceae","Ephedra","Indeterminable","Pinus undif.","Plantago","Poaceae","Pollen sum","Rhizophora","Salix","Sum AP (%)","Typha"
"  8.5000"," 50.0000","  0.0000"," 78.0000","  0.0000","  0.0000"," 20.0000","  0.0000","  0.0000"," 18.0000","  0.0000"," 28.0000","  2.0000"," 26.0000"," 78.0000","301.0000","  0.0000","  0.0000","  0.0066","  2.0000"
"  9.5000"," 69.0000","  6.0000"," 51.0000","  0.0000","  0.0000","  8.0000","  0.0000","  8.0000","  2.0000","  2.0000"," 26.0000","  0.0000","  8.0000"," 53.0000","236.0000","  0.0000","  2.0000","  0.0172","  0.0000"
" 10.500"," 95.000","  0.000"," 66.000","  0.000","  0.000","  9.000","  0.000","  0.000","  9.000"," 13.000"," 42.000","  0.000","  0.000"," 40.000","276.000","  0.000","  0.000","  0.048","  2.000"
" 11.5","111.0","  0.0"," 69.0","  4.0","  0.0"," 13.0","  0.0","  0.0"," 10.0","  0.0"," 73.0","  0.0","  6.0"," 23.0","307.0","  0.0","  0.0","  0.0","  0.0"
" 12.500","118.000","  0.000"," 73.000"," 12.000","  0.000"," 15.000","  0.000","  0.000","  0.000","  3.000"," 56.000","  0.000"," 10.000"," 15.000","302.000","  0.000","  0.000","  0.011","  0.000"
" 17.5000"," 95.0000","  5.0000"," 71.0000","  0.0000","  0.0000","  7.0000","  0.0000","  0.0000"," 21.0000","  3.0000"," 51.0000","  0.0000","  0.0000"," 45.0000","301.0000","  2.0000","  0.0000","  0.0172","  0.0000"
" 24.5000"," 85.0000"," 12.0000"," 78.0000","  0.0000","  0.0000"," 17.0000","  0.0000","  0.0000"," 17.0000","  5.0000"," 48.0000","  0.0000","  0.0000"," 41.0000","308.0000","  5.0000","  0.0000","  0.0336","  0.0000"
" 33.5000"," 87.0000","  8.0000"," 70.0000","  0.0000","  0.0000","  9.0000","  0.0000","  0.0000"," 23.0000","  5.0000"," 53.0000","  0.0000","  0.0000"," 44.0000","300.0000","  2.0000","  0.0000","  0.0203","  0.0000"
" 42.5000"," 66.0000"," 11.0000"," 48.0000","  0.0000","  0.0000","  0.0000","  0.0000"," 16.0000"," 18.0000","  0.0000"," 40.0000","  5.0000","  0.0000"," 98.0000","301.0000","  0.0000","  0.0000","  0.0175","  0.0000"
" 45.5"," 94.0","  0.0"," 84.0","  0.0","  0.0"," 20.0","  0.0"," 10.0","  8.0","  0.0"," 43.0","  0.0","  0.0"," 16.0","276.0","  0.0","  0.0","  0.0","  0.0"
" 46.50"," 82.00","  0.00"," 80.00","  0.00","  4.00","  4.00","  6.00","  2.00"," 12.00","  0.00"," 22.00","  8.00","  0.00"," 68.00","300.00","  8.00","  4.00","  0.08","  0.00"
" 47.5"," 75.0","  0.0"," 44.0","  0.0","  0.0"," 18.0","  0.0"," 13.0"," 21.0","  0.0"," 55.0","  0.0","  0.0"," 60.0","286.0","  0.0","  0.0","  0.0","  0.0"
