"Depth","Age","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Calligonum","Caryophyllaceae undif.","Centaurea","Cistaceae","Cupressaceae","Cyperaceae","Ephedra","Gentianaceae undif.","Indeterminable","Nymphaea","Pinus undif.","Plantago","Poaceae","Pollen sum","Sum AP (%)"
"  1.5","  3.0","139.0","  0.0"," 82.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0"," 19.0","  0.0","  0.0","  0.0"," 36.0","302.0","  0.0"
"  5.5000000"," 19.5000000","111.0000000","  3.0000000"," 84.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000"," 12.0000000","  2.0000000","  0.0000000"," 16.0000000","  0.0000000","  0.0000000","  0.0000000"," 48.0000000","301.0000000","  0.9090909"
" 10.5000000"," 67.0000000"," 87.0000000","  2.0000000"," 64.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  9.0000000","  2.0000000","  0.0000000"," 15.0000000","  0.0000000","  0.0000000","  0.0000000"," 41.0000000","220.0000000","  0.9090909"
" 11.5000000"," 76.0000000"," 52.0000000","  0.0000000"," 76.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  0.0000000","  1.0000000","  1.0000000"," 13.0000000","  0.0000000","  0.0000000"," 22.0000000","  0.0000000","  0.0000000","  0.0000000"," 57.0000000","222.0000000","  0.4504505"
" 12.5"," 87.0"," 97.0","  0.0"," 84.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  0.0"," 20.0","  0.0","  0.0","  0.0"," 29.0","238.0","  0.0"
" 14.5","102.0","107.0","  0.0"," 74.0","  0.0","  0.0","  3.0"," 37.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 24.0","  2.0","  0.0"," 10.0"," 16.0","274.0","  0.0"
" 15.50000","112.00000"," 77.00000","  0.00000"," 65.00000","  0.00000"," 16.00000","  0.00000","  0.00000","  0.00000","  8.00000","  0.00000","  0.00000"," 16.00000","  6.00000","  0.00000"," 11.00000","  0.00000","  0.00000","  0.00000"," 14.00000","213.00000"," 10.32864"
" 17.5","171.5"," 99.0","  0.0"," 96.0","  0.0"," 12.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  0.0"," 21.0","  9.0","  0.0"," 13.0","  0.0","  0.0","  0.0"," 30.0","300.0","  6.0"
" 19.5","218.5"," 99.0","  0.0","102.0"," 10.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 16.0","  2.0","  0.0","  9.0","  0.0","  0.0","  4.0"," 32.0","291.0","  8.0"
" 21.500000","245.500000"," 88.000000","  0.000000"," 95.000000","  9.000000"," 14.000000","  0.000000","  0.000000","  0.000000","  0.000000","  0.000000","  0.000000"," 15.000000","  2.000000","  0.000000","  9.000000","  0.000000","  0.000000","  4.000000"," 30.000000","266.000000","  6.015038"
" 23.5","269.5"," 73.0","  0.0"," 73.0","  0.0"," 15.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 21.0","  2.0","  0.0"," 10.0","  0.0","  0.0","  5.0"," 39.0","303.0","  8.4"
" 26.5","275.5"," 66.0","  0.0"," 84.0","  0.0"," 15.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 19.0"," 10.0","  0.0"," 22.0","  0.0","  0.0","  0.0"," 33.0","300.0","  6.0"
" 29.5","289.5"," 63.0","  0.0"," 81.0","  0.0"," 15.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 18.0"," 10.0","  0.0"," 14.0","  0.0","  0.0","  0.0"," 48.0","299.0","  5.0"
" 31.5","315.0"," 64.0","  0.0"," 64.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 29.0","  6.0","  0.0"," 23.0","  0.0","  0.0","  0.0"," 42.0","321.0","  8.0"
" 35.5","366.0"," 75.0","  0.0"," 51.0","  0.0"," 12.0","  0.0","  0.0","  0.0"," 12.0","  0.0","  0.0"," 27.0","  8.0","  0.0","  9.0","  0.0","  0.0","  0.0"," 54.0","300.0","  7.0"
" 37.500000","391.500000"," 65.000000","  0.000000"," 61.000000","  0.000000"," 10.000000","  0.000000","  3.000000","  0.000000","  9.000000","  0.000000","  0.000000"," 14.000000","  7.000000","  0.000000"," 16.000000","  0.000000","  0.000000","  0.000000"," 19.000000","204.000000","  8.333333"
" 40.5","429.5"," 60.0","  0.0"," 69.0","  0.0"," 14.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 24.0","  7.0","  0.0"," 16.0","  0.0","  0.0","  0.0"," 42.0","302.0","  7.0"
" 46.5","506.0"," 72.0","  0.0"," 90.0","  0.0"," 15.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 18.0","  6.0","  0.0","  4.0","  0.0","  0.0","  4.0"," 57.0","300.0","  6.0"
" 51.500000","569.500000"," 87.000000","  0.000000","106.000000","  0.000000"," 13.000000","  0.000000","  0.000000","  2.000000","  0.000000","  0.000000","  0.000000"," 25.000000","  7.000000","  0.000000"," 16.000000","  0.000000","  6.000000","  4.000000"," 42.000000","308.000000","  8.441558"
" 55.5","620.5"," 72.0","  0.0"," 72.0","  0.0"," 15.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 18.0","  7.0","  0.0"," 27.0","  0.0","  0.0","  0.0"," 51.0","302.0","  6.7"
" 60.50000","684.50000"," 92.00000","  0.00000","111.00000","  0.00000"," 19.00000","  0.00000","  0.00000","  4.00000","  0.00000","  0.00000","  0.00000"," 27.00000","  9.00000","  0.00000"," 16.00000","  0.00000","  5.00000","  5.00000"," 46.00000","334.00000","  9.88024"
" 63.5","722.5","101.0","  0.0"," 66.0","  0.0"," 12.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0"," 21.0","  9.0","  0.0"," 13.0","  0.0","  3.0"," 39.0"," 37.0","298.0","  8.0"
" 70.50000","811.50000","106.00000","  0.00000"," 69.00000","  0.00000"," 10.00000","  0.00000","  0.00000","  2.00000","  0.00000","  0.00000","  0.00000"," 19.00000","  3.00000","  0.00000"," 10.00000","  0.00000","  3.00000","  8.00000"," 33.00000","263.00000","  6.08365"
" 74.5","862.5","147.0","  0.0"," 83.0"," 11.0"," 14.0","  0.0","  6.0","  3.0","  9.0","  0.0","  0.0","  6.0","  4.0","  0.0"," 11.0","  0.0","  6.0","  9.0","  6.0","300.0","  7.8"
