"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arctostaphylos","Artemisia","Asteroideae undif.","Brassicaceae","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Galium t.","Gentianaceae undif.","Hedera","Indeterminable","Juglans","Lamiaceae undif.","Lonicera","Lotus t.","Lycopodium annotinum","Onagraceae","Orchidaceae","Ostrya","Petaloid monocot","Picea","Pinus nigra/sylvestris t.","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Vaccinium","Viburnum","Viscum"
"  90",NA,NA,"  0","296","1","6","7","4","0","5","12","16","1","1","3","6","0","5","0","0","5","19","106","0","0","0","0","12","258","0","1","3","0","0","9","5","0","0","0","0","0","0","8","3","0","12","10","93","0","0","0","24","6","13","25","10","6","2","7","3","0","0","0","0","0","1","0","5","26","3","5","0","1"
" 139",NA,NA," 10","0","0","0","2","0","0","1","2","1","0","2","1","0","0","3","1","0","0","4","62","0","0","0","0","4","230","0","2","0","0","0","0","0","0","0","0","0","0","0","1","5","0","23","1","16","0","0","0","1","0","0","5","0","3","0","1","1","0","0","0","0","0","0","0","0","14","0","2","0","0"
" 187",NA,NA," 20","0","0","6","4","1","0","2","16","4","0","4","1","4","0","9","1","0","5","3","116","0","1","0","0","11","372","0","3","0","1","0","9","1","0","0","0","0","0","0","5","4","22","25","2","41","0","0","0","4","1","0","29","1","3","2","1","2","0","0","0","0","0","0","2","5","32","0","3","0","0"
" 236",NA,NA," 30","17","8","18","10","19","0","5","15","5","1","11","1","17","1","9","3","0","11","7","196","0","2","0","2","32","213","0","13","0","0","0","3","1","1","0","0","0","0","0","41","20","0","6","34","223","24","0","0","38","7","27","45","2","4","17","11","10","2","0","1","1","0","0","0","16","24","2","6","0","0"
" 285",NA,NA," 40","50","1","12","8","26","0","13","202","6","11","3","4","6","0","45","13","0","19","4","112","0","1","0","62","41","175","0","10","0","0","0","6","1","7","0","0","0","3","0","58","84","0","25","305","141","43","0","0","54","14","20","52","2","12","5","49","2","120","0","0","4","0","0","0","4","40","0","11","0","0"
" 309",NA,NA," 45","71","2","7","8","7","0","2","19","6","3","4","2","9","0","5","0","0","12","3","100","0","0","0","0","84","239","0","6","0","1","0","5","0","3","0","0","0","0","0","13","3","0","16","15","107","0","1","0","17","5","18","27","6","6","0","11","0","0","0","0","0","0","1","0","7","24","0","5","0","0"
" 405",NA,NA," 50","144","0","9","2","2","0","2","12","7","1","3","4","0","0","3","2","0","12","1","55","0","0","0","1","28","394","0","7","0","0","0","1","1","3","0","0","0","1","0","27","4","0","34","21","35","5","1","0","44","10","16","20","2","0","1","1","0","2","0","0","0","0","0","0","0","12","0","8","0","0"
" 737",NA,NA," 60","0","3","7","8","16","0","9","19","20","2","5","4","4","0","8","3","0","19","2","64","0","0","0","5","8","337","0","10","0","0","0","3","1","8","0","0","0","0","0","34","6","0","16","23","115","22","2","0","51","11","27","27","2","6","4","17","9","5","0","0","2","0","0","3","3","18","0","6","0","1"
"1070",NA,NA," 70","212","1","5","1","14","0","11","19","27","0","10","5","0","0","22","2","0","281","0","25","1","1","0","8","19","281","0","3","0","0","15","6","1","1","0","0","0","1","0","24","0","0","25","15","168","14","8","0","43","11","25","24","3","0","10","18","2","2","0","0","2","0","0","0","7","10","0","4","0","0"
"1403",NA,NA," 80","217","0","6","5","9","0","7","15","33","1","7","7","1","0","12","2","0","190","0","37","1","0","0","2","11","357","0","2","0","0","23","1","0","1","0","0","0","1","0","9","1","0","31","7","105","6","5","0","43","11","29","26","0","2","5","15","4","1","0","0","1","0","2","0","1","8","0","0","0","0"
