"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Amaranthaceae undif.","Anthoceros-type","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Carpinus","Caryophyllaceae undif.","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Galium t.","Geraniaceae undif.","Hedera","Lamiaceae undif.","Malva undif.","Monoletes","Myriophyllum undif.","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Salix","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Selaginella-type","Sparganium","Tamarix","Thymelaeaceae undif.","Triletes","Ulmus t.","Urtica t.","Vitis"
"  0",NA,NA,"  0","  0","828","  0"," 10","  9","  0","  6","  0","  0","  0","  0","  0","  0","  0"," 28","  0","  0","  2"," 10","  2","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  4","  0","  3","  0","120","  0","  5"," 31","  3","  0","  6","  0","  2","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0"
"219",NA,NA," 10","  0","219","  2","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  1","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 96","  0","  0"," 23","  1","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  1","  2","  0","  0","  0"
"439",NA,NA," 20","  0"," 96","  0","  2","  2","  0","  6","  0","  0","  0","  0","  0","  0","  0"," 25","  0","  0","  1","  0","  2","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  3","  3","  1","  2","  0","  0","  0"," 37","  0","  3"," 23","  1","  0","  3","  1","  2","  0","  0","  0","  0","  0","  3","  0","  5","  0","  0","  0","  1","  0","  0"
"658",NA,NA," 30","  0","142","  0","  2","  1","  0","  6","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  5","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3"," 16","  0","  3"," 10","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0"
"878",NA,NA," 40","  4","215","  0","  3","  2","  0","  5","  0","  0","  0","  0","  0","  0","  0"," 31","  0","  0","  7"," 13","  0","  0","  5","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  6","  3","  0","  0","  0"," 49","  0","  6"," 27","  5","  0"," 16","  2","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  1","  0"
"1097",NA,NA,"  50","   0","  39","   0","   1","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   5","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   2","  20","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1316",NA,NA,"  60","   0"," 170","   0","  25","   2","   0","  11","   0","   0","   0","   0","   0","   0","   0","  40","   2","   0","  13","  18","   0","   0","  12","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   2","   4","   1","   3","   0","  33","   0","   5","  49","   4","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   1","   0","   0","   0","   5","   0"
"1536",NA,NA,"  70","   0","  76","   0","  17","   4","   0","   6","   0","   0","   0","   0","   0","   0","   1","  31","   0","   0","   4","   9","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","   5","  23","   1","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   2","   4","   1","   0","   2","   0","   1","   0"
"1755",NA,NA,"  80","   1"," 158","   0","  22","   1","   0","  18","   0","   0","   0","   0","   0","   0","   0","  39","   2","   0","   5","  11","   3","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   1","   0","   0","  38","   0","   3","  76","   2","   0","  17","   0","   0","   0","   0","   1","   0","   0","   5","   0","  17","   0","   0","   4","   0","   1","   0"
"1975",NA,NA,"  90","   0","  61","   0","   7","   3","   0","   3","   0","   0","   0","   0","   0","   0","   0","  27","   2","   2","   0","  26","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  24","   0","  14","  13","   7","   0","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0"
"2194",NA,NA," 100","   1","  61","   0","  29","  20","   0","  14","   0","   0","   0","   0","   0","   0","   1","  28","   4","   3","   7","  27","   5","   0","  21","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","  11","   0","   0","   0","  85","   0","  20"," 130","   3","   1","  17","  13","   0","   0","   0","   0","   0","   0","   0","   0","  33","   0","   0","   3","   0","   3","   0"
"2309",NA,NA," 110","   2","  53","   0","  17","  10","   0","  37","   0","   0","   1","   0","   0","   0","   0","  17","   1","   0","   7","  39","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   4","   2","   1","   0","   1","  62","   2","   4","  43","   0","   1","  37","   5","   0","   0","   0","   2","   0","   0","   0","   2","   7","   0","   2","   0","   0","   5","   0"
"2398",NA,NA," 120","   1","  19","   0","  10","   2","   0","  10","   0","   0","   0","   0","   1","   0","   0","  10","   0","   2","   3","   4","   3","   5","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   2","   0","   0","  30","   0","   5","  87","   1","   1","  12","   4","   0","   0","   0","   0","   0","   0","  23","   0","  13","   0","   0","   0","   0","   7","   0"
"2487",NA,NA," 130","   0","  45","   0","  22","   9","   0","   4","   0","   0","   0","   0","   0","   0","   0","  18","   0","   1","   4","  30","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   2","  49","   1","  18","  21","   4","   2","  16","   3","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   2","   0","   0","   5","   0"
