"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Abies","Acer","Alchemilla t.","Algae","Alnus","Amaranthaceae undif.","Anthemideae","Anthoceros t.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabis","Cardueae undif.","Caryophyllaceae undif.","Castanea","Centaurea","Chamaerops","Cichorieae","Cistaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Fraxinus","Fungi","Galium t.","Genisteae","Gentiana t.","Geranium","Globularia","Hedera","Hypericum undif.","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Linum t.","Lotus t.","Lycopodium annotinum","Lycopodium spike","Lycopodium tablets","Lythrum","Malva","Matthiola","Mercurialis","Morus","Musci","Myriophyllum alterniflorum t.","Myrtus","Olea t.","Ostrya","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus mediterranea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Protist","Prunus t.","Pseudoschizaea","Psoralea","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Riccia","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruppia","Salix","Saxifragaceae","Scrophulariaceae undif.","Searsia","Smilax","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Trifolium t.","Ulmus t.","Undetermined diatom","Unknown","Urtica t.","Viburnum","Viola","Vitis","Ziziphus/Paliurus"
" -76",NA,NA,"  0","1","0","0","0","0","1","11","0","0","1","0","0","5","2","2","0","0","3","0","0","0","0","0","0","0","0","5","5","1","0","13","7","0","0","1","44","23","0","0","0","0","5","5","4","10","0","0","0","0","0","0","0","85","0","0","1","0","0","0","285","0","0","0","0","2","0","0","0","4","33","2","0","0","3","0","0","95","19","2","0","20","0","0","0","4","0","1","0","22","40","7","0","0","0","0","0","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","1","0"
" 103",NA,NA," 12","1","0","0","0","0","3","8","0","0","1","0","1","6","2","5","0","0","1","0","0","0","2","0","0","0","0","5","16","1","0","11","9","0","0","0","88","0","0","0","0","0","5","5","3","6","0","0","0","1","0","0","0","49","0","0","4","0","0","0","417","0","0","0","0","0","0","0","1","5","16","0","2","0","7","0","0","7","44","14","0","34","5","0","0","3","0","0","0","13","72","15","0","0","0","0","0","9","21","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0"
" 282",NA,NA," 24","1","0","0","0","0","3","12","2","3","5","0","0","7","0","6","0","0","5","0","0","1","1","0","0","0","0","5","1","0","0","21","9","0","0","3","83","0","0","0","0","0","8","3","7","1","0","1","0","0","0","0","0","44","1","0","2","0","0","0","260","0","1","0","0","0","0","0","0","4","22","1","0","0","7","0","0","3","37","5","0","23","1","0","0","6","0","2","0","25","84","15","0","0","0","1","0","10","17","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0"
" 518",NA,NA," 40","1","0","0","0","0","3","3","1","2","3","0","0","4","0","3","0","0","2","0","0","0","0","0","0","0","0","5","18","0","0","22","1","0","0","0","85","0","0","0","0","0","5","5","2","2","0","0","0","0","0","0","2","32","0","0","5","0","0","0","358","0","0","0","0","0","0","0","1","6","37","6","0","0","4","0","0","4","24","2","1","29","2","0","0","5","0","0","0","11","86","32","0","0","0","0","0","12","39","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","1","0","0","0","0"
" 748",NA,NA," 56","1","0","0","1","0","5","13","0","1","1","0","2","4","0","4","0","0","3","0","0","0","0","0","0","0","0","7","19","0","0","20","3","0","0","0","70","0","0","0","0","0","2","6","6","2","1","0","0","0","0","0","0","28","0","0","2","0","0","0","276","0","0","0","0","0","0","0","0","8","39","3","0","0","8","0","0","4","31","6","0","26","3","0","0","2","0","2","0","25","79","24","1","0","0","1","0","5","43","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" 971",NA,NA," 72","1","0","0","0","0","11","7","0","2","1","0","0","7","2","0","0","0","2","0","0","0","0","0","0","0","0","2","13","0","0","25","5","0","0","0","73","0","0","0","0","0","2","0","2","1","0","0","0","0","0","0","0","49","0","0","0","0","0","0","250","0","0","0","0","0","0","0","0","9","41","1","0","0","7","0","0","5","32","10","0","15","1","0","0","7","0","0","0","18","88","52","0","0","0","0","0","2","15","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0"
"1185",NA,NA," 88","1","0","0","0","0","9","15","3","3","0","0","0","5","5","3","0","0","5","0","0","0","0","0","0","0","0","3","14","1","0","12","8","0","0","0","57","0","0","0","0","0","4","1","0","8","0","1","0","0","0","0","1","55","1","0","4","0","1","0","316","0","0","0","0","0","0","0","1","16","28","2","0","0","4","0","0","2","29","6","0","29","4","0","0","6","0","2","0","17","73","42","0","0","0","0","0","7","13","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1386",NA,NA,"104","1","0","0","0","0","8","26","0","1","2","0","0","5","0","5","0","0","1","0","0","0","0","0","0","0","0","8","12","2","0","16","9","0","0","0","53","0","0","0","0","0","5","3","1","0","0","0","0","0","0","0","0","51","0","0","1","0","0","0","251","0","0","0","0","0","0","0","0","36","25","1","0","0","4","0","0","1","15","6","0","34","0","0","0","10","0","3","0","13","77","39","0","0","0","0","0","5","20","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","1","0","0","0","0","0"
"1574",NA,NA,"120","1","0","0","0","0","10","20","0","1","1","0","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","6","13","2","0","5","9","0","0","0","70","0","0","0","0","0","12","1","3","1","0","0","0","0","0","0","0","54","0","0","2","0","0","0","248","0","0","0","0","0","0","0","0","21","22","2","0","1","4","0","1","6","13","7","0","32","2","0","1","3","0","0","0","8","98","54","0","0","1","0","0","8","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1746",NA,NA,"136","1","0","0","0","0","5","16","2","1","3","0","1","3","1","4","1","0","4","0","0","0","2","0","0","0","0","6","20","1","0","13","4","0","0","1","71","0","1","0","0","0","10","4","2","2","0","0","0","0","0","0","1","35","0","0","2","0","0","0","264","0","0","0","0","0","0","0","0","57","24","5","0","0","6","0","0","5","20","9","0","28","0","0","0","7","0","2","0","7","60","36","0","0","0","0","0","3","18","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
