"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Carpinus","Caryophyllaceae undif.","Cedrus","Centaurea","Cercis","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fraxinus","Hydrocharitaceae","Juglans","Lamiaceae undif.","Lauraceae","Lemnaceae","Nerium","Nuphar","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygala","Polygonum t.","Populus","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sarcopoterium","Scrophulariaceae t.","Searsia","Styrax","Tamarix","Thalictrum","Typha","Ulmus t.","Urtica t.","Vitis","Ziziphus/Paliurus"
"2456",NA,NA,"  35","   2","   0","   0","   0","  30","   0","  54","  19","   0","   0","  10","   0","   5","   8","   0","  18","  20","   0","   3","   6","   0","   9","   0","   4","   0","   0","   0","   0","   0","  74","   0","   6","  10","   8","   6","   0","  35","   4","   0","   0","   0","  11","  37","   1","  16","   0","   0","   0","   0","   0","   0","   0","   0","   2","   3","   0","   1","   0","   2","   0"
"2467",NA,NA,"  45","   2","   0","   0","   0","  34","   0","  49","  30","   0","   0","   9","   4","   3","   6","   0","  19","  21","   3","   4","   5","   0","   6","   0","   3","   0","   0","   0","   0","   0","  71","   0","   5","  12","   5","   1","   0","  33","   5","   0","   0","   0","  15","  33","   5","  16","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   5","   0","   5","   0"
"2478",NA,NA,"  55","   0","   0","   0","   0","  16","   0","  32","  20","   0","   0","   1","  14","   5","   8","   0","  14","  12","   0","   2","   9","   4","   4","   0","   4","   0","   0","   0","   0","   0","  45","   0","   4","  12","   5","   1","   0","  48","   5","   0","   0","   0","  39","  74","   5","   3","   0","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0"
"2489",NA,NA,"  65","   0","   0","   0","   0","  18","   0","  36","  28","   0","   0","   5","  13","   2","   8","   0","  13","   8","   0","   3","   8","   5","   5","   0","   3","   0","   0","   0","   0","   0","  52","   0","   3","  11","   4","   1","   0","  42","   5","   0","   0","   0","  28","  76","   0","   3","   0","   6","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   5","   0"
"2500",NA,NA,"  75","   0","   0","   0","   0","  13","   0","  32","  27","   0","   0","   5","  11","   2","  10","   0","   1","  16","   0","   1","   3","   1","   8","   0","   1","   2","   0","   0","   0","   0","  48","   0","   1","   9","   5","   0","   0","  41","  11","   0","   0","   0","  32","  88","   0","   9","   1","   5","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   6","   0"
"2511",NA,NA,"  85","   0","   0","   0","   0","  15","   0","  22","  25","   0","   0","   7","   9","   3","   9","   0","   4","  18","   0","   1","   4","   7","   3","   0","   1","   1","   0","   0","   0","   0","  47","   0","   1","  11","   5","   0","   0","  44","  22","   0","   0","   0","  22","  92","   2","  10","   2","   7","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   5","   0"
"2522",NA,NA,"  95","   0","   0","   0","   1","  32","   0","  33","  19","   3","   0","   8","  23","   5","   5","   0","   4","  18","   0","   0","   4","   4","   3","   0","   0","   0","   0","   0","   0","   0","  37","   0","   4","   7","   0","   0","   0","  47","  16","   0","   0","   0","  23","  79","   6","   3","   0","   8","   1","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   2","   0"
"2533",NA,NA," 105","   0","   0","   0","   5","  27","   0","  26","  16","   5","   0","   7","  17","   4","   8","   0","   4","  12","   0","   0","   2","   8","   5","   0","   2","   0","   0","   0","   0","   0","  29","   0","   1","   7","   0","   0","   0","  57","  14","   0","   0","   0","  23","  81","  11","   2","   0","  11","   3","   0","   0","   0","   0","   0","   1","   0","   0","   4","   0","   2","   0"
"2544",NA,NA," 115","   0","   0","   0","  13","  20","   1","   9","  16","   0","   6","   3","   7","   3","  16","   0","   0","   7","   6","   0","   1","   0","  31","   0","   1","   1","   0","   0","   0","   0","  18","   3","   0","  14","   3","   0","   0","  53","  16","   0","   8","   0","  36","  88","  17","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   1","   0"
"2555",NA,NA," 125","   0","   0","   0","   8","  29","   2","  14","  20","   0","   2","   2","  10","   2","  12","   0","   0","  12","   5","   0","   1","   0","  28","   0","   3","   5","   0","   0","   0","   0","  13","   5","   0","  17","   3","   0","   0","  46","   7","   0","   7","   0","  40","  92","  16","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   2","   5","   0"
