"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acalypha","Adansonia digitata","Aerva type","Albizia","Alchornea","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Anacardiaceae undiff.","Anthoceros t.","Antiaris","Apiaceae undif.","Asteroideae undif.","Balanites","Bosqueia","Brassicaceae","Caesalpinia","Campanulaceae","Capparis","Caryophyllaceae undif.","Cassia","Casuarina","Ceiba","Celastraceae undif.","Celtis","Cichorieae","Combretaceae","Commelina","Commiphora","Cyperaceae","Detarium","Dichrostachys","Dioscorea","Diospyros/Euclea t.","Dodonaea","Elaeis","Erythrococca/Micrococca","Euphorbia t.","Faboideae Undif.","Fagonia","Fern","Ficus","Galium t.","Gomphrena t.","Grewioideae","Hibiscus","Hydrocharitaceae","Hymenocardia","Hyphaene t.","Indeterminable","Ipomoea","Justicia t.","Kohautia","Lamiaceae undif.","Landolphia","Lannea","Lepistemon","Lotus t.","Macaranga","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Musanga","Myriophyllum alterniflorum t.","Onagraceae","Petaloid monocot","Phaulopsis","Phoenix t.","Phyllanthus undif.","Poaceae","Polygonum t.","Potamogeton","Resedaceae undiff.","Rhamnaceae undif.","Rhizophora","Ricinus","Rubiaceae undif.","Salix","Salvadora","Sapotaceae undif.","Schrebera","Scrophulariaceae undif.","Searsia","Securinega  t.","Sesbania","Solanum","Spergularia t.","Spondias","Sterculia","Syzygium t.","Tamarix","Teclea","Tilia","Treculia","Trema","Triletes","Typha","Uapaca","Urtica t.","Verbena t.","Ximenia","Zanthoxylum","Zygophyllaceae undif."
NA," 2"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 2"," 9"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 3"," 0"," 0"," 0"," 0"," 1"," 0"," 0","30"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","28"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 1"," 0","13"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0","25"," 0"," 0"," 0"," 0","70"," 0"," 0"," 2"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0","17"," 0"," 0"," 0"," 0"," 0"," 0"
NA,"  9","  0","  0","  0","  0","  0"," 15","  1","  5","  6","105","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  4","  1","  0","487","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  7","  1","  0","  2","  0","  0","  0","  0","  2"," 19","  2","  1","  0","  0","  0","  0","  0","  0","  2","  4","  0"," 27","  0","  0","  0","  0","  8","  0","  2","  0"," 78","  0","  0","  0","  0"," 27","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 56","  0","  0","  0","  0","  0","  0"
NA," 15","  0","  0","  1","  0","  0","  6","  0","  1","  8"," 86","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","141","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 24","  0","  0","  1","  0","  0","  0","  0","  1"," 69","  0","  0","  0","  0","  0","  1","  0","  0","  0","  7","  0","101","  0","  0","  0","  0","  0","  0","  1","  0"," 28","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  3"," 67","  0","  0","  4","  0","  0","  0"
NA," 28","  0","  0","  0","  0","  0","  8","  0","  0","  1","  0","  0","  0","  0","  0"," 56","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","189","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 22","  0","  1","  0","  0","  1","  0","  0","  0"," 39","  0","  0","  0","  1","  0","  0","  0","  1","  8","  1","  0"," 58","  2","  0","  0","  0","  0","  0","  2","  0"," 32","  1","  0","  0","  0"," 26","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0"," 87","  0","  0","  0","  0","  0","  1"
NA," 40","  0","  0","  0","  1","  0"," 16","  1","  0","  6","  8","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  2","  0","  0","267","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  9","  1","  0","  0","  0","  0","  0","  0","  0"," 37","  0","  0","  0","  1","  0","  0","  0","  1"," 22","  6","  3","109","  0","  0","  0","  0","  0","  0","  1","  0"," 54","  2","  0","  0","  0"," 33","  0","  1","  1","  0","  1","  0","  0","  0","  1","  0","  1","  1","  0","  0","  4","  0","  0","  0","  0","  1","  0"," 84","  3","  0","  0","  0","  0","  1"
NA," 46","  0","  0","  0","  0","  1"," 28","  0","  0","  5","  0","  0","  0","  0","  1","  9","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  1","  1","  0","  3","  2","  0","120","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0"," 17","  4","  0","  0","  1","  0","  1","  1","  1"," 50","  0","  0","  0","  0","  1","  0","  0","  0"," 25","  5","  8","116","  0","  2","  0","  0","  2","  0","  3","  0"," 50","  1","  4","  0","  1"," 46","  2","  1","  0","  0","  1","  0","  0","  1","  1","  0","  0","  6","  0","  1"," 10","  0","  1","  0","  1","  0","  0"," 55","  0","  0","  0","  0","  0","  0"
NA," 52","  0","  0","  0","  1","  0"," 22","  0","  0","  0","  1","  1","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  1","  0","  0","  0"," 96","  4","  1","  0","  0","  0","  1","  0","  0","  0","  0"," 10","  1","  0","  0","  0","  0","  0","  0","  0"," 37","  0","  0","  0","  0","  0","  0","  1","  0"," 32","  3","  9"," 83","  0","  2","  0","  0","  1","  0","  2","  0"," 54","  0","  0","  0","  0","115","  0","  1","  0","  0","  2","  0","  0","  0","  1","  0","  0","  1","  0","  0","  8","  0","  0","  0","  0","  1","  0"," 26","  3","  1","  0","  0","  0","  0"
"5593.234","  59.000","   1.000","   0.000","   0.000","   0.000","   0.000","  48.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   1.000","   0.000","   0.000","   0.000","   1.000","   8.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   3.000","   0.000","   8.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  52.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","  20.000","   0.000","  12.000","  21.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   8.000","   0.000","   0.000","   0.000","   1.000"," 277.000","   0.000","   2.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   6.000","   1.000","   0.000","   0.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"5704.407","  79.000","   0.000","   0.000","   0.000","   0.000","   0.000","  14.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  33.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  11.000","   1.000","   5.000","   6.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000"," 160.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"
"5787.786","  94.000","   1.000","   0.000","   0.000","   0.000","   0.000","  12.000","   1.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   1.000","   1.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   1.000","  11.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  45.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  10.000","   0.000","   2.000","   5.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","  12.000","   0.000","   0.000","   0.000","   0.000"," 255.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000"
