"Sample age (cal yr BP)","Depth (cm) [cm]","Acacia t.","Adansonia digitata","Aerva type","Afraegle","Alchornea","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Anacardiaceae undiff.","Anthostema","Antidesma t.","Artemisia","Asteroideae undif.","Asystasia","Balanites","Boscia","Bridelia","Canthium","Caryophyllaceae undif.","Cassia","Celastraceae undif.","Celtis","Chrysobalanus t.","Cleome","Clutia","Cocculus","Combretaceae","Commelina","Commiphora","Crossopteryx","Cyperaceae","Detarium","Dialium","Dichrostachys","Dioscorea","Diospyros/Euclea t.","Dodonaea","Elaeis","Ephedra","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Ficus","Heteromorpha","Hewittia","Hibiscus","Hydrocharitaceae","Hydrocotyle","Indeterminable","Ipomoea","Ixora","Kohautia","Lamiaceae undif.","Lannea","Lophira","Lotus t.","Macaranga","Maerua","Maytenus","Mitracarpus","Mitragyna/Hallea","Moraceae undif.","Musanga","Musanga/Myrianthus","Myriophyllum alterniflorum t.","Nymphaea","Onagraceae","Ormocarpum t.","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Poaceae","Polygala","Polygonum t.","Potamogeton","Resedaceae undiff.","Rhizophora","Ricinus","Rubiaceae undif.","Salix","Salvadora","Sapium","Sapotaceae undif.","Scrophulariaceae undif.","Securinega  t.","Spergularia t.","Spermacoce","Syzygium t.","Tabernaemontana","Tamarix","Tapinanthus","Tetracera alnifolia","Tilia","Tinospora","Treculia","Trifolium t.","Typha","Uapaca","Urtica t.","Vernonieae","Ximenia","Zanthoxylum","Zygophyllum t."
"1208","   9","   0","   0","   2","   0","  39","   1","   3","   2","   1","   0","   1","   1","   0","   6","   0","   1","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 606","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1"," 157","   9","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   2","   0","   0","   2","   1","   0","   0","   0","   3","  15","   0","   0","   0","   3","   2"," 155","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","  26","   0","   0","   0","   0","   4","   0","   1","   1","  61","   1","   0","   0","   1","   2","   0"
"1485","  19","   0","   0","   8","   0","  15","   1","   1","   0","   0","   0","   1","   0","   0","   6","   0","   0","   0","   0","   0","   2","   3","   0","   0","   0","   1","   1","   0","   2","   0","   0","   0"," 863","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0"," 143","   1","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","   0","   0","   0","   4","   0","   0","   5","   2","   0","   0","   0","   3","  14","   0","   0","   0","   0","   1"," 182","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  15","   0","   0","   1","   1","   1","   0","   0","   0","   3","   0","   0","   0","   0","   1","   0"
"2039","  39","   1","   1","   0","   0","  11","   0","   0","   1","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0"," 387","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0"," 891","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   1","   1"," 133","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   1","   4"," 264","   0","   0","   0","   1","   0","   0","   0","   0","   2","   5","   0","   0","   0","   1","   0"
"2593","  59","   0","   0","   1","   0","  10","   0","   1","   0","   0","   0","  18","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   1","   1","   1","   0","   0","   2","   3","   2","   0"," 118","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 579","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   1","   2","   0","   0","  15","   1","   0","   0","   0","   1","   8","   1","   0","   1","   0","   2","  49","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   6"," 146","   0","   0","   0","   3","   1","   0","   2","   0","  13","   4","   0","   0","   0","   1","   0"
"2979.462","  79.000","   0.000","   0.000","   2.000","   0.000","   9.000","   0.000","   0.000","   2.000","   0.000","   0.000","  64.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   5.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000"," 260.000","   2.000","   0.000","   1.000","   0.000","   1.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","  96.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   5.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","  10.000","   3.000","   0.000","   0.000","  54.000","   0.000","   6.000","  72.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000"," 238.000","   0.000","   0.000","   1.000","   3.000","   1.000","   0.000","   0.000","   0.000","   2.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000"
"3310.079","  99.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   1.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   2.000","   0.000","   0.000","  91.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","   0.000"," 265.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","  27.000","   5.000","   2.000","  65.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  26.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   3.000","   2.000","   0.000","   0.000","   0.000","   6.000","   0.000"
"3640.695"," 119.000","   0.000","   0.000","   0.000","   0.000","  10.000","   1.000","   0.000","   3.000","   0.000","   0.000","  37.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 883.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   2.000","   0.000","   0.000","   1.000","   0.000","   0.000","   6.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   1.000","   0.000","   0.000","   0.000","   2.000","  37.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   1.000"," 154.000","   2.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   1.000","   6.000","   0.000","   0.000","   0.000","   1.000","   0.000"
"3971.312"," 139.000","   0.000","   0.000","   0.000","   0.000","  65.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 426.000","   2.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   1.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","  33.000","   7.000","   0.000","   0.000","   0.000","   0.000","   0.000","   9.000","   0.000","   2.000","   2.000","   0.000","   1.000"," 100.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  15.000","   0.000","   1.000","   1.000","   0.000","   1.000","   6.000","   0.000"," 123.000","   0.000","   0.000","   2.000","   2.000","   0.000","   0.000","   0.000","   0.000","  25.000","   0.000","   0.000","   0.000","   1.000","   3.000","  40.000","   0.000","   0.000","   0.000","   1.000","   2.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   2.000","  23.000","   0.000","   0.000","   0.000","  12.000","   1.000","   0.000","   1.000","   0.000","   0.000","  69.000","   0.000","   0.000","   0.000","   3.000","   0.000"
"4301.928"," 159.000","   0.000","   0.000","   0.000","   0.000","  22.000","   0.000","   0.000","   1.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   7.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","  68.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000"," 488.000","   0.000","   0.000","   0.000","   0.000","   4.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   1.000","   0.000","  26.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   0.000","   1.000","   0.000","   0.000","  40.000","   0.000","   1.000","   0.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","  22.000","   0.000","   0.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","  19.000","   5.000","   0.000","   0.000","   0.000","   1.000","   0.000"
"4632.544"," 179.000","   0.000","   0.000","   1.000","   0.000","   6.000","   0.000","   0.000","   0.000","   2.000","   0.000","   8.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   0.000","   0.000","   1.000","   0.000","   0.000","   0.000"," 116.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   2.000","   0.000","   2.000","   0.000","   0.000","   0.000"," 349.000","   1.000","   0.000","   0.000","   0.000","   0.000","   0.000","   5.000","   0.000","   1.000","   3.000","   0.000","   1.000","   1.000","   0.000","   1.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","  13.000","   0.000","   0.000","   0.000","   0.000","   2.000","  59.000","   0.000","   0.000","   0.000","   0.000","   3.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","  36.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   0.000","   1.000","   6.000","   0.000","   0.000","   0.000","   0.000","   1.000","   0.000"
